,Attraction Name,Attraction Type,City,Country
0,,,Amsterdam,Netherlands
1,Rijksmuseum,Art Museums,Amsterdam,Netherlands
2,Anne Frank House,Speciality Museums • Historic Sites,Amsterdam,Netherlands
3,Van Gogh Museum,Art Museums,Amsterdam,Netherlands
4,The Jordaan,Neighborhoods,Amsterdam,Netherlands
5,A'dam Lookout,Observation Decks & Towers,Amsterdam,Netherlands
6,Body Worlds,Speciality Museums • Science Museums,Amsterdam,Netherlands
7,Vondelpark,Parks,Amsterdam,Netherlands
8,Moco Museum Amsterdam,Art Museums,Amsterdam,Netherlands
9,Museum Het Rembrandthuis (Rembrandt House),Historic Sites • Art Museums,Amsterdam,Netherlands
10,ARTIS Amsterdam Royal Zoo,Zoos,Amsterdam,Netherlands
11,Centraal Station,Points of Interest & Landmarks • Architectural Buildings,Amsterdam,Netherlands
12,Museum Ons'Lieve Heer Op Solder,Speciality Museums,Amsterdam,Netherlands
13,Royal Palace Amsterdam,Points of Interest & Landmarks • Architectural Buildings,Amsterdam,Netherlands
14,Heineken Experience,Breweries,Amsterdam,Netherlands
15,GVB,Public Transportation Systems,Amsterdam,Netherlands
16,Het Scheepvaartmuseum| The National Maritime Museum,History Museums,Amsterdam,Netherlands
17,NEMO Science Museum,Science Museums • Children's Museums,Amsterdam,Netherlands
18,OBA Library of Amsterdam,Libraries,Amsterdam,Netherlands
19,Micropia,Speciality Museums,Amsterdam,Netherlands
20,Dam Square,Points of Interest & Landmarks,Amsterdam,Netherlands
21,Hermitage Amsterdam,Art Museums,Amsterdam,Netherlands
22,Begijnhof,Historic Sites • Historic Walking Areas,Amsterdam,Netherlands
23,Verzetsmuseum Amsterdam,Children's Museums • History Museums,Amsterdam,Netherlands
24,Johan Cruyff Arena,Arenas & Stadiums,Amsterdam,Netherlands
25,Stedelijk Museum Amsterdam,Speciality Museums • Art Museums,Amsterdam,Netherlands
26,Amsterdam Canal Ring,Neighborhoods • Bridges,Amsterdam,Netherlands
27,De Hallen Amsterdam,Neighborhoods,Amsterdam,Netherlands
28,Portuguese Synagogue,Historic Sites • Architectural Buildings,Amsterdam,Netherlands
29,Albert Cuyp Market,Flea & Street Markets,Amsterdam,Netherlands
30,Ripley's Believe It or Not! Amsterdam,Speciality Museums,Amsterdam,Netherlands
31,,2,Amsterdam,Netherlands
32,Hash Marihuana & Hemp Museum,Speciality Museums,Amsterdam,Netherlands
33,Museum Quarter,Points of Interest & Landmarks,Amsterdam,Netherlands
34,Herengracht,Bodies of Water,Amsterdam,Netherlands
35,Ziggo Dome,Arenas & Stadiums,Amsterdam,Netherlands
36,Red Light District,Neighborhoods,Amsterdam,Netherlands
37,De Poezenboot,Points of Interest & Landmarks,Amsterdam,Netherlands
38,The Amstel,Bodies of Water • Points of Interest & Landmarks,Amsterdam,Netherlands
39,Willet-Holthuysen Museum,Historic Sites • Art Museums,Amsterdam,Netherlands
40,Rembrandtplein,Points of Interest & Landmarks,Amsterdam,Netherlands
41,Molen Van Sloten,Speciality Museums • History Museums,Amsterdam,Netherlands
42,Museum Van Loon,Historic Sites • History Museums,Amsterdam,Netherlands
43,Joods Historisch Museum,Speciality Museums • History Museums,Amsterdam,Netherlands
44,Hortus Botanicus,Gardens,Amsterdam,Netherlands
45,Amsterdamse Bos,Parks,Amsterdam,Netherlands
46,De 9 Straatjes,Neighborhoods • Points of Interest & Landmarks,Amsterdam,Netherlands
47,Madame Tussauds Amsterdam,Speciality Museums,Amsterdam,Netherlands
48,WONDR Experience,Art Galleries • Speciality Museums,Amsterdam,Netherlands
49,Leiden Square (Leidseplein),Points of Interest & Landmarks,Amsterdam,Netherlands
50,St. Nicholas Basilica,Historic Sites • Religious Sites,Amsterdam,Netherlands
51,Singel,Bodies of Water,Amsterdam,Netherlands
52,Tassenmuseum Amsterdam,Speciality Museums,Amsterdam,Netherlands
53,Museum Vrolik,Speciality Museums,Amsterdam,Netherlands
54,Emperor's Canal (Keizersgracht),Bodies of Water,Amsterdam,Netherlands
55,Tropenmuseum,History Museums,Amsterdam,Netherlands
56,Dutch National Opera & Ballet,Theaters,Amsterdam,Netherlands
57,Museum of Prostitution - Red Light Secrets,Speciality Museums,Amsterdam,Netherlands
58,EYE Film Institute Netherlands,Speciality Museums,Amsterdam,Netherlands
59,Youseum,Speciality Museums,Amsterdam,Netherlands
60,Amstelpark,Sports Complexes • Parks,Amsterdam,Netherlands
61,Koninklijk Theater Carre,Theaters,Amsterdam,Netherlands
62,,1,Amsterdam,Netherlands
63,Westerkerk,Religious Sites • Churches & Cathedrals,Amsterdam,Netherlands
64,Oosterpark,Parks,Amsterdam,Netherlands
65,Micro Art Amsterdam,Speciality Museums • Art Museums,Amsterdam,Netherlands
66,De Gooyer Windmill,Points of Interest & Landmarks,Amsterdam,Netherlands
67,Museum of the Canals,Speciality Museums • Art Museums,Amsterdam,Netherlands
68,King's Day,Cultural Events,Amsterdam,Netherlands
69,Amsterdam Museum,History Museums,Amsterdam,Netherlands
