,Attraction Name,Attraction Type,City,Country
0,,,Antalya,Turkey
1,Kaleici,Neighborhoods,Antalya,Turkey
2,Lower Duden Waterfalls,Waterfalls,Antalya,Turkey
3,Sapadere Kanyonu,Canyons,Antalya,Turkey
4,Perge Ancient City,Ancient Ruins,Antalya,Turkey
5,Antalya Muzesi,Speciality Museums,Antalya,Turkey
6,Kursunlu Waterfalls,Waterfalls,Antalya,Turkey
7,Konyaalti Beach,Beaches,Antalya,Turkey
8,Termessos,Ancient Ruins,Antalya,Turkey
9,Old City Marina,Marinas,Antalya,Turkey
10,Tunektepe Teleferik,Trams,Antalya,Turkey
11,Antalya Aquarium,Aquariums,Antalya,Turkey
12,TerraCity,Shopping Malls,Antalya,Turkey
13,Hadrian's Gate,Historic Sites • Ancient Ruins,Antalya,Turkey
14,Mall of Antalya,Shopping Malls,Antalya,Turkey
15,Kaputas Beach,Beaches,Antalya,Turkey
16,Lara Beach,Beaches,Antalya,Turkey
17,Antalya Bazaar,Points of Interest & Landmarks • Flea & Street Markets,Antalya,Turkey
18,Karaalioglu Park,Parks,Antalya,Turkey
19,Antalya Migros Shopping Mall,Shopping Malls,Antalya,Turkey
20,Deepo Outlet Center,Shopping Malls,Antalya,Turkey
21,Antalya Tram,Trams,Antalya,Turkey
22,Aqualand & Dolphinland,Amusement & Theme Parks • Water Parks,Antalya,Turkey
23,MarkAntalya,Shopping Malls,Antalya,Turkey
24,Antalya Zoo,Zoos,Antalya,Turkey
25,Adalar beach club,Beach & Pool Clubs,Antalya,Turkey
26,Sandland,Speciality Museums,Antalya,Turkey
27,Yivli Minaret Mosque,Architectural Buildings • Religious Sites,Antalya,Turkey
28,Mermerli Beach,Beaches,Antalya,Turkey
29,Ataturk Parkı,Parks,Antalya,Turkey
30,Ataturk Boulevard,Neighborhoods,Antalya,Turkey
31,,2,Antalya,Turkey
32,Sapadere Kanyonu,Canyons,Antalya,Turkey
33,Perge Ancient City,Ancient Ruins,Antalya,Turkey
34,Antalya Muzesi,Speciality Museums,Antalya,Turkey
35,Kursunlu Waterfalls,Waterfalls,Antalya,Turkey
36,Konyaalti Beach,Beaches,Antalya,Turkey
37,Termessos,Ancient Ruins,Antalya,Turkey
38,Old City Marina,Marinas,Antalya,Turkey
