,Attraction Name,Attraction Type,City,Country
0,,,Athens,Greece
1,Acropolis,Historic Sites • Ancient Ruins,Athens,Greece
2,Acropolis Museum,History Museums,Athens,Greece
3,Parthenon,Historic Sites • Ancient Ruins,Athens,Greece
4,National Archaeological Museum,Art Museums • History Museums,Athens,Greece
5,Plaka,Neighborhoods,Athens,Greece
6,Mount Lycabettus,Mountains • Lookouts,Athens,Greece
7,Panathenaic Stadium,Arenas & Stadiums,Athens,Greece
8,Herod Atticus Odeon,Historic Sites • Theaters,Athens,Greece
9,Ancient Agora of Athens,Historic Sites • Ancient Ruins,Athens,Greece
10,Philopappos Hill,Points of Interest & Landmarks • Historic Walking Areas,Athens,Greece
11,Temple of Hephaestus,Ancient Ruins • Religious Sites,Athens,Greece
12,Anafiotika,Neighborhoods,Athens,Greece
13,Benaki Museum,Art Museums,Athens,Greece
14,Monastiraki,Neighborhoods,Athens,Greece
15,Museum of Cycladic Art,Art Museums,Athens,Greece
16,Erechtheion,Ancient Ruins • Points of Interest & Landmarks,Athens,Greece
17,Temple of Olympian Zeus,Ancient Ruins • Monuments & Statues,Athens,Greece
18,Hellenic Motor Museum,Speciality Museums,Athens,Greece
19,Theater of Dionysus,Ancient Ruins,Athens,Greece
20,Byzantine and Christian Museum,History Museums,Athens,Greece
21,Temple of Athena Nike,Ancient Ruins • Monuments & Statues,Athens,Greece
22,Museum of Illusions Athens,Speciality Museums • Children's Museums,Athens,Greece
23,War Museum,Convention Centers • History Museums,Athens,Greece
24,Kotsanas Museum of Ancient Greek Technology,Speciality Museums,Athens,Greece
25,Areopagus,Historic Sites • Geologic Formations,Athens,Greece
26,National Garden,Gardens,Athens,Greece
27,Psirri,Neighborhoods,Athens,Greece
28,Plateia Syntagmatos,Points of Interest & Landmarks,Athens,Greece
29,Kerameikos Cemetery,Ancient Ruins • Cemeteries,Athens,Greece
30,Central Market,Flea & Street Markets,Athens,Greece
31,,2,Athens,Greece
32,Museum of the Ancient Agora,History Museums,Athens,Greece
33,Stoa of Attalos,Historic Sites,Athens,Greece
