WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href,WlYyy 2,WlYyy 3
"4,000+ places sorted by traveler favorites",,,,,,,
85,https://www.tripadvisor.com/Attraction_Review-g187497-d10230999-Reviews-Playa_de_la_Mar_Bella-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/2e/b1/7c/20170806-201242-largejpg.jpg?w=500&h=400&s=1,Playa de la Mar Bella,121.,https://www.tripadvisor.com/Attraction_Review-g187497-d10230999-Reviews-Playa_de_la_Mar_Bella-Barcelona_Catalonia.html#REVIEWS,Beaches,Sant Martí
353,https://www.tripadvisor.com/Attraction_Review-g187497-d7363048-Reviews-L_illa_Diagonal-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/ef/35/81/pasaje-central-interior.jpg?w=500&h=-1&s=1,L'illa Diagonal,122.,https://www.tripadvisor.com/Attraction_Review-g187497-d7363048-Reviews-L_illa_Diagonal-Barcelona_Catalonia.html#REVIEWS,Shopping Malls,Les Corts
151,https://www.tripadvisor.com/Attraction_Review-g187497-d244855-Reviews-Barcelona_Wax_Museum-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/67/18/b6/entrada-principal-museo.jpg?w=500&h=-1&s=1,Barcelona Wax Museum,123.,https://www.tripadvisor.com/Attraction_Review-g187497-d244855-Reviews-Barcelona_Wax_Museum-Barcelona_Catalonia.html#REVIEWS,Speciality Museums,Barrio Gòtico (Barri Gòtic)
106,https://www.tripadvisor.com/Attraction_Review-g187497-d240500-Reviews-Big_Fun_Museum-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e5/bf/f9/160-de-profundidad-eso.jpg?w=500&h=400&s=1,Big Fun Museum,124.,https://www.tripadvisor.com/Attraction_Review-g187497-d240500-Reviews-Big_Fun_Museum-Barcelona_Catalonia.html#REVIEWS,Speciality Museums,El Congrés i els Indians
279,https://www.tripadvisor.com/Attraction_Review-g187497-d2223655-Reviews-Joan_Antonio_Samaranch_Olympic_Sports_Museum-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f8/32/69/entrance-olimpic-museum.jpg?w=500&h=400&s=1,Joan Antonio Samaranch Olympic & Sports Museum,125.,https://www.tripadvisor.com/Attraction_Review-g187497-d2223655-Reviews-Joan_Antonio_Samaranch_Olympic_Sports_Museum-Barcelona_Catalonia.html#REVIEWS,Speciality Museums,Sants-Montjuíc
188,https://www.tripadvisor.com/Attraction_Review-g187497-d4123720-Reviews-Palau_Sant_Jordi-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/ee/8d/82/palau-sant-jordi-montjuic.jpg?w=500&h=400&s=1,Palau Sant Jordi,126.,https://www.tripadvisor.com/Attraction_Review-g187497-d4123720-Reviews-Palau_Sant_Jordi-Barcelona_Catalonia.html#REVIEWS,Arenas & Stadiums,Sants-Montjuíc
44,https://www.tripadvisor.com/Attraction_Review-g187497-d8865719-Reviews-Carrer_Petritxol-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/ac/49/37/carrer-petritxol.jpg?w=500&h=400&s=1,Carrer Petritxol,127.,https://www.tripadvisor.com/Attraction_Review-g187497-d8865719-Reviews-Carrer_Petritxol-Barcelona_Catalonia.html#REVIEWS,Historic Sites • Points of Interest & Landmarks,Barrio Gòtico (Barri Gòtic)
95,https://www.tripadvisor.com/Attraction_Review-g187497-d6214229-Reviews-Basilica_of_the_Immaculate_Conception_and_Assumption_of_Our_Lady-Barcelona_Catalo.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/6d/27/98/claustro-e-iglesia-de.jpg?w=500&h=400&s=1,Basilica of the Immaculate Conception and Assumption of Our Lady,128.,https://www.tripadvisor.com/Attraction_Review-g187497-d6214229-Reviews-Basilica_of_the_Immaculate_Conception_and_Assumption_of_Our_Lady-Barcelona_Catalo.html#REVIEWS,Points of Interest & Landmarks • Churches & Cathedrals,Eixample
86,https://www.tripadvisor.com/Attraction_Review-g187497-d7102217-Reviews-Poblenou_Cemetery-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/b9/23/42/photo1jpg.jpg?w=500&h=-1&s=1,Poblenou Cemetery,129.,https://www.tripadvisor.com/Attraction_Review-g187497-d7102217-Reviews-Poblenou_Cemetery-Barcelona_Catalonia.html#REVIEWS,Cemeteries,Poblenou
72,https://www.tripadvisor.com/Attraction_Review-g187497-d2625535-Reviews-Parc_de_Cervantes-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/69/63/a1/20190505-184003-largejpg.jpg?w=500&h=400&s=1,Parc de Cervantes,130.,https://www.tripadvisor.com/Attraction_Review-g187497-d2625535-Reviews-Parc_de_Cervantes-Barcelona_Catalonia.html#REVIEWS,Parks • Gardens,Pedralbes
461,https://www.tripadvisor.com/Attraction_Review-g187497-d3360600-Reviews-Gaudi_Experience-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/7d/af/04/gaudi-experience.jpg?w=500&h=400&s=1,Gaudi Experience,131.,https://www.tripadvisor.com/Attraction_Review-g187497-d3360600-Reviews-Gaudi_Experience-Barcelona_Catalonia.html#REVIEWS,Speciality Museums,Gracia
27,https://www.tripadvisor.com/Attraction_Review-g187497-d13970378-Reviews-El_Beso_De_Joan_Fontcuberta-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/c0/40/c5/photo0jpg.jpg?w=500&h=-1&s=1,El Beso De Joan Fontcuberta,132.,https://www.tripadvisor.com/Attraction_Review-g187497-d13970378-Reviews-El_Beso_De_Joan_Fontcuberta-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks,Barrio Gòtico (Barri Gòtic)
130,https://www.tripadvisor.com/Attraction_Review-g187497-d591146-Reviews-Basilica_of_Our_Lady_of_Mercy-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/60/d3/56/basilica-de-la-mare-de.jpg?w=500&h=-1&s=1,Basilica of Our Lady of Mercy,133.,https://www.tripadvisor.com/Attraction_Review-g187497-d591146-Reviews-Basilica_of_Our_Lady_of_Mercy-Barcelona_Catalonia.html#REVIEWS,Churches & Cathedrals,Barrio Gòtico (Barri Gòtic)
137,https://www.tripadvisor.com/Attraction_Review-g187497-d4597992-Reviews-Palau_De_La_Generalitat_De_Catalunya-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/77/28/ac/the-exterior-on-the-square.jpg?w=500&h=-1&s=1,Palau De La Generalitat De Catalunya,134.,https://www.tripadvisor.com/Attraction_Review-g187497-d4597992-Reviews-Palau_De_La_Generalitat_De_Catalunya-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks • Government Buildings,Barrio Gòtico (Barri Gòtic)
260,https://www.tripadvisor.com/Attraction_Review-g187497-d7687719-Reviews-Placa_de_Sant_Jaume-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/42/72/23/quiet-square.jpg?w=500&h=400&s=1,Placa de Sant Jaume,135.,https://www.tripadvisor.com/Attraction_Review-g187497-d7687719-Reviews-Placa_de_Sant_Jaume-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks,Barrio Gòtico (Barri Gòtic)
328,https://www.tripadvisor.com/Attraction_Review-g187497-d1553048-Reviews-Jardin_Botanico_de_Barcelona-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/c3/ec/3b/ingresso.jpg?w=500&h=400&s=1,Jardin Botanico de Barcelona,136.,https://www.tripadvisor.com/Attraction_Review-g187497-d1553048-Reviews-Jardin_Botanico_de_Barcelona-Barcelona_Catalonia.html#REVIEWS,Gardens,Sants-Montjuíc
143,https://www.tripadvisor.com/Attraction_Review-g187497-d7981033-Reviews-Platja_de_la_Nova_Icaria-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/94/64/48/platja-de-la-nova-icaria.jpg?w=500&h=400&s=1,Platja de la Nova Icaria,137.,https://www.tripadvisor.com/Attraction_Review-g187497-d7981033-Reviews-Platja_de_la_Nova_Icaria-Barcelona_Catalonia.html#REVIEWS,Beaches,Sant Martí
180,https://www.tripadvisor.com/Attraction_Review-g187497-d7148963-Reviews-Gold_Fish_Sculpture_Escultura_el_Peix_d_Or-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/38/e6/6f/gold-fish-sculpture.jpg?w=500&h=-1&s=1,Gold Fish Sculpture (Escultura el Peix d'Or),138.,https://www.tripadvisor.com/Attraction_Review-g187497-d7148963-Reviews-Gold_Fish_Sculpture_Escultura_el_Peix_d_Or-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks,Barceloneta
42,https://www.tripadvisor.com/Attraction_Review-g187497-d4752371-Reviews-Parc_de_Collserola-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/25/e0/44/parque-de-collserola.jpg?w=500&h=-1&s=1,Parc de Collserola,139.,https://www.tripadvisor.com/Attraction_Review-g187497-d4752371-Reviews-Parc_de_Collserola-Barcelona_Catalonia.html#REVIEWS,Parks,Open now
56,https://www.tripadvisor.com/Attraction_Review-g187497-d531612-Reviews-Casa_Comalat-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/78/8b/e1/caption.jpg?w=500&h=-1&s=1,Casa Comalat,140.,https://www.tripadvisor.com/Attraction_Review-g187497-d531612-Reviews-Casa_Comalat-Barcelona_Catalonia.html#REVIEWS,Architectural Buildings,Eixample
105,https://www.tripadvisor.com/Attraction_Review-g187497-d8782951-Reviews-Teatre_Victoria-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/b6/c0/19/img-20170917-174051-largejpg.jpg?w=500&h=400&s=1,Teatre Victoria,141.,https://www.tripadvisor.com/Attraction_Review-g187497-d8782951-Reviews-Teatre_Victoria-Barcelona_Catalonia.html#REVIEWS,Theaters,Sants-Montjuíc
