,Attraction Name,Attraction Type,City,Country
0,,,Barcelona,Spain
1,Playa de la Mar Bella,Beaches,Barcelona,Spain
2,L'illa Diagonal,Shopping Malls,Barcelona,Spain
3,Barcelona Wax Museum,Speciality Museums,Barcelona,Spain
4,Big Fun Museum,Speciality Museums,Barcelona,Spain
5,Joan Antonio Samaranch Olympic & Sports Museum,Speciality Museums,Barcelona,Spain
6,Palau Sant Jordi,Arenas & Stadiums,Barcelona,Spain
7,Carrer Petritxol,Historic Sites • Points of Interest & Landmarks,Barcelona,Spain
8,Basilica of the Immaculate Conception and Assumption of Our Lady,Points of Interest & Landmarks • Churches & Cathedrals,Barcelona,Spain
9,Poblenou Cemetery,Cemeteries,Barcelona,Spain
10,Parc de Cervantes,Parks • Gardens,Barcelona,Spain
11,Gaudi Experience,Speciality Museums,Barcelona,Spain
12,El Beso De Joan Fontcuberta,Points of Interest & Landmarks,Barcelona,Spain
13,Basilica of Our Lady of Mercy,Churches & Cathedrals,Barcelona,Spain
14,Palau De La Generalitat De Catalunya,Points of Interest & Landmarks • Government Buildings,Barcelona,Spain
15,Placa de Sant Jaume,Points of Interest & Landmarks,Barcelona,Spain
16,Jardin Botanico de Barcelona,Gardens,Barcelona,Spain
17,Platja de la Nova Icaria,Beaches,Barcelona,Spain
18,Gold Fish Sculpture (Escultura el Peix d'Or),Points of Interest & Landmarks,Barcelona,Spain
19,Parc de Collserola,Parks,Barcelona,Spain
20,Casa Comalat,Architectural Buildings,Barcelona,Spain
21,Teatre Victoria,Theaters,Barcelona,Spain
22,Torres Venecianes,Points of Interest & Landmarks • Observation Decks & Towers,Barcelona,Spain
23,Passeig del Colom,Points of Interest & Landmarks,Barcelona,Spain
24,Center of Contemporary Culture of Barcelona (CCCB),History Museums,Barcelona,Spain
25,Jardins de Laribal,Gardens,Barcelona,Spain
26,MUHBA Refugi 307,Speciality Museums,Barcelona,Spain
27,Prision La Modelo,Speciality Museums,Barcelona,Spain
28,Palau Reial Major,Historic Sites,Barcelona,Spain
29,Palo Market Fest,Flea & Street Markets,Barcelona,Spain
30,Plaza del Sol,Points of Interest & Landmarks,Barcelona,Spain
31,,4,Barcelona,Spain
32,Mercat Abaceria,Farmers Markets,Barcelona,Spain
33,Tivoli Theatre,Theaters,Barcelona,Spain
34,Placa de Gaudi,Points of Interest & Landmarks • Parks,Barcelona,Spain
35,Plaza de Ramon Berenguer el Gran,Historic Sites • Points of Interest & Landmarks,Barcelona,Spain
36,Base Elements Urban Art Gallery,Art Galleries,Barcelona,Spain
37,Plaja de Sant Sebastian,Beaches,Barcelona,Spain
38,Palau Moja,Visitor Centers,Barcelona,Spain
39,Palau Robert,Points of Interest & Landmarks • Architectural Buildings,Barcelona,Spain
40,Parc de Joan Miró,Parks,Barcelona,Spain
41,Torre de Collserola,Lookouts,Barcelona,Spain
42,Parroquia de la Mare de Deu de Betlem,Churches & Cathedrals,Barcelona,Spain
43,Casa Rocamora,Points of Interest & Landmarks,Barcelona,Spain
44,Basílica dels Sants Màrtirs Just i Pastor,Architectural Buildings • Churches & Cathedrals,Barcelona,Spain
45,Biblioteca de Catalunya,Libraries,Barcelona,Spain
46,Antigua Casa Figueras,Points of Interest & Landmarks • Architectural Buildings,Barcelona,Spain
47,La Casa de la Seda Barcelona,Points of Interest & Landmarks • Architectural Buildings,Barcelona,Spain
48,Fundacio Antoni Tapies,Speciality Museums • Architectural Buildings,Barcelona,Spain
49,Museu de la Catedral,Speciality Museums,Barcelona,Spain
50,Manzana de la Discordia,Architectural Buildings,Barcelona,Spain
51,Avenida del Paralelo,Historic Walking Areas,Barcelona,Spain
52,Church of Sant Francesc de Sales,Churches & Cathedrals,Barcelona,Spain
53,Casa de l'Ardiaca,Points of Interest & Landmarks,Barcelona,Spain
54,Kbr Fundación Mapfre - Barcelona Photo Center,Art Museums,Barcelona,Spain
55,Teatre Poliorama,Theaters,Barcelona,Spain
56,Muralla Romana,Points of Interest & Landmarks,Barcelona,Spain
57,La Virreina Centre de la Imatge,Art Galleries,Barcelona,Spain
58,Jardines de Joan Maragall,Gardens,Barcelona,Spain
59,Monasterio de Sant Pere de les Puel.les,Religious Sites,Barcelona,Spain
60,Biblioteca Pública Arús,Libraries,Barcelona,Spain
61,Cara de Barcelona,Points of Interest & Landmarks,Barcelona,Spain
62,,5,Barcelona,Spain
63,Parque del Guinardo,Parks,Barcelona,Spain
64,Galeria Maxo,Points of Interest & Landmarks,Barcelona,Spain
65,Catalan Museum of Archaeology,History Museums,Barcelona,Spain
66,Placa de Sant Josep Oriol,Historic Sites • Points of Interest & Landmarks,Barcelona,Spain
67,El Triangle Centre Comercial,Shopping Malls,Barcelona,Spain
68,City Hall (Casa de la Ciutat / Ayuntamiento),Architectural Buildings • Government Buildings,Barcelona,Spain
69,Casa Sayrach,Historic Sites • Points of Interest & Landmarks,Barcelona,Spain
70,Piscina Municipal de Montjuic,Sports Complexes,Barcelona,Spain
71,Casa Calvet,Architectural Buildings,Barcelona,Spain
72,Castle of the Three Dragons,Architectural Buildings,Barcelona,Spain
73,Casa Llotja de Mar,Points of Interest & Landmarks,Barcelona,Spain
74,Mercat del Art de la Placa de Sant Josep Oriol,Flea & Street Markets,Barcelona,Spain
75,Edifici de Correus,Points of Interest & Landmarks • Architectural Buildings,Barcelona,Spain
76,Cafe Teatre Llantiol,Theaters,Barcelona,Spain
77,Somorrostro,Beaches,Barcelona,Spain
78,Microteatre Barcelona,Theaters,Barcelona,Spain
79,Museu Can Framis,Art Museums,Barcelona,Spain
80,Plaza Francesc Macià,Points of Interest & Landmarks,Barcelona,Spain
81,Antic Teatre - Espai de Creació,Theaters,Barcelona,Spain
82,Fuente de la Portaferrissa,Fountains,Barcelona,Spain
