WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2
"2,000+ places sorted by traveler favorites",,,,,,
"23,784",https://www.tripadvisor.com/Attraction_Review-g294212-d325811-Reviews-Mutianyu_Great_Wall-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e4/10/e4/it-was-an-amazing-experience.jpg?w=500&h=400&s=1,Mutianyu Great Wall,1.,https://www.tripadvisor.com/Attraction_Review-g294212-d325811-Reviews-Mutianyu_Great_Wall-Beijing.html#REVIEWS,Ancient Ruins • Points of Interest & Landmarks
"14,098",https://www.tripadvisor.com/Attraction_Review-g294212-d319086-Reviews-Forbidden_City_The_Palace_Museum-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/ef/6b/11/canale.jpg?w=500&h=-1&s=1,Forbidden City-The Palace Museum,2.,https://www.tripadvisor.com/Attraction_Review-g294212-d319086-Reviews-Forbidden_City_The_Palace_Museum-Beijing.html#REVIEWS,Speciality Museums • Architectural Buildings
"15,026",https://www.tripadvisor.com/Attraction_Review-g294212-d311538-Reviews-Summer_Palace_Yiheyuan-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/d8/a4/19/the-palace-and-walkway.jpg?w=500&h=400&s=1,Summer Palace (Yiheyuan),3.,https://www.tripadvisor.com/Attraction_Review-g294212-d311538-Reviews-Summer_Palace_Yiheyuan-Beijing.html#REVIEWS,Points of Interest & Landmarks • Historic Walking Areas
"11,047",https://www.tripadvisor.com/Attraction_Review-g294212-d311505-Reviews-The_Great_Wall_at_Badaling-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/c3/9b/c5/the-great-wall-at-badaling.jpg?w=500&h=-1&s=1,The Great Wall at Badaling,4.,https://www.tripadvisor.com/Attraction_Review-g294212-d311505-Reviews-The_Great_Wall_at_Badaling-Beijing.html#REVIEWS,Ancient Ruins • Architectural Buildings
"4,206",https://www.tripadvisor.com/Attraction_Review-g294212-d311539-Reviews-Lama_Temple_Yonghegong-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/f4/0c/d7/20181006-153644-largejpg.jpg?w=500&h=400&s=1,Lama Temple (Yonghegong),5.,https://www.tripadvisor.com/Attraction_Review-g294212-d311539-Reviews-Lama_Temple_Yonghegong-Beijing.html#REVIEWS,History Museums
"12,198",https://www.tripadvisor.com/Attraction_Review-g294212-d311534-Reviews-Temple_of_Heaven-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/91/31/b1/dsc-0158-largejpg.jpg?w=500&h=400&s=1,Temple of Heaven,6.,https://www.tripadvisor.com/Attraction_Review-g294212-d311534-Reviews-Temple_of_Heaven-Beijing.html#REVIEWS,Historic Sites • Architectural Buildings
"2,954",https://www.tripadvisor.com/Attraction_Review-g294212-d321028-Reviews-Jingshan_Park_Jingshan_Gongyuan-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/49/df/1b/jingshan-park.jpg?w=500&h=-1&s=1,Jingshan Park (Jingshan Gongyuan),7.,https://www.tripadvisor.com/Attraction_Review-g294212-d321028-Reviews-Jingshan_Park_Jingshan_Gongyuan-Beijing.html#REVIEWS,Points of Interest & Landmarks • Lookouts
"2,554",https://www.tripadvisor.com/Attraction_Review-g294212-d1563680-Reviews-Juyong_Pass_of_Great_Wall-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/18/85/23/fortificazioni.jpg?w=500&h=-1&s=1,Juyong Pass of Great Wall,8.,https://www.tripadvisor.com/Attraction_Review-g294212-d1563680-Reviews-Juyong_Pass_of_Great_Wall-Beijing.html#REVIEWS,Historic Sites • Military Bases & Facilities
"2,353",https://www.tripadvisor.com/Attraction_Review-g294212-d311598-Reviews-Beihai_Park_Beihai_Gongyuan-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/de/f4/87/photo5jpg.jpg?w=500&h=400&s=1,Beihai Park (Beihai Gongyuan),9.,https://www.tripadvisor.com/Attraction_Review-g294212-d311598-Reviews-Beihai_Park_Beihai_Gongyuan-Beijing.html#REVIEWS,Bodies of Water • Points of Interest & Landmarks
