,Attraction Name,Attraction Type,City,Country
0,,,Beijing,China
1,Mutianyu Great Wall,Ancient Ruins • Points of Interest & Landmarks,Beijing,China
2,Forbidden City-The Palace Museum,Speciality Museums • Architectural Buildings,Beijing,China
3,Summer Palace (Yiheyuan),Points of Interest & Landmarks • Historic Walking Areas,Beijing,China
4,The Great Wall at Badaling,Ancient Ruins • Architectural Buildings,Beijing,China
5,Lama Temple (Yonghegong),History Museums,Beijing,China
6,Temple of Heaven,Historic Sites • Architectural Buildings,Beijing,China
7,Jingshan Park (Jingshan Gongyuan),Points of Interest & Landmarks • Lookouts,Beijing,China
8,Juyong Pass of Great Wall,Historic Sites • Military Bases & Facilities,Beijing,China
9,Beihai Park (Beihai Gongyuan),Bodies of Water • Points of Interest & Landmarks,Beijing,China
10,Great Wall at Huanghuacheng,Points of Interest & Landmarks,Beijing,China
11,798 Art Zone,Art Galleries • Neighborhoods,Beijing,China
12,Simatai Great Wall,State Parks • Ancient Ruins,Beijing,China
13,Chaoyang Theater,Theaters,Beijing,China
14,Gubei Water Town,Historic Walking Areas,Beijing,China
15,The Great wall of Jiankou,Historic Sites,Beijing,China
16,Tian'anmen,Historic Sites • Architectural Buildings,Beijing,China
17,Olympic Park,Amusement & Theme Parks • Arenas & Stadiums,Beijing,China
18,Tiananmen Square (Tiananmen Guangchang),Historic Sites • Points of Interest & Landmarks,Beijing,China
19,National Center for the Performing Arts,Architectural Buildings • Theaters,Beijing,China
20,Taikoo Li Sanlitun,Points of Interest & Landmarks • Shopping Malls,Beijing,China
21,Qianmen Main Street Mall,Shopping Malls,Beijing,China
22,Panjiayuan Antique Market,Antique Shops • Flea & Street Markets,Beijing,China
23,Fragrant Hills Park (Xiangshan Gongyuan),Parks,Beijing,China
24,The Great Wall of Gubeikou,Historic Sites • Architectural Buildings,Beijing,China
25,National Museum Of China,Speciality Museums,Beijing,China
26,Long Corridor at the Summer Palace,Points of Interest & Landmarks,Beijing,China
27,Old Summer Palace (Yuanmingyuan),Ancient Ruins • Points of Interest & Landmarks,Beijing,China
28,Parkview Green,Shopping Malls,Beijing,China
29,Niaochao National Stadium,Arenas & Stadiums,Beijing,China
30,Water Great Wall at Huanghuacheng,Historic Sites,Beijing,China
31,,2,Beijing,China
32,Yuyuantan Park,Parks • Gardens,Beijing,China
33,Tsinghua University,Educational sites,Beijing,China
34,Ritan Park (Ritan Gongyuan),Parks,Beijing,China
35,The Imperial Garden of The Palace Museum,Parks,Beijing,China
36,Beijing Capital Museum,History Museums,Beijing,China
37,Happy Valley of Beijing,Amusement & Theme Parks,Beijing,China
38,Hall of Prayer for Good Harvest,Architectural Buildings,Beijing,China
39,Hall of Great Harmony (Taihe Dian),Architectural Buildings,Beijing,China
40,Beijing Botanical Garden,Science Museums • Parks,Beijing,China
41,Olympic Forest Park,Parks,Beijing,China
42,Dashilan,Points of Interest & Landmarks • Historic Walking Areas,Beijing,China
43,Zhongshan Park,Parks,Beijing,China
44,Temple of Confucius and Guozijian Museum,Speciality Museums,Beijing,China
45,Yandai Xie Street,Historic Walking Areas • Antique Shops,Beijing,China
46,Liulichang Street,Points of Interest & Landmarks,Beijing,China
47,Chaoyang Park,Parks,Beijing,China
48,Beijing APM,Shopping Malls,Beijing,China
49,Solana,Neighborhoods • Shopping Malls,Beijing,China
50,Wudaoying Hutong,Historic Walking Areas,Beijing,China
51,National Art Museum Of China,Art Museums,Beijing,China
52,Beijing South Railway Station,Architectural Buildings,Beijing,China
53,Peking University (Beijing Da Xue),Educational sites,Beijing,China
54,Turret of The Palace Museum,Architectural Buildings,Beijing,China
55,Joy City,Shopping Malls,Beijing,China
56,Tower of Buddhist Incense(Summer Palace),Architectural Buildings,Beijing,China
57,Shilingxia Scenic Area,Observation Decks & Towers,Beijing,China
58,St. Joseph's Cathedral,Religious Sites,Beijing,China
59,Dong Yue Miao (Dongyue Temple),Religious Sites,Beijing,China
60,Wangfujing Mall,Shopping Malls,Beijing,China
61,Beijing Wildlife Park,Nature & Wildlife Areas,Beijing,China
62,,1,Beijing,China
63,Yuyuantan Park,Parks • Gardens,Beijing,China
64,Tsinghua University,Educational sites,Beijing,China
65,Ritan Park (Ritan Gongyuan),Parks,Beijing,China
66,The Imperial Garden of The Palace Museum,Parks,Beijing,China
67,Beijing Capital Museum,History Museums,Beijing,China
68,,1,Beijing,China
69,Ming Tombs (Ming Shishan Ling),Historic Sites • Architectural Buildings,Beijing,China
70,China Railway Museum Dongjiao,Speciality Museums,Beijing,China
71,Beijing Zoo,Zoos,Beijing,China
72,Fayuan Si - Buddhist Temple,Historic Sites • Religious Sites,Beijing,China
73,China Nationalities Museum (China Ethnic Culture Park),Speciality Museums,Beijing,China
74,Beijing Working People's Cultural Palace,Architectural Buildings • Civic Centres,Beijing,China
75,Water Cube,Amusement & Theme Parks • Architectural Buildings,Beijing,China
76,China Railway Museum Zhengyangmen,Speciality Museums,Beijing,China
77,Pearl Market (Hongqiao Market),Flea & Street Markets,Beijing,China
78,Dongsi Hutong,Historic Walking Areas,Beijing,China
79,Longtan Lake Park,Parks,Beijing,China
80,Hongluo Temple,Religious Sites,Beijing,China
81,The Place,Points of Interest & Landmarks • Architectural Buildings,Beijing,China
82,Hutong Tour,Historic Sites • Ancient Ruins,Beijing,China
83,Shicha Lake Park,Parks,Beijing,China
84,Today Art Museum,Art Museums,Beijing,China
85,Pool and Mulberry Tree Temple (Tanzhe Si),Historic Sites • Religious Sites,Beijing,China
86,Temple of the White Dagoba (Baita Si),Architectural Buildings • Observation Decks & Towers,Beijing,China
87,Pinggu Jiangjunguan Great Wall,Historic Sites • Architectural Buildings,Beijing,China
88,Beijing Workers' Stadium,Points of Interest & Landmarks • Arenas & Stadiums,Beijing,China
89,Baiyun Taoist Temple,Architectural Buildings • Religious Sites,Beijing,China
90,UCCA Center for Contemporary Art,Art Galleries • Art Museums,Beijing,China
91,Forbidden City Music Hall,Theaters,Beijing,China
92,Beijing Language and Culture University,Educational sites,Beijing,China
93,Yanqi Lake,Bodies of Water,Beijing,China
94,Wudaokou,Points of Interest & Landmarks,Beijing,China
95,Seventeen Arches Bridge,Architectural Buildings,Beijing,China
96,Sanlitun Bar Street,Points of Interest & Landmarks,Beijing,China
97,National Library of China,Libraries,Beijing,China
98,Chang'an Avenue,Points of Interest & Landmarks,Beijing,China
99,,1,Beijing,China
100,Fenghuangling Nature Park,Parks,Beijing,China
101,INDIGO,Shopping Malls,Beijing,China
102,Lotus Lane,Points of Interest & Landmarks,Beijing,China
103,China Aviation Museum,Speciality Museums,Beijing,China
104,Chairman Mao Memorial Hall (Maozhuxi Jiniantang),Historic Sites • Monuments & Statues,Beijing,China
105,World Park Beijing,Speciality Museums,Beijing,China
106,Ghost Street (Gui Jie),Points of Interest & Landmarks,Beijing,China
107,Longqing Gorge,Valleys,Beijing,China
108,Tuanjiehu Park,Parks,Beijing,China
109,Qianmen (Zhengyangmen),Neighborhoods,Beijing,China
110,Gong Wang Fu,Historic Sites • Architectural Buildings,Beijing,China
111,Renmin University of China,Universities & Schools,Beijing,China
112,Juyongguan Great Wall,Historic Sites • Points of Interest & Landmarks,Beijing,China
113,Tianqiao Acrobatics Theater,Theaters,Beijing,China
114,Guyaju Caves,Ancient Ruins,Beijing,China
115,Jingdong Grand Canyon,Geologic Formations,Beijing,China
116,Paleozoological Museum of China,Speciality Museums,Beijing,China
117,Fahai Temple,Religious Sites,Beijing,China
118,Beihang University,,Beijing,China
119,Beijing Aquarium (Beijing Haiyangguan),Aquariums,Beijing,China
120,Beijing Garden of World Flowers,Amusement & Theme Parks • Parks,Beijing,China
121,Liyuan Theatre,Theaters,Beijing,China
122,Cuandixia Village,Points of Interest & Landmarks • Historic Walking Areas,Beijing,China
123,English speaking driver in Beijing,Historic Sites • Points of Interest & Landmarks,Beijing,China
124,Galaxy SOHO,Points of Interest & Landmarks,Beijing,China
125,Military Museum of Chinese People's Revolution,Military Museums,Beijing,China
126,Palace of Heavenly Purity,Architectural Buildings,Beijing,China
127,Tiandi Theatre Acrobatic Show,Theaters,Beijing,China
128,Shidu Nature Park,Nature & Wildlife Areas,Beijing,China
129,Meridian Gate (Wu Men),Historic Sites • Architectural Buildings,Beijing,China
130,,1,Beijing,China
131,Zhihua Temple,Religious Sites,Beijing,China
132,Taoran Park,Parks,Beijing,China
133,Glory Mall,Shopping Malls,Beijing,China
134,China World Shopping Mall,Shopping Malls,Beijing,China
135,Zhoukoudian Peking Man Site,History Museums,Beijing,China
