WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,TCGml,WlYyy 4,iPqaD href 3,dugSS src 2,WlYyy 5,iPqaD,iPqaD href 5,WlYyy 6,dkvhj,WlYyy 7
"3,000+ places sorted by traveler favorites",,,,,,,,,,,,,,,,,
"35,153",https://www.tripadvisor.com/Attraction_Review-g187323-d190517-Reviews-Reichstag_Building-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/b3/e9/b6/im-inneren-der-kuppel.jpg?w=500&h=400&s=1,Reichstag Building,1.,https://www.tripadvisor.com/Attraction_Review-g187323-d190517-Reviews-Reichstag_Building-Berlin.html#REVIEWS,Points of Interest & Landmarks • Architectural Buildings,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/martinvG9146KA,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,By,martinvG9146KA,https://www.tripadvisor.com/ShowUserReviews-g187323-d190517-r603411448-Reichstag_Building-Berlin.html,It is great to go up and enjoy the view of Berlin - while you learn about politics and history -,book in advance,to s...
"17,894",https://www.tripadvisor.com/Attraction_Review-g187323-d196239-Reviews-Memorial_of_the_Berlin_Wall-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/b6/30/6f/memorial-of-the-berlin.jpg?w=500&h=400&s=1,Memorial of the Berlin Wall,2.,https://www.tripadvisor.com/Attraction_Review-g187323-d196239-Reviews-Memorial_of_the_Berlin_Wall-Berlin.html#REVIEWS,Historic Sites,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/GlobetrotterTwo,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,By,GlobetrotterTwo,https://www.tripadvisor.com/ShowUserReviews-g187323-d196239-r666159147-Memorial_of_the_Berlin_Wall-Berlin.html,Large piece of wall kept intact vividly showing how the,Berlin Wall,divided communities and memorial to those who die...
"20,536",https://www.tripadvisor.com/Attraction_Review-g187323-d190527-Reviews-Pergamonmuseum-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/b9/6e/70/caption.jpg?w=500&h=400&s=1,Pergamonmuseum,3.,https://www.tripadvisor.com/Attraction_Review-g187323-d190527-Reviews-Pergamonmuseum-Berlin.html#REVIEWS,Art Museums,Mitte (Borough),•,Temporarily closed,https://www.tripadvisor.com/Profile/KDF4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/b9/c2/04/kdf4.jpg?w=100&h=-1&s=1,By,KDF4,https://www.tripadvisor.com/ShowUserReviews-g187323-d190527-r677875904-Pergamonmuseum-Berlin.html,... of our trip and I highly recommend also visiting Das Panorama which shows digital images of the,Pergamon Altar,.
"8,941",https://www.tripadvisor.com/Attraction_Review-g187323-d190520-Reviews-Museum_Island-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/5a/f0/d6/museum-island.jpg?w=500&h=400&s=1&cx=991&cy=440&chk=v1_2ba60cd793ba70a72934,Museum Island,4.,https://www.tripadvisor.com/Attraction_Review-g187323-d190520-Reviews-Museum_Island-Berlin.html#REVIEWS,Speciality Museums • Points of Interest & Landmarks,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/KTGP,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/e2/45/46/ktgp.jpg?w=100&h=-1&s=1,By,KTGP,https://www.tripadvisor.com/ShowUserReviews-g187323-d190520-r600171170-Museum_Island-Berlin.html,"Museum Island is made up of five museums, Altes Museum, Alte Nationalgalerie, Bode Museum,",Neues Museum,and the Perga...
"5,281",https://www.tripadvisor.com/Attraction_Review-g187323-d190603-Reviews-Friedrichstadt_Palast-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/19/ce/5a/arise-grand-show.jpg?w=500&h=400&s=1,Friedrichstadt-Palast,5.,https://www.tripadvisor.com/Attraction_Review-g187323-d190603-Reviews-Friedrichstadt_Palast-Berlin.html#REVIEWS,Points of Interest & Landmarks • Architectural Buildings,Mitte (Borough),•,Open now,,,,,,,,
"46,049",https://www.tripadvisor.com/Attraction_Review-g187323-d190518-Reviews-Brandenburg_Gate-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/cd/1e/2e/caption.jpg?w=500&h=-1&s=1&cx=1070&cy=448&chk=v1_b58b92a890cf42edea5b,Brandenburg Gate,6.,https://www.tripadvisor.com/Attraction_Review-g187323-d190518-Reviews-Brandenburg_Gate-Berlin.html#REVIEWS,Points of Interest & Landmarks • Monuments & Statues,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/Bofdan,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,By,Bofdan,https://www.tripadvisor.com/ShowUserReviews-g187323-d190518-r575480017-Brandenburg_Gate-Berlin.html,A must see,iconic landmark,"in Berlin, nice to walk around on a sunny day, close to Reichstag, Bundes and Hbf"
"19,212",https://www.tripadvisor.com/Attraction_Review-g187323-d190535-Reviews-Topography_of_Terror-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/0e/90/fc/topography-of-terror.jpg?w=500&h=400&s=1,Topography of Terror,7.,https://www.tripadvisor.com/Attraction_Review-g187323-d190535-Reviews-Topography_of_Terror-Berlin.html#REVIEWS,Speciality Museums,Friedrichshain-Kreuzberg (Borough),•,Open now,https://www.tripadvisor.com/Profile/PianoGill,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/e2/62/27/caption.jpg?w=100&h=-1&s=1,By,PianoGill,https://www.tripadvisor.com/ShowUserReviews-g187323-d190535-r651781667-Topography_of_Terror-Berlin.html,... period of history but this exhibition definitely gives you an insight and is right beside part of the,Berlin Wall,.
"36,503",https://www.tripadvisor.com/Attraction_Review-g187323-d617423-Reviews-The_Holocaust_Memorial_Memorial_to_the_Murdered_Jews_of_Europe-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/9b/8a/38/photo8jpg.jpg?w=500&h=-1&s=1,The Holocaust Memorial - Memorial to the Murdered Jews of Europe,8.,https://www.tripadvisor.com/Attraction_Review-g187323-d617423-Reviews-The_Holocaust_Memorial_Memorial_to_the_Murdered_Jews_of_Europe-Berlin.html#REVIEWS,Monuments & Statues,Mitte (Borough),•,Open now,https://www.tripadvisor.com/Profile/MBChicago2015,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,By,MBChicago2015,https://www.tripadvisor.com/ShowUserReviews-g187323-d617423-r572037009-The_Holocaust_Memorial_Memorial_to_the_Murdered_Jews_of_Europe-Berlin.html,"Great for a quick visit, definitely very unique for a",holocaust memorial,", worth the trip."
"16,603",https://www.tripadvisor.com/Attraction_Review-g187323-d191041-Reviews-East_Side_Gallery-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/81/58/8d/caption.jpg?w=500&h=400&s=1,East Side Gallery,9.,https://www.tripadvisor.com/Attraction_Review-g187323-d191041-Reviews-East_Side_Gallery-Berlin.html#REVIEWS,Historic Sites • Points of Interest & Landmarks,Friedrichshain,,,https://www.tripadvisor.com/Profile/rizznizz,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/c9/3f/ea/steve-r.jpg?w=100&h=-1&s=1,By,rizznizz,https://www.tripadvisor.com/ShowUserReviews-g187323-d191041-r639042419-East_Side_Gallery-Berlin.html,Seeing the remaining,Berlin Wall,was amazing but seeing all the wonderful art on the wall is fantastic!
