,Attraction Name,Attraction Type,City,Country
0,,,Berlin,Germany
1,Reichstag Building,Points of Interest & Landmarks • Architectural Buildings,Berlin,Germany
2,Memorial of the Berlin Wall,Historic Sites,Berlin,Germany
3,Pergamonmuseum,Art Museums,Berlin,Germany
4,Museum Island,Speciality Museums • Points of Interest & Landmarks,Berlin,Germany
5,Friedrichstadt-Palast,Points of Interest & Landmarks • Architectural Buildings,Berlin,Germany
6,Brandenburg Gate,Points of Interest & Landmarks • Monuments & Statues,Berlin,Germany
7,Topography of Terror,Speciality Museums,Berlin,Germany
8,The Holocaust Memorial - Memorial to the Murdered Jews of Europe,Monuments & Statues,Berlin,Germany
9,East Side Gallery,Historic Sites • Points of Interest & Landmarks,Berlin,Germany
10,Berliner Dom,Architectural Buildings • Churches & Cathedrals,Berlin,Germany
11,Neues Museum,Speciality Museums • Art Museums,Berlin,Germany
12,German Museum of Technology,Science Museums,Berlin,Germany
13,Tiergarten,Gardens,Berlin,Germany
14,Charlottenburg Palace,Historic Sites • Castles,Berlin,Germany
15,Zoo Berlin,Zoos • Aquariums,Berlin,Germany
16,Deutsches Historisches Museum,Points of Interest & Landmarks • Architectural Buildings,Berlin,Germany
17,Olympiastadion Berlin,Arenas & Stadiums,Berlin,Germany
18,Gemaldegalerie,Art Museums,Berlin,Germany
19,Gendarmenmarkt,Points of Interest & Landmarks,Berlin,Germany
20,Classic Remise Berlin,Speciality Museums,Berlin,Germany
21,Berliner Philharmonie,Symphonies • Architectural Buildings,Berlin,Germany
22,Kaiser Wilhelm Memorial Church,Religious Sites,Berlin,Germany
23,German Spy Museum Berlin,Speciality Museums • History Museums,Berlin,Germany
24,Berlin-Hohenschonhausen Memorial,Historic Sites,Berlin,Germany
25,Museum fuer Naturkunde Berlin,Natural History Museums,Berlin,Germany
26,Stasimuseum,Speciality Museums,Berlin,Germany
27,Palace of Tears,History Museums,Berlin,Germany
28,Victory Column (Siegessaule),Monuments & Statues,Berlin,Germany
29,Treptower Park,Parks,Berlin,Germany
30,Prenzlauer Berg,Neighborhoods,Berlin,Germany
31,,2,Berlin,Germany
32,,1,Berlin,Germany
33,Kreuzberg,Neighborhoods,Berlin,Germany
34,Tempelhof Airport,Speciality Museums,Berlin,Germany
35,DDR Museum,Speciality Museums,Berlin,Germany
36,Mitte,Neighborhoods,Berlin,Germany
37,Berlin Story Bunker,Speciality Museums • History Museums,Berlin,Germany
