,Attraction Name,Attraction Type,City,Country
0,,,Buenos Aires,Argentina
1,Teatro Colon,Theaters,Buenos Aires,Argentina
2,Puerto Madero,Neighborhoods,Buenos Aires,Argentina
3,Recoleta,Historic Sites • Neighborhoods,Buenos Aires,Argentina
4,Bosques de Palermo,Parks,Buenos Aires,Argentina
5,Jardin Japones,Gardens,Buenos Aires,Argentina
6,Museo Nacional de Bellas Artes,Art Museums,Buenos Aires,Argentina
7,Palermo Soho,Neighborhoods,Buenos Aires,Argentina
8,Palermo,Neighborhoods,Buenos Aires,Argentina
9,Calle Defensa,Neighborhoods • Historic Walking Areas,Buenos Aires,Argentina
10,Cemitério de Recoleta,Points of Interest & Landmarks • Cemeteries,Buenos Aires,Argentina
11,Palacio Barolo,Historic Sites • Architectural Buildings,Buenos Aires,Argentina
12,Centro Cultural Kirchner,Architectural Buildings,Buenos Aires,Argentina
13,Museo de Arte Latinoamericano de Buenos Aires,Art Museums,Buenos Aires,Argentina
14,Rosedal De Palermo,Gardens,Buenos Aires,Argentina
15,Estadio Alberto J. Armando (La Bombonera),Arenas & Stadiums,Buenos Aires,Argentina
16,Estadio Monumental De River Plate,Arenas & Stadiums,Buenos Aires,Argentina
17,Floralis Generica,Monuments & Statues,Buenos Aires,Argentina
18,Casa Rosada,Historic Sites • Points of Interest & Landmarks,Buenos Aires,Argentina
19,El Zanjon de Granados,History Museums,Buenos Aires,Argentina
20,Museo Nacional De Arte Decorativo,Historic Sites • Art Museums,Buenos Aires,Argentina
21,Usina del Arte,Architectural Buildings • Civic Centres,Buenos Aires,Argentina
22,Reserva Ecologica,Hiking Trails,Buenos Aires,Argentina
23,Museo River Plate,Speciality Museums,Buenos Aires,Argentina
24,Museo de los Ninos,Children's Museums,Buenos Aires,Argentina
25,Palacio Paz,Speciality Museums • Points of Interest & Landmarks,Buenos Aires,Argentina
26,Palacio de Aguas Corrientes,Castles,Buenos Aires,Argentina
27,Hipodromo Argentino de Palermo,Arenas & Stadiums • Horse Tracks,Buenos Aires,Argentina
28,Mercado de San Telmo,Flea & Street Markets,Buenos Aires,Argentina
29,Campo Argentino de Polo,Arenas & Stadiums • Horse Tracks,Buenos Aires,Argentina
30,Centro Cultural Borges,Art Galleries • Theaters,Buenos Aires,Argentina
31,,2,Buenos Aires,Argentina
32,,1,Buenos Aires,Argentina
33,Tierra Santa,Amusement & Theme Parks,Buenos Aires,Argentina
34,Museo Evita,Speciality Museums,Buenos Aires,Argentina
35,La Boca,Neighborhoods • Historic Walking Areas,Buenos Aires,Argentina
36,Lagos de Palermo,Bodies of Water,Buenos Aires,Argentina
37,Museo Casa Rosada,Speciality Museums,Buenos Aires,Argentina
38,Basílica del Santísimo Sacramento,Churches & Cathedrals,Buenos Aires,Argentina
39,Plaza de Mayo,Points of Interest & Landmarks • Missions,Buenos Aires,Argentina
40,Parque 3 de Febrero,Gardens,Buenos Aires,Argentina
41,Jardin Botanico,Libraries • Gardens,Buenos Aires,Argentina
42,Feira de San Telmo,Flea & Street Markets,Buenos Aires,Argentina
43,Museo Argentino de Ciencias Naturales Bernardino Rivadavia,Natural History Museums,Buenos Aires,Argentina
44,Patio de los Lecheros,Points of Interest & Landmarks,Buenos Aires,Argentina
45,Caminito,Historic Walking Areas,Buenos Aires,Argentina
46,Avenida 9 De Julio,Points of Interest & Landmarks,Buenos Aires,Argentina
47,Museo de la Pasion Boquense,Speciality Museums,Buenos Aires,Argentina
48,Catedral Primada,Churches & Cathedrals,Buenos Aires,Argentina
49,Obelisco de Buenos Aires,Points of Interest & Landmarks,Buenos Aires,Argentina
50,Planetario Galileo Galilei,Science Museums • Observatories & Planetariums,Buenos Aires,Argentina
51,Feria de Mataderos,Flea & Street Markets,Buenos Aires,Argentina
52,Mafalda Statue,Architectural Buildings,Buenos Aires,Argentina
53,Centro Cultural Recoleta,Art Galleries • Convention Centers,Buenos Aires,Argentina
54,Buque Museo Fragata ARA Presidente Sarmiento,Speciality Museums,Buenos Aires,Argentina
55,Fundacion Proa,Speciality Museums • Children's Museums,Buenos Aires,Argentina
56,Basilica de Nuestra Senora Del Pilar,Historic Sites • Religious Sites,Buenos Aires,Argentina
57,Puente de la Mujer,Bridges,Buenos Aires,Argentina
58,Distrito Arcos,Shopping Malls,Buenos Aires,Argentina
59,Plaza Dorrego,Points of Interest & Landmarks,Buenos Aires,Argentina
60,Museo Historico Nacional,History Museums,Buenos Aires,Argentina
61,Parque Centenario,Parks,Buenos Aires,Argentina
62,Plaza San Martín,Points of Interest & Landmarks • Monuments & Statues,Buenos Aires,Argentina
63,,1,Buenos Aires,Argentina
64,Parque de la Memoria,Monuments & Statues,Buenos Aires,Argentina
65,Museo de Arte Moderno de Buenos Aires,Speciality Museums • Art Museums,Buenos Aires,Argentina
66,Avenida de Mayo,Points of Interest & Landmarks,Buenos Aires,Argentina
67,Tramway Histórico de Buenos Aires,Speciality Museums • Trams,Buenos Aires,Argentina
68,Plazoleta Julio Cortazar,Parks,Buenos Aires,Argentina
69,Basilica Nuestra Senora de la Merced,Churches & Cathedrals,Buenos Aires,Argentina
70,Paseo La Plaza,Points of Interest & Landmarks,Buenos Aires,Argentina
71,Plaza Francia,Historic Sites • Points of Interest & Landmarks,Buenos Aires,Argentina
72,Flea Market Mercado de Pulgas,Flea & Street Markets,Buenos Aires,Argentina
73,Shopping Patio Bullrich,Shopping Malls,Buenos Aires,Argentina
74,Luna Park,Arenas & Stadiums,Buenos Aires,Argentina
75,Gomero de la Recoleta,Points of Interest & Landmarks,Buenos Aires,Argentina
76,Galeria Guemes,Shopping Malls,Buenos Aires,Argentina
77,Avenida Corrientes,Points of Interest & Landmarks,Buenos Aires,Argentina
78,Estadio José Amalfitani,Arenas & Stadiums,Buenos Aires,Argentina
79,Museo Beatle,Speciality Museums,Buenos Aires,Argentina
80,Cafe Tortoni,Cabarets,Buenos Aires,Argentina
81,La Manzana de Las Luces,Historic Sites • Points of Interest & Landmarks,Buenos Aires,Argentina
82,Galeria El Solar de French,Shopping Malls,Buenos Aires,Argentina
83,Abadia San Benito de Palermo,Points of Interest & Landmarks,Buenos Aires,Argentina
84,Coleccion de Arte Amalia Lacroze de Fortabat,Art Museums,Buenos Aires,Argentina
85,Subte,Public Transportation Systems,Buenos Aires,Argentina
86,Parroquia Nuestra Senora de Guadalupe,Churches & Cathedrals,Buenos Aires,Argentina
87,Espacio Memoria y Derechos Humanos ex Esma,Speciality Museums,Buenos Aires,Argentina
88,Ciudad Cultural Konex,Speciality Museums,Buenos Aires,Argentina
89,La Rural,Convention Centers,Buenos Aires,Argentina
90,Parque Chacabuco,Parks,Buenos Aires,Argentina
91,Congreso,Architectural Buildings • Government Buildings,Buenos Aires,Argentina
92,Microcentro,Neighborhoods,Buenos Aires,Argentina
93,Museo de Arte Espanol Enrique Larreta,Art Museums,Buenos Aires,Argentina
94,,1,Buenos Aires,Argentina
95,Teatro Gran Rex,Theaters,Buenos Aires,Argentina
96,Costanera Norte,Points of Interest & Landmarks,Buenos Aires,Argentina
97,Chinatown,Neighborhoods,Buenos Aires,Argentina
98,Museo Benito Quinquela Martin,Art Museums,Buenos Aires,Argentina
99,Cabildo,Historic Sites • History Museums,Buenos Aires,Argentina
100,Costanera Sur,Scenic Walking Areas,Buenos Aires,Argentina
101,Museo de Armas de la Nación,Speciality Museums,Buenos Aires,Argentina
102,Cementerio de la Chacarita,Historic Sites • Points of Interest & Landmarks,Buenos Aires,Argentina
103,Parque Lezama,Historic Sites • Parks,Buenos Aires,Argentina
104,Abasto Shopping,Shopping Malls,Buenos Aires,Argentina
105,Museo Participativo De Ciencias,Science Museums,Buenos Aires,Argentina
106,Casino Buenos Aires,Casinos,Buenos Aires,Argentina
107,Paseo de la Historieta,Points of Interest & Landmarks,Buenos Aires,Argentina
108,Palermo Hollywood,Neighborhoods,Buenos Aires,Argentina
109,Buquebus,Ferries,Buenos Aires,Argentina
110,Torre Monumental,Monuments & Statues,Buenos Aires,Argentina
111,Basilica Maria Auxiliadora y San Carlos,Churches & Cathedrals,Buenos Aires,Argentina
112,Facultad de Derecho - Universidad de Buenos Aires,Architectural Buildings • Educational sites,Buenos Aires,Argentina
113,Palacio San Martin,Points of Interest & Landmarks,Buenos Aires,Argentina
114,Eva Peron's Tomb,Cemeteries,Buenos Aires,Argentina
115,Parque de los Ninos de la Ciudad de Buenos Aires Costanera,Playgrounds,Buenos Aires,Argentina
116,Iglesia de San Ignacio de Loyola,Architectural Buildings • Churches & Cathedrals,Buenos Aires,Argentina
117,Santuario Nuestra Senora de Lourdes,Architectural Buildings • Churches & Cathedrals,Buenos Aires,Argentina
118,Recoleta Mall,Shopping Malls,Buenos Aires,Argentina
119,Colonia Express,Ferries,Buenos Aires,Argentina
120,Palacio Pizzurno,Points of Interest & Landmarks,Buenos Aires,Argentina
121,Centro Cultural de la Ciencia,Science Museums,Buenos Aires,Argentina
122,Parque Las Heras,Parks,Buenos Aires,Argentina
123,Museo del Holocausto Buenos Aires,Speciality Museums • History Museums,Buenos Aires,Argentina
124,Palermo Viejo,Neighborhoods,Buenos Aires,Argentina
125,,1,Buenos Aires,Argentina
126,Museo Santa Felicitas,Points of Interest & Landmarks,Buenos Aires,Argentina
127,Edificio Kavanagh,Points of Interest & Landmarks • Architectural Buildings,Buenos Aires,Argentina
128,Centro Ana Frank,Speciality Museums,Buenos Aires,Argentina
129,Prohibido No Tocar,Speciality Museums,Buenos Aires,Argentina
130,Museo de la Policía Federal Argentina,Speciality Museums,Buenos Aires,Argentina
131,Calle Murillo,Points of Interest & Landmarks,Buenos Aires,Argentina
132,Teatro Lola Membrives,Theaters,Buenos Aires,Argentina
133,Terminal de Ómnibus de Buenos Aires,Points of Interest & Landmarks • Public Transportation Systems,Buenos Aires,Argentina
134,Banco de la Nacion Argentina,Speciality Museums,Buenos Aires,Argentina
135,Barrio de Belgrano,Neighborhoods,Buenos Aires,Argentina
136,Museo del Automovil,Speciality Museums,Buenos Aires,Argentina
137,Plaza del Congreso,Points of Interest & Landmarks,Buenos Aires,Argentina
138,Rio de la Plata,Bodies of Water,Buenos Aires,Argentina
139,Museo de Calcos y Escultura Comparada,Speciality Museums,Buenos Aires,Argentina
140,Estadio Pedro Bidegain,Arenas & Stadiums,Buenos Aires,Argentina
141,Palermo Chico,Neighborhoods,Buenos Aires,Argentina
142,Parroquia Nuestra Senora de Balvanera,Architectural Buildings • Religious Sites,Buenos Aires,Argentina
143,Casa Minima,Points of Interest & Landmarks,Buenos Aires,Argentina
144,Biblioteca Nacional,Libraries,Buenos Aires,Argentina
145,Mercado Belgrano,Farmers Markets,Buenos Aires,Argentina
146,Paseo Alcorta,Shopping Malls,Buenos Aires,Argentina
147,Villa Crespo,,Buenos Aires,Argentina
148,La Feria de Artesanos de Belgrano,Flea & Street Markets,Buenos Aires,Argentina
149,Nordelta Centro Comercial,Shopping Malls,Buenos Aires,Argentina
150,Parque Rivadavia,Parks,Buenos Aires,Argentina
151,Colegio Nacional de Buenos Aires,Architectural Buildings,Buenos Aires,Argentina
152,El Once Barrio Comercial,Shopping Malls,Buenos Aires,Argentina
153,Lavalle Street,Points of Interest & Landmarks,Buenos Aires,Argentina
154,El Museo Casa Carlos Gardel,Speciality Museums,Buenos Aires,Argentina
155,Pasaje de la Defensa,Historic Sites • Architectural Buildings,Buenos Aires,Argentina
156,,1,Buenos Aires,Argentina
157,Museo Santa Felicitas,Points of Interest & Landmarks,Buenos Aires,Argentina
158,Edificio Kavanagh,Points of Interest & Landmarks • Architectural Buildings,Buenos Aires,Argentina
159,Centro Ana Frank,Speciality Museums,Buenos Aires,Argentina
160,Prohibido No Tocar,Speciality Museums,Buenos Aires,Argentina
161,Museo de la Policía Federal Argentina,Speciality Museums,Buenos Aires,Argentina
162,,1,Buenos Aires,Argentina
163,Parroquia Nuestra Senora de la Medalla Milagrosa,Religious Sites • Churches & Cathedrals,Buenos Aires,Argentina
164,Plaza Italia,Points of Interest & Landmarks,Buenos Aires,Argentina
165,Embajada de Francia,Architectural Buildings • Government Buildings,Buenos Aires,Argentina
166,Centro Cultural Islamico,Architectural Buildings • Religious Sites,Buenos Aires,Argentina
167,FoLa,Art Galleries • Speciality Museums,Buenos Aires,Argentina
168,Vicente López y Planes Square,Points of Interest & Landmarks • Parks,Buenos Aires,Argentina
