,Attraction Name,Attraction Type,City,Country
0,,,Cape Town,South Africa
1,Table Mountain Aerial Cableway,Trams,Cape Town,South Africa
2,Victoria & Alfred Waterfront,Marinas • Piers & Boardwalks,Cape Town,South Africa
3,Lion's Head,Mountains,Cape Town,South Africa
4,Cape Point Nature Reserve,Nature & Wildlife Areas,Cape Town,South Africa
5,Signal Hill,Mountains • Nature & Wildlife Areas,Cape Town,South Africa
6,Two Oceans Aquarium,Aquariums,Cape Town,South Africa
7,District Six Museum,Speciality Museums,Cape Town,South Africa
8,Zeitz MOCAA,Art Museums,Cape Town,South Africa
9,Clifton Beaches,Beaches,Cape Town,South Africa
10,Hout Bay,Bodies of Water,Cape Town,South Africa
11,Bloubergstrand Beach,Beaches,Cape Town,South Africa
12,Bo-kaap,Neighborhoods,Cape Town,South Africa
13,The Old Biscuit Mill,Flea & Street Markets,Cape Town,South Africa
14,Robben Island Museum,Historic Sites • Islands,Cape Town,South Africa
15,South African Jewish Museum,Speciality Museums,Cape Town,South Africa
16,Heart of Cape Town Museum,Speciality Museums,Cape Town,South Africa
17,Company's Gardens,Gardens,Cape Town,South Africa
18,Twelve Apostles,Mountains • Geologic Formations,Cape Town,South Africa
19,Muizenberg Beach,Beaches,Cape Town,South Africa
20,Inverdoorn Private Game Reserve,Nature & Wildlife Areas • Off-Road & ATV Trails,Cape Town,South Africa
21,The Cape Wheel,Amusement & Theme Parks • Points of Interest & Landmarks,Cape Town,South Africa
22,Canal Walk Shopping Centre,Shopping Malls,Cape Town,South Africa
23,Cape Town Stadium (Green Point Stadium),Points of Interest & Landmarks,Cape Town,South Africa
24,"Lindt Chocolate Studio - Silo District, V&A Waterfront",Other Food & Drink,Cape Town,South Africa
25,Oranjezicht City Farm,Farms,Cape Town,South Africa
26,Greenpoint Park and Biodiversity Garden,Parks,Cape Town,South Africa
27,Fish Hoek Beach,Beaches,Cape Town,South Africa
28,Flying Dutchman Funicular,Trams • Points of Interest & Landmarks,Cape Town,South Africa
29,World of Birds,Nature & Wildlife Areas,Cape Town,South Africa
30,Bugz Family Playpark,Amusement & Theme Parks,Cape Town,South Africa
31,,2,Cape Town,South Africa
32,,1,Cape Town,South Africa
33,Great Synagogue,Speciality Museums,Cape Town,South Africa
34,Intaka Island,Nature & Wildlife Areas,Cape Town,South Africa
