,Attraction Name,Attraction Type,City,Country
0,,,Chicago,USA
1,The Art Institute of Chicago,Art Museums,Chicago,USA
2,Museum of Science and Industry,Science Museums,Chicago,USA
3,360 Chicago Observation Deck,Architectural Buildings • Observation Decks & Towers,Chicago,USA
4,Cloud Gate,Points of Interest & Landmarks • Monuments & Statues,Chicago,USA
5,Millennium Park,Points of Interest & Landmarks • Parks,Chicago,USA
6,Field Museum,Natural History Museums • Science Museums,Chicago,USA
7,Wrigley Field,Arenas & Stadiums,Chicago,USA
8,The Magnificent Mile,Neighborhoods • Points of Interest & Landmarks,Chicago,USA
9,Chicago Riverwalk,Historic Walking Areas,Chicago,USA
10,Lincoln Park Zoo,Zoos,Chicago,USA
11,Chicago Cultural Center,Art Galleries • Architectural Buildings,Chicago,USA
12,Richard H. Driehaus Museum,Speciality Museums • Art Museums,Chicago,USA
13,Garfield Park Conservatory,Historic Sites • Gardens,Chicago,USA
14,Shedd Aquarium,Aquariums,Chicago,USA
15,Lakefront Trail,Biking Trails • Hiking Trails,Chicago,USA
16,The Loop,Neighborhoods,Chicago,USA
17,Buckingham Fountain,Points of Interest & Landmarks • Fountains,Chicago,USA
18,Skydeck Chicago - Willis Tower,Points of Interest & Landmarks • Architectural Buildings,Chicago,USA
19,Lincoln Park,Parks,Chicago,USA
20,Chicago Skyline,Points of Interest & Landmarks,Chicago,USA
21,United Center,Arenas & Stadiums,Chicago,USA
22,The Chicago Theatre,Theaters,Chicago,USA
23,Chicago History Museum,History Museums,Chicago,USA
24,Lincoln Park Conservatory,Gardens,Chicago,USA
25,Goose Island Beer Co.,Breweries,Chicago,USA
26,American Writers Museum,Speciality Museums,Chicago,USA
27,Maggie Daley Park,Parks • Playgrounds,Chicago,USA
28,Navy Pier,Amusement & Theme Parks • Piers & Boardwalks,Chicago,USA
29,Frank Lloyd Wright's Robie House,Historic Sites • Architectural Buildings,Chicago,USA
30,The Rookery Building,Historic Sites • Points of Interest & Landmarks,Chicago,USA
31,,2,Chicago,USA
32,,1,Chicago,USA
33,Money Museum at the Federal Reserve Bank,Speciality Museums,Chicago,USA
34,Crown Fountain,Fountains,Chicago,USA
35,Chicago River,Bodies of Water,Chicago,USA
36,University of Chicago,Universities & Schools • Educational sites,Chicago,USA
37,Adler Planetarium,Speciality Museums • Observatories & Planetariums,Chicago,USA
38,Tribune Tower,Architectural Buildings,Chicago,USA
39,Grant Park,Parks,Chicago,USA
40,North Avenue Beach,Beaches,Chicago,USA
41,Holy Name Cathedral,Architectural Buildings • Religious Sites,Chicago,USA
42,Wrigley Building,Points of Interest & Landmarks • Architectural Buildings,Chicago,USA
43,James M. Nederlander Theatre,Theaters,Chicago,USA
44,Chicago Shakespeare Theater on Navy Pier,Theaters,Chicago,USA
45,Guaranteed Rate Field,Arenas & Stadiums,Chicago,USA
46,Union Station,Points of Interest & Landmarks • Architectural Buildings,Chicago,USA
47,Lyric Opera of Chicago,Operas,Chicago,USA
48,National Museum of Mexican Art,Art Museums,Chicago,USA
49,Michigan Avenue Bridge,Points of Interest & Landmarks • Bridges,Chicago,USA
50,CIBC Theatre,Theaters,Chicago,USA
51,Oriental Institute Museum,Speciality Museums,Chicago,USA
52,Macy's on State Street,Historic Sites • Department Stores,Chicago,USA
53,Chicago Children's Museum,Children's Museums,Chicago,USA
54,Water Tower Place,Shopping Malls,Chicago,USA
55,The 606,Biking Trails • Scenic Walking Areas,Chicago,USA
56,Museum of Broadcast Communications,Speciality Museums • History Museums,Chicago,USA
57,Auditorium Theatre,Theaters,Chicago,USA
58,Lookingglass Theatre Company,Theaters,Chicago,USA
59,McCormick Place,Convention Centers,Chicago,USA
60,Chicago Air and Water Show,Exhibitions,Chicago,USA
61,Montrose Beach,Beaches,Chicago,USA
62,Cadillac Palace Theatre,Theaters,Chicago,USA
63,,1,Chicago,USA
64,Engine 18 Chicago Fire,Points of Interest & Landmarks,Chicago,USA
65,Wicker Park,Neighborhoods,Chicago,USA
66,Picasso Statue,Monuments & Statues,Chicago,USA
67,Pilsen,Neighborhoods,Chicago,USA
68,Harold Washington Library Center,Libraries,Chicago,USA
69,Centennial Wheel,Observation Decks & Towers,Chicago,USA
70,Boystown,Neighborhoods,Chicago,USA
71,Goodman Theatre,Theaters,Chicago,USA
72,Pullman Historic District,Neighborhoods • Historic Walking Areas,Chicago,USA
73,Soldier Field,Arenas & Stadiums,Chicago,USA
74,Hamilton: The Exhibition,Speciality Museums • History Museums,Chicago,USA
75,Historic Water Tower,Points of Interest & Landmarks • Observation Decks & Towers,Chicago,USA
76,The Peggy Notebaert Nature Museum,Speciality Museums • Natural History Museums,Chicago,USA
77,Andersonville,Neighborhoods,Chicago,USA
78,Tilt,Lookouts,Chicago,USA
79,Merchandise Mart,Architectural Buildings • Shopping Malls,Chicago,USA
80,Calder’s Flamingo,Monuments & Statues,Chicago,USA
81,Marina City,Neighborhoods • Architectural Buildings,Chicago,USA
82,Teatro Zinzanni,Cirque du Soleil Shows,Chicago,USA
83,Fourth Presbyterian Church,Religious Sites,Chicago,USA
84,Chicago Chinatown,Neighborhoods,Chicago,USA
85,Museum of Contemporary Art,Art Museums,Chicago,USA
86,Willie Dixon's Blues Heaven Foundation,Historic Sites,Chicago,USA
87,DuSable Museum of African American History,History Museums,Chicago,USA
88,Graceland Cemetery,Cemeteries,Chicago,USA
89,Chicago Transit Authority - CTA,Public Transportation Systems,Chicago,USA
90,Route 66,Scenic Drives • Scenic Walking Areas,Chicago,USA
91,Oz Park,Parks,Chicago,USA
92,French Market,Flea & Street Markets,Chicago,USA
93,Aqua Tower,Points of Interest & Landmarks,Chicago,USA
94,,1,Chicago,USA
95,Ohio Street Beach,Beaches,Chicago,USA
96,Chicago Marathon,Sporting Events,Chicago,USA
97,Chagall's Four Seasons,Points of Interest & Landmarks,Chicago,USA
98,Glessner House Museum,Speciality Museums • Historic Sites,Chicago,USA
99,Oak Street Beach,Beaches,Chicago,USA
100,John Hancock Center,Architectural Buildings,Chicago,USA
101,Carbide and Carbon Building,Architectural Buildings,Chicago,USA
102,Hyde Park,Neighborhoods,Chicago,USA
103,The Old Town of Chicago,Neighborhoods,Chicago,USA
104,Chicago Pedway,Points of Interest & Landmarks,Chicago,USA
105,Jackson Park's Japanese Garden,Gardens,Chicago,USA
106,Old St. Patrick's Church,Churches & Cathedrals,Chicago,USA
107,Broadway Playhouse,Theaters,Chicago,USA
108,Lagunitas Brewing Company,Breweries,Chicago,USA
109,Chicago Board of Trade Building,Architectural Buildings,Chicago,USA
110,Wrigleyville,Neighborhoods • Scenic Walking Areas,Chicago,USA
111,Palmer House Hilton Historic Lobby,Historic Sites • Architectural Buildings,Chicago,USA
112,St Peter's Church,Churches & Cathedrals,Chicago,USA
113,Revolution Brewing - Brewery & Taproom,Breweries,Chicago,USA
114,Chicago Blues Festival,Music Festivals,Chicago,USA
115,wndr museum,Speciality Museums • Science Museums,Chicago,USA
116,Harris Theater,Theaters,Chicago,USA
117,Marquette Building,Historic Sites • Points of Interest & Landmarks,Chicago,USA
118,Wrigley View Rooftop,Lookouts,Chicago,USA
119,Nordstrom,Department Stores,Chicago,USA
120,Museum of Contemporary Photography,Speciality Museums,Chicago,USA
121,Pritzker Military Museum & Library,Military Museums • Libraries,Chicago,USA
122,Taste of Chicago,Food & Drink Festivals,Chicago,USA
123,The Mercury Theater,Theaters,Chicago,USA
124,Centennial Fountain and Water Arc,Points of Interest & Landmarks • Fountains,Chicago,USA
125,,1,Chicago,USA
126,Alfred Caldwell Lily Pool,Bodies of Water • Nature & Wildlife Areas,Chicago,USA
127,Holy Trinity Orthodox Cathedral,Points of Interest & Landmarks • Churches & Cathedrals,Chicago,USA
128,Chicago Temple,Religious Sites,Chicago,USA
129,BP Pedestrian Bridge,Bridges,Chicago,USA
130,Northerly Island,Islands,Chicago,USA
131,International Museum of Surgical Science,Speciality Museums • Science Museums,Chicago,USA
132,Lollapalooza,Music Festivals,Chicago,USA
133,Chase Auditorium,Theaters,Chicago,USA
134,The McCormick Bridgehouse & Chicago River Museum,Speciality Museums • Points of Interest & Landmarks,Chicago,USA
135,Loyola University Museum of Art (LUMA),Art Museums,Chicago,USA
136,Devon Avenue,Points of Interest & Landmarks,Chicago,USA
137,Chess Records,Historic Sites • Points of Interest & Landmarks,Chicago,USA
138,Music Box Theatre,Theaters,Chicago,USA
139,Rockefeller Memorial Chapel,Architectural Buildings,Chicago,USA
140,The Lyric Opera House,Operas,Chicago,USA
141,Aragon Ballroom,Theaters,Chicago,USA
142,Rosehill Cemetery,Cemeteries,Chicago,USA
143,United Club,Airport Lounges,Chicago,USA
144,Milton Lee Olive Park,Parks,Chicago,USA
145,Lake Point Tower,Architectural Buildings,Chicago,USA
146,Greektown,Neighborhoods,Chicago,USA
147,"Jane Addams Hull-House Museum l,ll",History Museums,Chicago,USA
148,Prairie Avenue Historic District,Neighborhoods,Chicago,USA
149,Begyle Brewing,Breweries,Chicago,USA
150,Oak Street,Neighborhoods,Chicago,USA
151,Agora Scuptures,Points of Interest & Landmarks,Chicago,USA
