,Attraction Name,Attraction Type,City,Country
0,,,Doha,Qatar
1,Souq Waqif,Points of Interest & Landmarks • Scenic Walking Areas,Doha,Qatar
2,Museum of Islamic Art,Art Museums,Doha,Qatar
3,National Museum of Qatar,Speciality Museums • History Museums,Doha,Qatar
4,Katara Cultural Village,Visitor Centers • Theaters,Doha,Qatar
5,The Pearl-Qatar,Points of Interest & Landmarks,Doha,Qatar
6,The Corniche,Points of Interest & Landmarks,Doha,Qatar
7,Villaggio,Shopping Malls,Doha,Qatar
8,Aspire Park,Parks,Doha,Qatar
9,Qatar National Library,Libraries,Doha,Qatar
10,State Grand Mosque,Religious Sites,Doha,Qatar
11,MIA Park,Parks • Playgrounds,Doha,Qatar
12,City Centre Mall,Amusement & Theme Parks • Shopping Malls,Doha,Qatar
13,Museum of Illusions,Speciality Museums,Doha,Qatar
14,Msheireb Museums,Speciality Museums • History Museums,Doha,Qatar
15,Falcon Souk,Flea & Street Markets,Doha,Qatar
16,Khalifa International Stadium,Arenas & Stadiums,Doha,Qatar
17,Fanar - Qatar Islamic Cultural Center,Religious Sites,Doha,Qatar
18,Discover Qatar,City Tours,Doha,Qatar
19,Katara Mosque,Religious Sites,Doha,Qatar
20,Aqua Park Qatar,Water Parks,Doha,Qatar
21,Doha Metro,Public Transportation Systems,Doha,Qatar
22,Lagoona Mall,Shopping Malls,Doha,Qatar
23,The Pearl Monument,Points of Interest & Landmarks • Monuments & Statues,Doha,Qatar
24,Al Bidda Park,Biking Trails • Parks,Doha,Qatar
25,Tawar Mall,Shopping Malls,Doha,Qatar
26,Hotel Park,Parks • Playgrounds,Doha,Qatar
27,Mirqab Mall,Shopping Malls,Doha,Qatar
28,Khalifa Tennis and Squash Complex,Arenas & Stadiums,Doha,Qatar
29,Dar Al Salam Mall,Shopping Malls,Doha,Qatar
30,Simaisma Beach,Beaches,Doha,Qatar
31,,2,Doha,Qatar
32,,1,Doha,Qatar
33,Lusail International Circuit,Auto Racing Tracks,Doha,Qatar
34,Gondolania Theme Park,Amusement & Theme Parks,Doha,Qatar
35,Gulf Mall,Shopping Malls,Doha,Qatar
36,Dafna Park,Points of Interest & Landmarks • Scenic Walking Areas,Doha,Qatar
37,The Gate Mall Doha,Shopping Malls,Doha,Qatar
38,Mathaf Arab Museum of Modern Art,Speciality Museums,Doha,Qatar
39,Doha Exhibition and Convention Center,Convention Centers,Doha,Qatar
40,Ezdan Mall,Shopping Malls,Doha,Qatar
41,Fire Station Artist in Residence,Art Galleries,Doha,Qatar
42,Msheireb Enrichment Centre,Speciality Museums,Doha,Qatar
43,Park Cafe,Parks • Gardens,Doha,Qatar
44,Wholesale Market,Flea & Street Markets,Doha,Qatar
45,The Mall Doha,Shopping Malls,Doha,Qatar
46,Vegetable and Fish Market,Flea & Street Markets,Doha,Qatar
47,Dahl Al Hamam Park,Parks • Gardens,Doha,Qatar
48,Najma Used Furniture Market,Flea & Street Markets,Doha,Qatar
49,Landmark Mall,Shopping Malls,Doha,Qatar
50,Al Koot Fort,Architectural Buildings,Doha,Qatar
51,Qatar Philharmonic Orchestra,Symphonies,Doha,Qatar
52,Barzan Tower,Points of Interest & Landmarks,Doha,Qatar
53,Souq Al Asiri,Flea & Street Markets,Doha,Qatar
54,Yippy Land,Amusement & Theme Parks,Doha,Qatar
55,Al Ahli Stadium,Arenas & Stadiums,Doha,Qatar
56,EAST-WEST / WEST-EAST by Richard Serra,Monuments & Statues • Scenic Drives,Doha,Qatar
57,Dragon Mart Doha,Department Stores • Flea & Street Markets,Doha,Qatar
58,QM GALLERY AL RIWAQ,Art Galleries • Speciality Museums,Doha,Qatar
59,Al Karaana Lagoon,Bodies of Water,Doha,Qatar
60,Qatar National Convention Centre,Convention Centers,Doha,Qatar
61,Qatarian zoo,Zoos,Doha,Qatar
62,Omar Bin al Khattab Mosque,Religious Sites,Doha,Qatar
63,,1,Doha,Qatar
64,VCU Qatar Gallery,Points of Interest & Landmarks,Doha,Qatar
65,Oriental Carpet Company,Antique Shops,Doha,Qatar
66,7 Sculpture,Monuments & Statues,Doha,Qatar
67,Fun Ville - Barwa Village,Parks • Playgrounds,Doha,Qatar
68,Albahie auction house,Art Galleries,Doha,Qatar
69,Carre d'Artistes Doha,Art Galleries,Doha,Qatar
70,Garrafa family park,Parks,Doha,Qatar
71,Falcon Tours,City Tours • Cultural Tours,Doha,Qatar
72,365 Adventures,City Tours • Cultural Tours,Doha,Qatar
73,ESPA at Mondrian Doha,Health Clubs • Hammams & Turkish Baths,Doha,Qatar
74,Murex Activities & Tours,Parasailing & Paragliding • Cooking Classes,Doha,Qatar
75,Qatar Inbound Tours - Private Day Tours,"4WD, ATV & Off-Road Tours • Night Tours",Doha,Qatar
76,Doha transit and Tours,Multi-day Tours • Adrenaline & Extreme Tours,Doha,Qatar
77,Saray Spa at Marriott Marquis City Center Doha,Hammams & Turkish Baths • Spas,Doha,Qatar
78,Q-Explorer Tourism,City Tours • Cultural Tours,Doha,Qatar
79,Eforea Spa & Health Club,Spas,Doha,Qatar
80,SISLEY PARIS SPA,Spas,Doha,Qatar
81,Heavenly Spa,Health Clubs • Spas,Doha,Qatar
82,Cenfit Fitness Centre,Health Clubs • Yoga & Pilates,Doha,Qatar
83,Poseidon Dive Center,Scuba & Snorkelling,Doha,Qatar
84,Golden Adventures Qatar,"City Tours • 4WD, ATV & Off-Road Tours",Doha,Qatar
85,AquaSports Qatar,Surfing & Windsurfing • Boat Tours,Doha,Qatar
86,Quan Spa,Health Clubs • Arab Baths,Doha,Qatar
87,Spa at Sharq Village,Spas,Doha,Qatar
88,Doha travel and tourism,"4WD, ATV & Off-Road Tours",Doha,Qatar
89,The Den,Bars & Clubs,Doha,Qatar
90,Desert Safari Doha | Inland Sea Tours,"City Tours • 4WD, ATV & Off-Road Tours",Doha,Qatar
91,Qatar International Tour (QIT),Sightseeing Tours,Doha,Qatar
92,Kozma And Kozma,Spas,Doha,Qatar
93,Alghais Diving,Scuba & Snorkelling • Adrenaline & Extreme Tours,Doha,Qatar
94,,1,Doha,Qatar
95,Sand Dunes Holidays,"City Tours • 4WD, ATV & Off-Road Tours",Doha,Qatar
96,Shepherd international tours,Safaris • Taxis & Shuttles,Doha,Qatar
97,Anantara Spa and Wellness at Banana Island Resort Doha by Anantara,Spas,Doha,Qatar
98,Qatar Inbound Tours,"Cultural Tours • 4WD, ATV & Off-Road Tours",Doha,Qatar
99,Al Shaqab,Cultural Tours • Private Tours,Doha,Qatar
100,Monkey Tale Doha,Bars & Clubs • Dance Clubs & Discos,Doha,Qatar
101,Arabian Adventures Day Tours,Sightseeing Tours,Doha,Qatar
102,The Spa,Health Clubs • Arab Baths,Doha,Qatar
103,Eforea Spa at Hilton Doha,Spas,Doha,Qatar
104,Tours Guys,"4WD, ATV & Off-Road Tours • Safaris",Doha,Qatar
105,Gulf Adventures,Sightseeing Tours,Doha,Qatar
106,Wanderlust,Boat Tours • Walking Tours,Doha,Qatar
107,Champions,Bars & Clubs,Doha,Qatar
108,BOUNCE Doha,Sports Complexes • Playgrounds,Doha,Qatar
109,Abe's Doha Water Sports,Boat Tours • Waterskiing & Jetskiing,Doha,Qatar
110,Spa InterContinental,Spas,Doha,Qatar
111,Sand Line Dunes Qatar,"4WD, ATV & Off-Road Tours • Safaris",Doha,Qatar
112,Vintage,Bars & Clubs,Doha,Qatar
113,Best Tours in Qatar,"4WD, ATV & Off-Road Tours • Bike Tours",Doha,Qatar
114,ShowmeQatar,Private Tours • Day Trips,Doha,Qatar
115,The Club at The St Regis,Bars & Clubs,Doha,Qatar
116,Megapolis Entertainment Centre,Bowling Alleys • Game & Entertainment Centers,Doha,Qatar
117,Best Tours In Qatar,Day Trips,Doha,Qatar
118,Jazz At Lincoln Center Doha,Theatre & Performances,Doha,Qatar
119,Habanos,Bars & Clubs • Cigar Bars,Doha,Qatar
120,Aqua Lounge,Bars & Clubs,Doha,Qatar
121,Nomadik Hub,Scuba & Snorkelling • Boat Tours,Doha,Qatar
122,Asfary,Adrenaline & Extreme Tours • Balloon Rides,Doha,Qatar
123,Regatta Sailing Academy,Boat Tours,Doha,Qatar
124,Embrace Doha,Cultural Tours • Historical & Heritage Tours,Doha,Qatar
125,,1,Doha,Qatar
126,Relax Thai Massage,Spas,Doha,Qatar
127,The Escape Hunt Experience Qatar,Escape Games,Doha,Qatar
128,Qatar Day Tours,City Tours • Multi-day Tours,Doha,Qatar
129,Krossroads Club,Bars & Clubs,Doha,Qatar
130,Four Seasons Spa,Spas,Doha,Qatar
131,Sky View Doha,Bars & Clubs,Doha,Qatar
132,21 High Street,Department Stores • Coffeehouses,Doha,Qatar
133,Royal Thai Lady Spa,Spas,Doha,Qatar
134,Pearl Lounge,Bars & Clubs • Dance Clubs & Discos,Doha,Qatar
135,OceanAir Travels,"4WD, ATV & Off-Road Tours • Safaris",Doha,Qatar
136,Adventure Rooms Qatar,Escape Games,Doha,Qatar
137,Entalek Eco-Adventures,Other Outdoor Activities,Doha,Qatar
138,Doha Golf Club,Golf Courses,Doha,Qatar
139,Tour guide in Qatar,City Tours • Multi-day Tours,Doha,Qatar
140,Hive Restaurant and Lounge,Bars & Clubs,Doha,Qatar
141,Angsana Spa Wyndham Grand Regency Doha,Spas,Doha,Qatar
142,Ektshef Deerti,Scuba & Snorkelling • Safaris,Doha,Qatar
143,B/ATTITUDE,Health Clubs • Yoga & Pilates,Doha,Qatar
144,Z Lounge by Zengo,Bars & Clubs,Doha,Qatar
145,Remede Spa&Recreation at St Regis Doha,Health Clubs • Yoga & Pilates,Doha,Qatar
146,Qdivers Qatar,Sports Camps & Clinics • Scuba & Snorkelling,Doha,Qatar
147,Roots Hair Salon Doha,Health Clubs • Spas,Doha,Qatar
148,Desert Rose Tourism,"Multi-day Tours • 4WD, ATV & Off-Road Tours",Doha,Qatar
149,Education City Golf Club,Golf Courses,Doha,Qatar
150,S4Safari.com,"4WD, ATV & Off-Road Tours",Doha,Qatar
151,Sora Marine Training,Scuba & Snorkelling • Surfing & Windsurfing,Doha,Qatar
152,Noir Lounge & Club,Bars & Clubs • Dance Clubs & Discos,Doha,Qatar
153,Al Messila Spa,Health Clubs • Yoga & Pilates,Doha,Qatar
