,Attraction Name,Attraction Type,City,Country
0,,,Hong Kong,China
1,Tian Tan Buddha (Big Buddha),Points of Interest & Landmarks • Architectural Buildings,Hong Kong,China
2,Victoria Peak (The Peak),Observation Decks & Towers,Hong Kong,China
3,Star Ferry,Ferries,Hong Kong,China
4,Ngong Ping 360,Trams • Points of Interest & Landmarks,Hong Kong,China
5,Lantau island,Islands • Religious Sites,Hong Kong,China
6,Happy Valley Racecourse,Horse Tracks,Hong Kong,China
7,Dragon's Back,Hiking Trails,Hong Kong,China
8,Hong Kong Disneyland,Amusement & Theme Parks,Hong Kong,China
9,Hong Kong Skyline,Points of Interest & Landmarks,Hong Kong,China
10,Victoria Harbour,Marinas,Hong Kong,China
11,Hong Kong Museum of History,History Museums,Hong Kong,China
12,Hong Kong Tramways (Ding Ding),Trams,Hong Kong,China
13,Nan Lian Garden,Parks,Hong Kong,China
14,Sky100 Hong Kong Observation Deck,Observation Decks & Towers,Hong Kong,China
15,Chi Lin Nunnery,Architectural Buildings • Gardens,Hong Kong,China
16,Ocean Park,Amusement & Theme Parks • Aquariums,Hong Kong,China
17,Ten Thousand Buddhas Monastery (Man Fat Sze),Religious Sites,Hong Kong,China
18,Tsim Sha Tsui Promenade,Points of Interest & Landmarks • Piers & Boardwalks,Hong Kong,China
19,Lamma Island,Islands • Hiking Trails,Hong Kong,China
20,Hong Kong Park,Parks,Hong Kong,China
21,Tai O,Neighborhoods,Hong Kong,China
22,Sai Kung,Neighborhoods,Hong Kong,China
23,Sha Tin Racecourse,Horse Tracks,Hong Kong,China
24,Stanley,Historic Walking Areas • Flea & Street Markets,Hong Kong,China
25,Tsim Sha Tsui,Neighborhoods • Piers & Boardwalks,Hong Kong,China
26,Cheung Chau Island,Islands,Hong Kong,China
27,Sik Sik Yuen Wong Tai Sin Temple,Historic Sites • Religious Sites,Hong Kong,China
28,Hong Kong Science Museum,Science Museums,Hong Kong,China
29,Mongkok,Neighborhoods,Hong Kong,China
30,Po Lin (Precious Lotus) Monastery,Islands • Religious Sites,Hong Kong,China
31,,2,Hong Kong,China
32,Tsz Shan Monastery,Points of Interest & Landmarks,Hong Kong,China
33,Hong Kong Tourism Board,Visitor Centers,Hong Kong,China
34,Hong Kong Observation Wheel,Amusement & Theme Parks • Points of Interest & Landmarks,Hong Kong,China
35,Harbour City,Shopping Malls,Hong Kong,China
36,Sham Shui Po,Neighborhoods,Hong Kong,China
37,Tai Kwun - Centre for Heritage and Arts,Historic Sites • Architectural Buildings,Hong Kong,China
38,Repulse Bay Beach,Beaches • Beach & Pool Clubs,Hong Kong,China
39,Sandbox VR,Rides & Activities • Educational sites,Hong Kong,China
40,Peak Tram,Trams,Hong Kong,China
41,Kowloon Park,Parks,Hong Kong,China
42,Causeway Bay,Neighborhoods,Hong Kong,China
43,Hong Kong Heritage Museum,History Museums,Hong Kong,China
44,Madame Tussauds Hong Kong,Speciality Museums,Hong Kong,China
45,Shek O Beach,Beaches,Hong Kong,China
46,IFC mall,Architectural Buildings • Shopping Malls,Hong Kong,China
47,Avenue of the Stars,Points of Interest & Landmarks • Historic Walking Areas,Hong Kong,China
48,Bruce Lee Statue,,Hong Kong,China
49,Central,Points of Interest & Landmarks,Hong Kong,China
50,Discovery Bay,Neighborhoods,Hong Kong,China
51,Flower Market Road,Historic Walking Areas • Flea & Street Markets,Hong Kong,China
52,Lantau Trail,Hiking Trails,Hong Kong,China
53,Lion Rock Country Park,Parks,Hong Kong,China
54,Hong Kong Macau Ferry Terminal,Piers & Boardwalks,Hong Kong,China
55,Lan Kwai Fong,Neighborhoods • Points of Interest & Landmarks,Hong Kong,China
56,Pacific Place,Shopping Malls,Hong Kong,China
57,L&K Custom Tailor,,Hong Kong,China
58,Hong Kong Maritime Museum,Speciality Museums • History Museums,Hong Kong,China
59,Kowloon Walled City Park,Parks,Hong Kong,China
60,Stanley Market,Flea & Street Markets,Hong Kong,China
61,Cotai Water Jet,Ferries,Hong Kong,China
62,,1,Hong Kong,China
63,Soho,Neighborhoods,Hong Kong,China
64,Che Kung Temple,Historic Sites • Religious Sites,Hong Kong,China
65,Kowloon City,Neighborhoods,Hong Kong,China
66,Hong Kong Zoological and Botanical Gardens,Zoos • Gardens,Hong Kong,China
67,TurboJet,Ferries,Hong Kong,China
68,Wisdom Path,Points of Interest & Landmarks,Hong Kong,China
69,Wan Chai,Neighborhoods,Hong Kong,China
70,Man Mo Temple,Religious Sites,Hong Kong,China
71,Plaza Premium First Hong Kong,Airport Lounges,Hong Kong,China
72,Elements (Mall),Shopping Malls,Hong Kong,China
73,Lion's Pavilion at The Peak,Points of Interest & Landmarks,Hong Kong,China
74,Times Square,Points of Interest & Landmarks • Shopping Malls,Hong Kong,China
75,Sai kung East Country Park,Parks,Hong Kong,China
76,MacLehose Trail,Hiking Trails,Hong Kong,China
77,Lion Rock,Points of Interest & Landmarks • Geologic Formations,Hong Kong,China
78,Kadoorie Farm and Botanical Gardens,Farms • Gardens,Hong Kong,China
79,Temple Street Night Market,Flea & Street Markets,Hong Kong,China
80,"Peng Chau Island (Ping Chau, Pingzhou)",Islands,Hong Kong,China
81,Edward Youde Aviary,Parks,Hong Kong,China
82,Ladies Market,Flea & Street Markets,Hong Kong,China
83,Nathan Road,Neighborhoods • Points of Interest & Landmarks,Hong Kong,China
84,Langham Place,Shopping Malls,Hong Kong,China
85,Sheung Wan,Neighborhoods,Hong Kong,China
86,1881 Heritage,Shopping Malls,Hong Kong,China
87,Hollywood Road,Points of Interest & Landmarks • Antique Shops,Hong Kong,China
88,Sogo Mall (Causeway Bay),Shopping Malls,Hong Kong,China
89,Hong Kong Wetland Park,Nature & Wildlife Areas,Hong Kong,China
90,Hysan Place,Shopping Malls,Hong Kong,China
91,Victoria Park,Parks,Hong Kong,China
92,Monster Building,Neighborhoods • Points of Interest & Landmarks,Hong Kong,China
93,,1,Hong Kong,China
94,Inspiration Lake,Amusement & Theme Parks,Hong Kong,China
95,Tsim Sha Tsui East,Neighborhoods,Hong Kong,China
96,Citygate Outlets,Factory Outlets • Shopping Malls,Hong Kong,China
97,Hong Kong Sneakers Street,Flea & Street Markets,Hong Kong,China
98,Old Peak Road,Hiking Trails,Hong Kong,China
99,Aberdeen,Islands,Hong Kong,China
100,Hong Kong Space Museum,Science Museums,Hong Kong,China
101,Hong Kong Museum of Art,Art Museums,Hong Kong,China
102,Hong Kong Cultural Centre,Theaters • Art Museums,Hong Kong,China
103,Kowloon Bay,Neighborhoods,Hong Kong,China
104,Tung Chung,Historic Sites • Neighborhoods,Hong Kong,China
105,Jade Market,Flea & Street Markets,Hong Kong,China
106,Knutsford Terrace,Neighborhoods,Hong Kong,China
107,HSBC Main Building,Architectural Buildings,Hong Kong,China
108,Hong Kong New Year Countdown,Cultural Events,Hong Kong,China
109,Hong Kong Convention and Exhibition Centre,Convention Centers • Monuments & Statues,Hong Kong,China
110,Aberdeen Fishing Village,Neighborhoods,Hong Kong,China
111,East Dam of High Island Reservoir,Bodies of Water • Dams,Hong Kong,China
112,Fa Yuen Street Market,Flea & Street Markets,Hong Kong,China
113,Noah's Ark Hong Kong,Amusement & Theme Parks • Beaches,Hong Kong,China
114,香港Apm,Shopping Malls,Hong Kong,China
