WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3
"4,000+ places sorted by traveler favorites",,,,,,,
"7,920",https://www.tripadvisor.com/Attraction_Review-g293974-d294667-Reviews-Dolmabahce_Palace-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/82/07/24/palacio-de-dolmabahce.jpg?w=500&h=-1&s=1,Dolmabahce Palace,1.,https://www.tripadvisor.com/Attraction_Review-g293974-d294667-Reviews-Dolmabahce_Palace-Istanbul.html#REVIEWS,Architectural Buildings,New City / Taksim
"43,929",https://www.tripadvisor.com/Attraction_Review-g293974-d294497-Reviews-Hagia_Sophia_Mosque-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/54/be/42/hagia-sophia-museum-by.jpg?w=500&h=400&s=1,Hagia Sophia Mosque,2.,https://www.tripadvisor.com/Attraction_Review-g293974-d294497-Reviews-Hagia_Sophia_Mosque-Istanbul.html#REVIEWS,Historic Sites • Architectural Buildings,Sultanahmet
"16,531",https://www.tripadvisor.com/Attraction_Review-g293974-d294656-Reviews-Sultanahmet_District-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/81/e6/a0/img-20181123-163637-largejpg.jpg?w=500&h=-1&s=1,Sultanahmet District,3.,https://www.tripadvisor.com/Attraction_Review-g293974-d294656-Reviews-Sultanahmet_District-Istanbul.html#REVIEWS,Neighborhoods • Historic Walking Areas,Sultanahmet
"12,329",https://www.tripadvisor.com/Attraction_Review-g293974-d296037-Reviews-Suleymaniye_Mosque-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/ac/57/31/suleymaniye.jpg?w=500&h=400&s=1,Suleymaniye Mosque,4.,https://www.tripadvisor.com/Attraction_Review-g293974-d296037-Reviews-Suleymaniye_Mosque-Istanbul.html#REVIEWS,Religious Sites,Grand Bazaar
"27,389",https://www.tripadvisor.com/Attraction_Review-g293974-d294547-Reviews-Topkapi_Palace-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/54/c7/fd/topkapi-palace-museum.jpg?w=500&h=400&s=1,Topkapi Palace,5.,https://www.tripadvisor.com/Attraction_Review-g293974-d294547-Reviews-Topkapi_Palace-Istanbul.html#REVIEWS,History Museums,Sultanahmet
"10,375",https://www.tripadvisor.com/Attraction_Review-g293974-d1657485-Reviews-Bosphorus_Strait-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e7/df/20/bosphorus-yalis.jpg?w=500&h=400&s=1,Bosphorus Strait,6.,https://www.tripadvisor.com/Attraction_Review-g293974-d1657485-Reviews-Bosphorus_Strait-Istanbul.html#REVIEWS,Bodies of Water,Sirkeci
"10,686",https://www.tripadvisor.com/Attraction_Review-g293974-d1652097-Reviews-Historic_Areas_of_Istanbul-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/1d/71/63/some-of-the-most-visited.jpg?w=500&h=400&s=1,Historic Areas of Istanbul,7.,https://www.tripadvisor.com/Attraction_Review-g293974-d1652097-Reviews-Historic_Areas_of_Istanbul-Istanbul.html#REVIEWS,Historic Sites,Sirkeci
"3,259",https://www.tripadvisor.com/Attraction_Review-g293974-d548972-Reviews-Gulhane_Park-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/f1/ba/2a/view-from-the-archeology.jpg?w=500&h=-1&s=1,Gulhane Park,8.,https://www.tripadvisor.com/Attraction_Review-g293974-d548972-Reviews-Gulhane_Park-Istanbul.html#REVIEWS,Parks,Sultanahmet
"9,718",https://www.tripadvisor.com/Attraction_Review-g293974-d295194-Reviews-Galata_Tower-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/db/c5/4d/photo0jpg.jpg?w=500&h=400&s=1,Galata Tower,9.,https://www.tripadvisor.com/Attraction_Review-g293974-d295194-Reviews-Galata_Tower-Istanbul.html#REVIEWS,Historic Sites • History Museums,Beyoglu
"1,587",https://www.tripadvisor.com/Attraction_Review-g293974-d549828-Reviews-Rahmi_M_Koc_Museum-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/5f/28/5b/panoramic.jpg?w=500&h=-1&s=1,Rahmi M. Koc Museum,10.,https://www.tripadvisor.com/Attraction_Review-g293974-d549828-Reviews-Rahmi_M_Koc_Museum-Istanbul.html#REVIEWS,Speciality Museums,Beyoglu
967,https://www.tripadvisor.com/Attraction_Review-g293974-d1553374-Reviews-Emirgan_Park-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/48/6a/bb/emirgan-korusu-lale-zamani.jpg?w=500&h=-1&s=1,Emirgan Park,11.,https://www.tripadvisor.com/Attraction_Review-g293974-d1553374-Reviews-Emirgan_Park-Istanbul.html#REVIEWS,Parks,
"1,717",https://www.tripadvisor.com/Attraction_Review-g293974-d548916-Reviews-Miniaturk-Istanbul.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/12/11/04/miniaturk.jpg?w=500&h=400&s=1,Miniaturk,12.,https://www.tripadvisor.com/Attraction_Review-g293974-d548916-Reviews-Miniaturk-Istanbul.html#REVIEWS,Points of Interest & Landmarks,Beyoglu
