,Attraction Name,Attraction Type,City,Country
0,,,Istanbul,Turkey
1,Dolmabahce Palace,Architectural Buildings,Istanbul,Turkey
2,Hagia Sophia Mosque,Historic Sites • Architectural Buildings,Istanbul,Turkey
3,Sultanahmet District,Neighborhoods • Historic Walking Areas,Istanbul,Turkey
4,Suleymaniye Mosque,Religious Sites,Istanbul,Turkey
5,Topkapi Palace,History Museums,Istanbul,Turkey
6,Bosphorus Strait,Bodies of Water,Istanbul,Turkey
7,Historic Areas of Istanbul,Historic Sites,Istanbul,Turkey
8,Gulhane Park,Parks,Istanbul,Turkey
9,Galata Tower,Historic Sites • History Museums,Istanbul,Turkey
10,Rahmi M. Koc Museum,Speciality Museums,Istanbul,Turkey
11,Emirgan Park,Parks,Istanbul,Turkey
12,Miniaturk,Points of Interest & Landmarks,Istanbul,Turkey
13,Ortakoy,Neighborhoods,Istanbul,Turkey
14,Balat,Neighborhoods,Istanbul,Turkey
15,Chora Museum,Art Museums • History Museums,Istanbul,Turkey
16,Istinye Park,Shopping Malls,Istanbul,Turkey
17,Eyup Sultan Mosque,Historic Sites • Architectural Buildings,Istanbul,Turkey
18,Kız Kulesi,Historic Sites • Observation Decks & Towers,Istanbul,Turkey
19,Sultanahmet Square,Points of Interest & Landmarks • Architectural Buildings,Istanbul,Turkey
20,Basilica Cistern,Historic Sites • Ancient Ruins,Istanbul,Turkey
21,Istanbul Sea Life Aquarium,Aquariums,Istanbul,Turkey
22,Istiklal Caddesi,Points of Interest & Landmarks,Istanbul,Turkey
23,Ural Ataman Classic Car Museum,Speciality Museums,Istanbul,Turkey
24,Pierre Loti Tepesi,Historic Walking Areas,Istanbul,Turkey
25,Bosphorus Bridge,Bridges,Istanbul,Turkey
26,Blue Mosque,Religious Sites,Istanbul,Turkey
27,Beylerbeyi Palace,Historic Sites • Architectural Buildings,Istanbul,Turkey
28,Bebek,Neighborhoods • Parks,Istanbul,Turkey
29,Zorlu Center,Shopping Malls,Istanbul,Turkey
30,Camlica Hill,Points of Interest & Landmarks,Istanbul,Turkey
31,,2,Istanbul,Turkey
32,,1,Istanbul,Turkey
33,Besiktas,Neighborhoods,Istanbul,Turkey
34,Kapali Carsi,Flea & Street Markets,Istanbul,Turkey
35,Rumeli Fortress,Historic Sites • History Museums,Istanbul,Turkey
36,Turkish and Islamic Arts Museum (Turk ve Islam Eserleri Muzesi),Art Museums • History Museums,Istanbul,Turkey
37,Istanbul Akvaryum,Aquariums,Istanbul,Turkey
38,Galata Köprüsü,Bridges,Istanbul,Turkey
39,Haliç,Bodies of Water,Istanbul,Turkey
40,Beyoglu,Neighborhoods,Istanbul,Turkey
41,Serefiye Sarnici,Historic Sites • Points of Interest & Landmarks,Istanbul,Turkey
42,Eminonu Square,Neighborhoods,Istanbul,Turkey
43,Belgrad Forest,Forests,Istanbul,Turkey
44,Kadikoy Carsisi,Flea & Street Markets,Istanbul,Turkey
45,Fatih Mosque and Complex,Architectural Buildings • Religious Sites,Istanbul,Turkey
46,Istanbul Cevahir Mall,Shopping Malls,Istanbul,Turkey
47,Museum of Innocence,Speciality Museums,Istanbul,Turkey
48,Vodafone Arena,Arenas & Stadiums,Istanbul,Turkey
49,Hodjapasha Cultural Center,Theaters,Istanbul,Turkey
50,Forum Istanbul Alisveris Merkezi,Shopping Malls,Istanbul,Turkey
51,Kadikoy Istanbul Boğa Meydanı,Points of Interest & Landmarks,Istanbul,Turkey
52,Mall of Istanbul,Shopping Malls,Istanbul,Turkey
53,Yildiz Park,Parks,Istanbul,Turkey
54,Corlulu Ali Pasa Medresesi,Points of Interest & Landmarks • Religious Sites,Istanbul,Turkey
55,Askerî Müze ve Kültür Sitesi Komutanlığı,Military Museums,Istanbul,Turkey
56,Sakip Sabanci Museum,Speciality Museums,Istanbul,Turkey
57,Via/Port Outlet,Shopping Malls,Istanbul,Turkey
58,Madame Tussauds Istanbul,Speciality Museums,Istanbul,Turkey
59,Princes' Islands,Islands,Istanbul,Turkey
60,Istanbul Toy Museum,Speciality Museums,Istanbul,Turkey
61,Vefa Bozacisi,Breweries,Istanbul,Turkey
62,Kucuk Ayasofya Camii (Church of the Saints Sergius and Bacchus),Religious Sites,Istanbul,Turkey
63,,1,Istanbul,Turkey
64,Bagdat Street,Neighborhoods,Istanbul,Turkey
65,Arasta Bazaar,Flea & Street Markets,Istanbul,Turkey
66,Galata Mevlevi Museum,History Museums,Istanbul,Turkey
67,Eyup,Neighborhoods,Istanbul,Turkey
68,Anadolu Kavagi,Historic Sites,Istanbul,Turkey
69,Emaar Square,Shopping Malls,Istanbul,Turkey
70,Panorama 1453 History Museum,Art Museums • Children's Museums,Istanbul,Turkey
71,Watergarden Istanbul,Shopping Malls,Istanbul,Turkey
72,Turk Telekom Arena,Sports Complexes,Istanbul,Turkey
73,Pera Museum,Speciality Museums,Istanbul,Turkey
74,Great Palace Mosaics Museum,Ancient Ruins • Art Museums,Istanbul,Turkey
75,St Anthony of Padua,Churches & Cathedrals,Istanbul,Turkey
76,Venezia Mega Outlet,Shopping Malls,Istanbul,Turkey
77,Mihrimah Sultan Camii,Architectural Buildings • Religious Sites,Istanbul,Turkey
78,Aqua Florya Alisveris Merkezi,Shopping Malls,Istanbul,Turkey
79,Kanyon Shopping Center,Department Stores • Shopping Malls,Istanbul,Turkey
80,Galatasaray Tram,Trams,Istanbul,Turkey
81,Naval Museum,Military Museums,Istanbul,Turkey
82,Taksim Square,Neighborhoods,Istanbul,Turkey
83,Sile Feneri,Lighthouses,Istanbul,Turkey
84,Pelit Chocolate Museum,Children's Museums,Istanbul,Turkey
85,Turkish Airlines Lounge - Departures,Airport Lounges,Istanbul,Turkey
86,Istanbul Archaeological Museum,History Museums,Istanbul,Turkey
87,Walls of Constantinople (Istanbul City Walls),Ancient Ruins,Istanbul,Turkey
88,Sehzade Mehmet Mosque,Religious Sites,Istanbul,Turkey
89,Fener Rum Ortodoks Patrikhanesi Kütüphanesi,Religious Sites,Istanbul,Turkey
90,Sirkeci Station,Points of Interest & Landmarks,Istanbul,Turkey
91,Sokollu Mehmet Pasha Mosque,Architectural Buildings • Religious Sites,Istanbul,Turkey
92,Ataturk Arboretumu,Gardens,Istanbul,Turkey
93,Hilltown AVM,Shopping Malls,Istanbul,Turkey
94,,1,Istanbul,Turkey
95,Eminonu Pier,Piers & Boardwalks,Istanbul,Turkey
96,Funicular,Public Transportation Systems,Istanbul,Turkey
97,Fenerbahce,Neighborhoods,Istanbul,Turkey
98,Nuruosmaniye Camii,Religious Sites,Istanbul,Turkey
99,Istanbul Museum of The History of Science & Technology in Islam,Speciality Museums • Science Museums,Istanbul,Turkey
100,Viaport Marina,Marinas,Istanbul,Turkey
101,The Tomb of Suleiman the Magnificent,Cemeteries • Religious Sites,Istanbul,Turkey
102,Ihlamur Pavilion,Castles,Istanbul,Turkey
103,"SALT Galata, Istanbul",Speciality Museums,Istanbul,Turkey
104,Macka Parkı,Parks,Istanbul,Turkey
105,Hidiv Kasri,Historic Sites • Architectural Buildings,Istanbul,Turkey
106,Hippodrome,Points of Interest & Landmarks,Istanbul,Turkey
107,Isfanbul,Amusement & Theme Parks • Theaters,Istanbul,Turkey
108,Caferaga Medresesi,Religious Sites,Istanbul,Turkey
109,Haydarpasa Terminal,Historic Sites • Points of Interest & Landmarks,Istanbul,Turkey
110,Fatih Sultan Mehmet Bridge,Bridges,Istanbul,Turkey
111,Tomb of Joshua,Religious Sites,Istanbul,Turkey
112,Carpet And Kilim Museum,Speciality Museums,Istanbul,Turkey
113,Valens Aqueduct (Bozdogan Kemeri),Historic Sites • Ancient Ruins,Istanbul,Turkey
114,Istanbul Dolphinarium,Parks,Istanbul,Turkey
115,Maritime Museum,Military Museums,Istanbul,Turkey
116,Kucuksu Pavilion,Historic Sites,Istanbul,Turkey
117,Hagia Triada Church,Churches & Cathedrals,Istanbul,Turkey
118,Obelisk of Theodosius,Ancient Ruins,Istanbul,Turkey
119,Nezahat Gokyigit Botanik Bahcesi,Gardens,Istanbul,Turkey
120,Palladium Alisveris Merkezi,Shopping Malls,Istanbul,Turkey
121,Istanbul Üniversitesi Rektörlüğü,Historic Walking Areas • Architectural Buildings,Istanbul,Turkey
122,Ulus Parki,Parks,Istanbul,Turkey
123,Olivium Outlet Center,Shopping Malls,Istanbul,Turkey
124,Cathedral Church of St George,Religious Sites,Istanbul,Turkey
125,,1,Istanbul,Turkey
126,Bulgarian Orthodox Church,Churches & Cathedrals,Istanbul,Turkey
127,OzdilekPark Istanbul,Shopping Malls,Istanbul,Turkey
128,Goztepe 60. Yil Parki,Parks,Istanbul,Turkey
129,Uskudar Tekel Sahnesi,Theaters,Istanbul,Turkey
130,Camlica Camii,Religious Sites,Istanbul,Turkey
131,Laleli Mosque,Religious Sites,Istanbul,Turkey
132,Borusan Contemporary,Speciality Museums • Art Museums,Istanbul,Turkey
133,Bebek Sahili,Points of Interest & Landmarks,Istanbul,Turkey
134,Sahaflar Carsisi,Flea & Street Markets,Istanbul,Turkey
135,Isbank Museum,Speciality Museums,Istanbul,Turkey
136,Ferikoy Antika Pazari,Flea & Street Markets,Istanbul,Turkey
137,Kadıkoy Sali Pazari,Flea & Street Markets,Istanbul,Turkey
138,Istanbul Modern,Art Museums,Istanbul,Turkey
139,Kadinlar Pazari,Flea & Street Markets,Istanbul,Turkey
140,Buyuk Mecidiye Cami,Religious Sites,Istanbul,Turkey
141,Istanbul Cable Car,Scenic Drives,Istanbul,Turkey
142,IDO Ferry,Ferries,Istanbul,Turkey
143,Vadistanbul Shopping Center,Shopping Malls,Istanbul,Turkey
144,Heritage Nomadic Art Gallery,Art Galleries,Istanbul,Turkey
145,Zeyrek Mosque,Historic Sites • Religious Sites,Istanbul,Turkey
146,Beyazit,Neighborhoods,Istanbul,Turkey
147,Fethi Pasa Korusu,Parks,Istanbul,Turkey
148,Caddebostan Dalyan Park,Playgrounds,Istanbul,Turkey
149,Akbati Alisveris ve Yasam Merkezi,Shopping Malls,Istanbul,Turkey
150,Divanyolu Street,Points of Interest & Landmarks,Istanbul,Turkey
151,Polonezkoy Tabiat Parki,Nature & Wildlife Areas • Parks,Istanbul,Turkey
152,Cicek Pasaji,Points of Interest & Landmarks,Istanbul,Turkey
153,Büyük Çamlica Tepesi,Lookouts,Istanbul,Turkey
154,Vlaherna Meryem Ana Church,Churches & Cathedrals,Istanbul,Turkey
155,Ataturk Museum,Speciality Museums,Istanbul,Turkey
156,,1,Istanbul,Turkey
157,Capacity Alisveris Merkezi,Shopping Malls,Istanbul,Turkey
158,Aziz Mahmut Hudayi Mosque,Religious Sites,Istanbul,Turkey
159,Balik Pazari,Flea & Street Markets,Istanbul,Turkey
160,Kilimli Parkuru,Hiking Trails,Istanbul,Turkey
161,Sakirin Mosque,Religious Sites,Istanbul,Turkey
162,"""primeclass"" Lounge",Airport Lounges,Istanbul,Turkey
163,Yeralti Camii,Religious Sites,Istanbul,Turkey
164,Silivri Sahili,Piers & Boardwalks • Beaches,Istanbul,Turkey
165,Rustem Pasha Mosque,Architectural Buildings • Religious Sites,Istanbul,Turkey
166,Marmara Forum,Shopping Malls,Istanbul,Turkey
167,Yoros Castle,Castles,Istanbul,Turkey
