WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2
191 places sorted by traveler favorites,,,,,,
"1,049",https://www.tripadvisor.com/Attraction_Review-g295419-d319501-Reviews-Al_Balad-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/4d/63/24/some-images-from-a-hot.jpg?w=500&h=-1&s=1,Al-Balad,1.,https://www.tripadvisor.com/Attraction_Review-g295419-d319501-Reviews-Al_Balad-Jeddah_Makkah_Province.html#REVIEWS,Historic Sites • Neighborhoods
926,https://www.tripadvisor.com/Attraction_Review-g295419-d2195533-Reviews-Red_Sea_Mall-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/ef/a4/23/photo0jpg.jpg?w=500&h=-1&s=1,Red Sea Mall,2.,https://www.tripadvisor.com/Attraction_Review-g295419-d2195533-Reviews-Red_Sea_Mall-Jeddah_Makkah_Province.html#REVIEWS,Shopping Malls
791,https://www.tripadvisor.com/Attraction_Review-g295419-d4361549-Reviews-Jeddah_Corniche-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/40/c9/20/there-are-more-people.jpg?w=500&h=-1&s=1,Jeddah Corniche,3.,https://www.tripadvisor.com/Attraction_Review-g295419-d4361549-Reviews-Jeddah_Corniche-Jeddah_Makkah_Province.html#REVIEWS,Points of Interest & Landmarks
"1,231",https://www.tripadvisor.com/Attraction_Review-g295419-d319519-Reviews-King_Fahd_s_Fountain-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/d3/4e/25/illuminate-the-fountain.jpg?w=500&h=400&s=1&cx=337&cy=320&chk=v1_012cd5d51096d2b363aa,King Fahd's Fountain,4.,https://www.tripadvisor.com/Attraction_Review-g295419-d319519-Reviews-King_Fahd_s_Fountain-Jeddah_Makkah_Province.html#REVIEWS,Fountains
243,https://www.tripadvisor.com/Attraction_Review-g295419-d2195347-Reviews-Mall_of_Arabia-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/53/7f/2a/img-20170904-193027-589.jpg?w=500&h=-1&s=1,Mall of Arabia,5.,https://www.tripadvisor.com/Attraction_Review-g295419-d2195347-Reviews-Mall_of_Arabia-Jeddah_Makkah_Province.html#REVIEWS,Shopping Malls
528,https://www.tripadvisor.com/Attraction_Review-g295419-d4020986-Reviews-Fakieh_Aquarium-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/84/cf/f3/fakieh-aquarium.jpg?w=500&h=400&s=1,Fakieh Aquarium,6.,https://www.tripadvisor.com/Attraction_Review-g295419-d4020986-Reviews-Fakieh_Aquarium-Jeddah_Makkah_Province.html#REVIEWS,Aquariums
417,https://www.tripadvisor.com/Attraction_Review-g295419-d319513-Reviews-Al_Rahma_Mosque-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/dd/d2/b3/caption.jpg?w=500&h=400&s=1,Al Rahma Mosque,7.,https://www.tripadvisor.com/Attraction_Review-g295419-d319513-Reviews-Al_Rahma_Mosque-Jeddah_Makkah_Province.html#REVIEWS,Religious Sites
175,https://www.tripadvisor.com/Attraction_Review-g295419-d2195029-Reviews-Silver_Sands_Beach-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/6c/bf/ad/this-peninsula-is-clouse.jpg?w=500&h=-1&s=1,Silver Sands Beach,8.,https://www.tripadvisor.com/Attraction_Review-g295419-d2195029-Reviews-Silver_Sands_Beach-Jeddah_Makkah_Province.html#REVIEWS,Beaches
73,https://www.tripadvisor.com/Attraction_Review-g295419-d3653757-Reviews-Al_Salam_Mall-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/03/29/b0/f9/al-salam-mall.jpg?w=500&h=400&s=1,Al Salam Mall,9.,https://www.tripadvisor.com/Attraction_Review-g295419-d3653757-Reviews-Al_Salam_Mall-Jeddah_Makkah_Province.html#REVIEWS,Shopping Malls
181,https://www.tripadvisor.com/Attraction_Review-g295419-d319500-Reviews-Biet_Nassif-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/c2/41/75/photo0jpg.jpg?w=500&h=-1&s=1,Biet Nassif,10.,https://www.tripadvisor.com/Attraction_Review-g295419-d319500-Reviews-Biet_Nassif-Jeddah_Makkah_Province.html#REVIEWS,Points of Interest & Landmarks
112,https://www.tripadvisor.com/Attraction_Review-g295419-d318899-Reviews-Gabel_Street_Souq-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/67/c2/ca/gabel-street.jpg?w=500&h=-1&s=1,Gabel Street Souq,11.,https://www.tripadvisor.com/Attraction_Review-g295419-d318899-Reviews-Gabel_Street_Souq-Jeddah_Makkah_Province.html#REVIEWS,Flea & Street Markets
62,https://www.tripadvisor.com/Attraction_Review-g295419-d4090222-Reviews-Al_Tayebat_International_City-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/9d/5d/95/al-tayebat-international.jpg?w=500&h=400&s=1,Al Tayebat International City,12.,https://www.tripadvisor.com/Attraction_Review-g295419-d4090222-Reviews-Al_Tayebat_International_City-Jeddah_Makkah_Province.html#REVIEWS,Speciality Museums
71,https://www.tripadvisor.com/Attraction_Review-g295419-d3653764-Reviews-Aziz_Mall-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/4e/81/18/aziz-mall.jpg?w=500&h=400&s=1,Aziz Mall,13.,https://www.tripadvisor.com/Attraction_Review-g295419-d3653764-Reviews-Aziz_Mall-Jeddah_Makkah_Province.html#REVIEWS,Shopping Malls
40,https://www.tripadvisor.com/Attraction_Review-g295419-d10757680-Reviews-Flamingo_Mall-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/b3/ef/8b/imag2289-largejpg.jpg?w=500&h=400&s=1,Flamingo Mall,14.,https://www.tripadvisor.com/Attraction_Review-g295419-d10757680-Reviews-Flamingo_Mall-Jeddah_Makkah_Province.html#REVIEWS,Department Stores • Shopping Malls
510,https://www.tripadvisor.com/Attraction_Review-g295419-d7208956-Reviews-Jeddah_Flagpole-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/0e/3b/b6/world-s-tallest-unsupported.jpg?w=500&h=400&s=1,Jeddah Flagpole,15.,https://www.tripadvisor.com/Attraction_Review-g295419-d7208956-Reviews-Jeddah_Flagpole-Jeddah_Makkah_Province.html#REVIEWS,Points of Interest & Landmarks
52,https://www.tripadvisor.com/Attraction_Review-g295419-d5560551-Reviews-Al_Shallal_Theme_Park-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/dd/68/d5/shallal-park.jpg?w=500&h=-1&s=1,Al-Shallal Theme Park,16.,https://www.tripadvisor.com/Attraction_Review-g295419-d5560551-Reviews-Al_Shallal_Theme_Park-Jeddah_Makkah_Province.html#REVIEWS,Amusement & Theme Parks
22,https://www.tripadvisor.com/Attraction_Review-g295419-d13535062-Reviews-Jeddah_Water_Front_Park-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/01/02/a3/the-new-jeddah-waterfront.jpg?w=500&h=400&s=1,Jeddah Water Front Park,17.,https://www.tripadvisor.com/Attraction_Review-g295419-d13535062-Reviews-Jeddah_Water_Front_Park-Jeddah_Makkah_Province.html#REVIEWS,Beaches
25,https://www.tripadvisor.com/Attraction_Review-g295419-d12216344-Reviews-Alandalus_Mall-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/b8/4c/96/alandalus-mall.jpg?w=500&h=400&s=1,Alandalus Mall,18.,https://www.tripadvisor.com/Attraction_Review-g295419-d12216344-Reviews-Alandalus_Mall-Jeddah_Makkah_Province.html#REVIEWS,Shopping Malls
89,https://www.tripadvisor.com/Attraction_Review-g295419-d319518-Reviews-Makkah_Gate-Jeddah_Makkah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/38/bc/b3/starting-of-haram.jpg?w=500&h=-1&s=1,Makkah Gate,19.,https://www.tripadvisor.com/Attraction_Review-g295419-d319518-Reviews-Makkah_Gate-Jeddah_Makkah_Province.html#REVIEWS,Points of Interest & Landmarks
