,Attraction Name,Attraction Type,City,Country
0,,,Kuala Lumpur,Malaysia
1,Petronas Twin Towers,Architectural Buildings,Kuala Lumpur,Malaysia
2,MinNature Malaysia,Speciality Museums,Kuala Lumpur,Malaysia
3,Aquaria,Aquariums,Kuala Lumpur,Malaysia
4,KLCC Park,Parks,Kuala Lumpur,Malaysia
5,Royal Selangor Visitor Centre,Visitor Centers,Kuala Lumpur,Malaysia
6,Kuala Lumpur Bird Park,Nature & Wildlife Areas • Parks,Kuala Lumpur,Malaysia
7,Menara Kuala Lumpur,Observation Decks & Towers,Kuala Lumpur,Malaysia
8,Pavilion KL,Shopping Malls,Kuala Lumpur,Malaysia
9,Islamic Arts Museum Malaysia,Art Museums,Kuala Lumpur,Malaysia
10,Jalan Alor,Neighborhoods,Kuala Lumpur,Malaysia
11,Suria KLCC Mall,Shopping Malls,Kuala Lumpur,Malaysia
12,Perdana Botanical Garden,Parks • Gardens,Kuala Lumpur,Malaysia
13,Thean Hou Temple,Religious Sites,Kuala Lumpur,Malaysia
14,BB Park Bukit Bintang,Shopping Malls,Kuala Lumpur,Malaysia
15,Petrosains Science Discovery Centre,Science Museums,Kuala Lumpur,Malaysia
16,Mid Valley Megamall,Shopping Malls,Kuala Lumpur,Malaysia
17,Central Market Kuala Lumpur,Points of Interest & Landmarks • Shopping Malls,Kuala Lumpur,Malaysia
18,Museum of Illusions,Speciality Museums • Children's Museums,Kuala Lumpur,Malaysia
19,National Museum,History Museums,Kuala Lumpur,Malaysia
20,Lake Symphony,Points of Interest & Landmarks • Fountains,Kuala Lumpur,Malaysia
21,KLCC - Bukit Bintang Pedestrian Walkway,Scenic Walking Areas,Kuala Lumpur,Malaysia
22,Berjaya Times Square Kuala Lumpur,Shopping Malls,Kuala Lumpur,Malaysia
23,National Mosque (Masjid Negara),Religious Sites,Kuala Lumpur,Malaysia
24,Jamek Mosque,Religious Sites,Kuala Lumpur,Malaysia
25,Sultan Abdul Samad Building,Architectural Buildings,Kuala Lumpur,Malaysia
26,Chinatown,Neighborhoods,Kuala Lumpur,Malaysia
27,Kuala Lumpur City Gallery,Visitor Centers • Speciality Museums,Kuala Lumpur,Malaysia
28,KL Forest Eco Park,Parks,Kuala Lumpur,Malaysia
29,Sri Maha Mariamman Temple,Religious Sites,Kuala Lumpur,Malaysia
30,Masjid Wilayah Persekutuan,Religious Sites,Kuala Lumpur,Malaysia
31,,2,Kuala Lumpur,Malaysia
32,,1,Kuala Lumpur,Malaysia
33,Kuala Lumpur Butterfly Park,Parks,Kuala Lumpur,Malaysia
34,Little India Brickfields,Neighborhoods,Kuala Lumpur,Malaysia
35,Bukit Tabur,Mountains,Kuala Lumpur,Malaysia
36,Jalan Masjid India,Points of Interest & Landmarks • Flea & Street Markets,Kuala Lumpur,Malaysia
37,SOGO,Shopping Malls,Kuala Lumpur,Malaysia
38,KL Tower Mini Zoo,Zoos,Kuala Lumpur,Malaysia
39,Kuala Lumpur Convention Centre,Convention Centers,Kuala Lumpur,Malaysia
40,Chow Kit Market,Flea & Street Markets,Kuala Lumpur,Malaysia
41,Bank Negara Malaysia Museum and Art Gallery,Art Galleries • Speciality Museums,Kuala Lumpur,Malaysia
42,Kanching Rainforest Waterfall,Parks • Forests,Kuala Lumpur,Malaysia
43,Merdeka Square,Points of Interest & Landmarks,Kuala Lumpur,Malaysia
44,Kuala Lumpur Sentral Railway Station,Points of Interest & Landmarks • Architectural Buildings,Kuala Lumpur,Malaysia
45,Istana Negara,Historic Sites • Architectural Buildings,Kuala Lumpur,Malaysia
46,Sunway Putra Mall,Shopping Malls,Kuala Lumpur,Malaysia
47,Bukit Gasing Forest Reserve,Forests,Kuala Lumpur,Malaysia
48,Sungei Wang Plaza,Shopping Malls,Kuala Lumpur,Malaysia
49,Bukit Kiara Park,Biking Trails • Parks,Kuala Lumpur,Malaysia
50,The Gardens Mall,Shopping Malls,Kuala Lumpur,Malaysia
51,Berjaya Time Square Theme Park,Amusement & Theme Parks,Kuala Lumpur,Malaysia
52,Jalan Tuanku Abdul Rahman,Points of Interest & Landmarks,Kuala Lumpur,Malaysia
53,The River of Life,Points of Interest & Landmarks • Scenic Walking Areas,Kuala Lumpur,Malaysia
54,National Textile Museum,Speciality Museums,Kuala Lumpur,Malaysia
55,Sunway Velocity Mall,Shopping Malls,Kuala Lumpur,Malaysia
56,Low Yat Plaza,Shopping Malls,Kuala Lumpur,Malaysia
57,National Visual Arts Gallery,Speciality Museums,Kuala Lumpur,Malaysia
58,Lot 10 Shopping Centre,Shopping Malls,Kuala Lumpur,Malaysia
59,LuLu Hypermarket,Department Stores,Kuala Lumpur,Malaysia
60,Bintang Walk,Neighborhoods,Kuala Lumpur,Malaysia
61,Royal Malaysia Police Museum,Speciality Museums,Kuala Lumpur,Malaysia
62,Avenue K Shopping Mall,Shopping Malls,Kuala Lumpur,Malaysia
63,,1,Kuala Lumpur,Malaysia
64,Kuala Lumpur Butterfly Park,Parks,Kuala Lumpur,Malaysia
65,Little India Brickfields,Neighborhoods,Kuala Lumpur,Malaysia
66,Bukit Tabur,Mountains,Kuala Lumpur,Malaysia
67,Jalan Masjid India,Points of Interest & Landmarks • Flea & Street Markets,Kuala Lumpur,Malaysia
68,SOGO,Shopping Malls,Kuala Lumpur,Malaysia
69,,1,Kuala Lumpur,Malaysia
70,The Intermark Mall,Shopping Malls,Kuala Lumpur,Malaysia
71,Taman Tasik Permaisuri,Parks • Playgrounds,Kuala Lumpur,Malaysia
72,Air Asia Premium Red Lounge klia2,Airport Lounges,Kuala Lumpur,Malaysia
73,Istana Budaya,Points of Interest & Landmarks • Architectural Buildings,Kuala Lumpur,Malaysia
74,Semua House,Shopping Malls,Kuala Lumpur,Malaysia
75,Sky Deck KL Tower,Observation Decks & Towers,Kuala Lumpur,Malaysia
76,Bangsar Village 2 Shopping Mall,Shopping Malls,Kuala Lumpur,Malaysia
77,Melawati Mall,Shopping Malls,Kuala Lumpur,Malaysia
78,Ilham Gallery,Art Galleries,Kuala Lumpur,Malaysia
79,Malayan Railways Limited Building,Architectural Buildings,Kuala Lumpur,Malaysia
80,Hibiscus Garden,Gardens,Kuala Lumpur,Malaysia
81,Kortumalai Sri Ganesar Temple,Religious Sites,Kuala Lumpur,Malaysia
82,KLIA Transit,Public Transportation Systems,Kuala Lumpur,Malaysia
83,Jalan Sayur Food Street,Flea & Street Markets,Kuala Lumpur,Malaysia
84,Jalan Pasar Market,Flea & Street Markets,Kuala Lumpur,Malaysia
85,Asean Sculpture Garden,Gardens,Kuala Lumpur,Malaysia
86,1 Mont' Kiara,Shopping Malls,Kuala Lumpur,Malaysia
87,St. John's Cathedral,Churches & Cathedrals,Kuala Lumpur,Malaysia
88,Ampang Hilir Park,Parks,Kuala Lumpur,Malaysia
89,Malaysia International Trade & Exhibition Centre,Convention Centers,Kuala Lumpur,Malaysia
90,Muzium Telekom,Speciality Museums,Kuala Lumpur,Malaysia
91,Wangsa Walk Mall,Shopping Malls,Kuala Lumpur,Malaysia
92,Kuala Lumpur Deer Park,Parks,Kuala Lumpur,Malaysia
93,Kepong Botanical Garden,Gardens,Kuala Lumpur,Malaysia
94,Chan See Shu Yuen Temple,Religious Sites,Kuala Lumpur,Malaysia
95,Church of the Holy Rosary,Churches & Cathedrals,Kuala Lumpur,Malaysia
96,Damansara City Mall (DC Mall),Shopping Malls,Kuala Lumpur,Malaysia
97,St. Mary's Cathedral,Religious Sites • Churches & Cathedrals,Kuala Lumpur,Malaysia
98,Selfie Museum KL,Speciality Museums,Kuala Lumpur,Malaysia
99,Masjid As-Syakirin,Religious Sites,Kuala Lumpur,Malaysia
100,,1,Kuala Lumpur,Malaysia
101,Setapak Central,Shopping Malls,Kuala Lumpur,Malaysia
102,Jalan Ampang,Points of Interest & Landmarks,Kuala Lumpur,Malaysia
103,Axiata Arena,Arenas & Stadiums,Kuala Lumpur,Malaysia
104,Pavilion Crystal Fountain,Fountains,Kuala Lumpur,Malaysia
105,Kun Yam Thong Temple,Religious Sites,Kuala Lumpur,Malaysia
106,Blue Coral Aquarium,Aquariums,Kuala Lumpur,Malaysia
107,Royal Selangor Club,Historic Sites,Kuala Lumpur,Malaysia
108,Malaysia Cartoon & Comic House,Art Galleries,Kuala Lumpur,Malaysia
109,Buddhist Maha Vihara,Religious Sites,Kuala Lumpur,Malaysia
110,The LINC KL,Shopping Malls,Kuala Lumpur,Malaysia
111,Orang Asli Craft Museum,Speciality Museums,Kuala Lumpur,Malaysia
112,National Aquatic Centre,Sports Complexes,Kuala Lumpur,Malaysia
113,Pertama Complex,Shopping Malls,Kuala Lumpur,Malaysia
114,The Weld Shopping Centre,Shopping Malls,Kuala Lumpur,Malaysia
115,Dayabumi Complex,Architectural Buildings,Kuala Lumpur,Malaysia
116,RapidKL Bus,Public Transportation Systems,Kuala Lumpur,Malaysia
117,Old High Court Building,Points of Interest & Landmarks • Architectural Buildings,Kuala Lumpur,Malaysia
118,Marvel Studios Ten Years of Heroes Malaysia,Art Galleries,Kuala Lumpur,Malaysia
119,Bukit Jalil National Stadium,Arenas & Stadiums,Kuala Lumpur,Malaysia
120,Medan Pasar,Points of Interest & Landmarks • Scenic Walking Areas,Kuala Lumpur,Malaysia
121,Dinosaurs Alive,Zoos • Other Zoos & Aquariums,Kuala Lumpur,Malaysia
122,Arulmigu Sri Ramalinga Eeswarar Temple,Points of Interest & Landmarks • Religious Sites,Kuala Lumpur,Malaysia
123,NSK Trade City,Shopping Malls,Kuala Lumpur,Malaysia
124,Sri Kandaswamy Temple,Religious Sites,Kuala Lumpur,Malaysia
125,Lost In China Town,Art Galleries • Points of Interest & Landmarks,Kuala Lumpur,Malaysia
