,Attraction Name,Attraction Type,City,Country
0,,,Los Angeles,USA
1,The Getty Center,Speciality Museums,Los Angeles,USA
2,Griffith Observatory,Observatories & Planetariums,Los Angeles,USA
3,Universal Studios Hollywood,Amusement & Theme Parks,Los Angeles,USA
4,Petersen Automotive Museum,Speciality Museums,Los Angeles,USA
5,The Wizarding World of Harry Potter,Points of Interest & Landmarks,Los Angeles,USA
6,Battleship USS Iowa Museum,Military Museums,Los Angeles,USA
7,The Broad,Art Museums,Los Angeles,USA
8,Staples Center,Arenas & Stadiums,Los Angeles,USA
9,Griffith Park,Parks,Los Angeles,USA
10,The Grove,,Los Angeles,USA
11,La Brea Tar Pits and Museum,Natural History Museums • Science Museums,Los Angeles,USA
12,Walt Disney Concert Hall,Points of Interest & Landmarks • Architectural Buildings,Los Angeles,USA
13,Natural History Museum of Los Angeles County,Natural History Museums,Los Angeles,USA
14,Runyon Canyon Park,Canyons • Parks,Los Angeles,USA
15,Venice Canals Walkway,Historic Walking Areas,Los Angeles,USA
16,The Nethercutt Collection,Speciality Museums,Los Angeles,USA
17,Dodger Stadium,Arenas & Stadiums,Los Angeles,USA
18,Union Station,Points of Interest & Landmarks • Architectural Buildings,Los Angeles,USA
19,Hollywood Sign,Points of Interest & Landmarks,Los Angeles,USA
20,Bradbury Building,Architectural Buildings,Los Angeles,USA
21,Lake Hollywood Park,Parks,Los Angeles,USA
22,Universal CityWalk Hollywood,Points of Interest & Landmarks • Shopping Malls,Los Angeles,USA
23,Los Angeles County Museum of Art,Art Museums,Los Angeles,USA
24,Madame Tussauds Hollywood,Speciality Museums,Los Angeles,USA
25,Abbot Kinney Boulevard,Points of Interest & Landmarks,Los Angeles,USA
26,Angels Flight Railway,Historic Sites • Points of Interest & Landmarks,Los Angeles,USA
27,"University of California, Los Angeles (UCLA)",Educational sites,Los Angeles,USA
28,Hollywood Forever Cemetery,Cemeteries,Los Angeles,USA
