,Attraction Name,Attraction Type,City,Country
0,,,Las Vegas,USA
1,Red Rock Canyon National Conservation Area,State Parks • National Parks,Las Vegas,USA
2,High Roller,Observation Decks & Towers,Las Vegas,USA
3,The Strip,Points of Interest & Landmarks • Historic Walking Areas,Las Vegas,USA
4,Fountains of Bellagio,Points of Interest & Landmarks • Fountains,Las Vegas,USA
5,The Mob Museum,Speciality Museums,Las Vegas,USA
6,Eiffel Tower Viewing Deck,Observation Decks & Towers,Las Vegas,USA
7,Stratosphere Tower,Points of Interest & Landmarks • Observation Decks & Towers,Las Vegas,USA
8,Bellagio Conservatory & Botanical Garden,Gardens,Las Vegas,USA
9,Hoover Dam Bypass,Points of Interest & Landmarks • Bridges,Las Vegas,USA
10,Welcome to Fabulous Las Vegas Sign,Points of Interest & Landmarks,Las Vegas,USA
11,Titanic: The Artifact Exhibition,History Museums,Las Vegas,USA
12,The LINQ Promenade,Neighborhoods,Las Vegas,USA
13,Fremont Street Experience,Points of Interest & Landmarks • Historic Walking Areas,Las Vegas,USA
14,"Shelby American, Inc.",Speciality Museums,Las Vegas,USA
15,Mount Charleston,Mountains,Las Vegas,USA
16,KA by Cirque du Soleil,Cirque du Soleil Shows,Las Vegas,USA
17,Mirage Volcano,Points of Interest & Landmarks,Las Vegas,USA
18,Wynn Las Vegas Casino,Casinos,Las Vegas,USA
19,Zak Bagans' The Haunted Museum,Speciality Museums,Las Vegas,USA
20,Pinball Hall of Fame,Speciality Museums,Las Vegas,USA
21,Counts Kustoms,Speciality Museums,Las Vegas,USA
22,T-Mobile Arena,Arenas & Stadiums,Las Vegas,USA
23,The Neon Museum,Speciality Museums,Las Vegas,USA
24,The Grand Canal Shoppes at The Venetian Resort,Shopping Malls,Las Vegas,USA
25,Downtown Container Park,Points of Interest & Landmarks • Shopping Malls,Las Vegas,USA
26,Fashion Show Las Vegas,Shopping Malls,Las Vegas,USA
27,Forum Shops at Caesars Palace,Shopping Malls,Las Vegas,USA
28,Casino at Bellagio,Casinos,Las Vegas,USA
29,Ellis Island Casino & Brewery,Breweries • Casinos,Las Vegas,USA
30,Dolby Live,Theaters,Las Vegas,USA
31,,2,Las Vegas,USA
32,The National Atomic Testing Museum,Speciality Museums,Las Vegas,USA
33,Springs Preserve,Speciality Museums • Nature & Wildlife Areas,Las Vegas,USA
34,Las Vegas Downtown,Neighborhoods,Las Vegas,USA
35,The Cosmopolitan Casino,Casinos,Las Vegas,USA
36,Madame Tussauds -  Las Vegas,Speciality Museums,Las Vegas,USA
37,Zappos Theater,Theaters,Las Vegas,USA
38,Shark Reef Aquarium,Aquariums,Las Vegas,USA
39,Marvel Avengers S.T.A.T.I.O.N.,Speciality Museums,Las Vegas,USA
40,Gold & Silver Pawn Shop,Antique Shops,Las Vegas,USA
41,Siegfried & Roy's Secret Garden and Dolphin Habitat,Zoos,Las Vegas,USA
42,Casino At The Venetian,Casinos,Las Vegas,USA
43,SeaQuest,Aquariums,Las Vegas,USA
44,Las Vegas South Premium Outlets,Factory Outlets,Las Vegas,USA
45,Las Vegas Monorail,Public Transportation Systems,Las Vegas,USA
46,Bodies The Exhibition,Science Museums,Las Vegas,USA
47,Palazzo Resort Casino,Casinos,Las Vegas,USA
48,Miracle Mile Shops at Planet Hollywood,Shopping Malls,Las Vegas,USA
49,The Liberace Museum Collection,Speciality Museums • Private Tours,Las Vegas,USA
50,Flamingo Wildlife Habitat,Nature & Wildlife Areas • Zoos,Las Vegas,USA
51,Las Vegas Motor Speedway,Auto Racing Tracks,Las Vegas,USA
52,Nostalgia Street Rods,Speciality Museums • Walking Tours,Las Vegas,USA
53,Clark County Wetlands Park,Nature & Wildlife Areas,Las Vegas,USA
54,The Colosseum,Theaters,Las Vegas,USA
55,Paris Las Vegas,Points of Interest & Landmarks • Casinos,Las Vegas,USA
56,Casino at Aria Resort,Casinos,Las Vegas,USA
57,Town Square Las Vegas,Shopping Malls,Las Vegas,USA
58,DISCOVERY Children's Museum,Science Museums • Children's Museums,Las Vegas,USA
59,Casino at Luxor Las Vegas,Casinos,Las Vegas,USA
60,Historic Railroad Trail,Hiking Trails,Las Vegas,USA
61,Mandalay Bay Beach,Beach & Pool Clubs,Las Vegas,USA
62,,1,Las Vegas,USA
63,Pearl Concert Theater,Theaters,Las Vegas,USA
64,Bellagio Chocolate Fountain,Fountains,Las Vegas,USA
65,Red Rock Casino,Casinos,Las Vegas,USA
66,Circus Circus Adventuredome Theme Park,Amusement & Theme Parks,Las Vegas,USA
67,Lost Spirits Distillery,Distilleries,Las Vegas,USA
68,Las Vegas Convention Center,Convention Centers,Las Vegas,USA
69,Burlesque Hall of Fame,Speciality Museums • History Museums,Las Vegas,USA
70,White Tiger Habitat at the Mirage,Zoos,Las Vegas,USA
71,The Shops At Crystals,Shopping Malls,Las Vegas,USA
72,REAL BODIES at Bally's,Art Galleries • Speciality Museums,Las Vegas,USA
73,Casino at Caesars Palace,Casinos,Las Vegas,USA
74,Casino Royale,Casinos,Las Vegas,USA
75,Mary Jane Falls Trail,Hiking Trails,Las Vegas,USA
76,Casino at Encore,Casinos,Las Vegas,USA
77,Las Vegas Natural History Museum,Natural History Museums,Las Vegas,USA
78,Westgate Las Vegas Resort & Casino,Casinos,Las Vegas,USA
79,Bally's,Casinos,Las Vegas,USA
80,Bellagio Gallery of Fine Art,Art Museums,Las Vegas,USA
81,Las Vegas Harley-Davidson,Points of Interest & Landmarks,Las Vegas,USA
82,Casino at New York - New York,Casinos,Las Vegas,USA
83,The Park,Parks,Las Vegas,USA
84,OYO Casino,Casinos,Las Vegas,USA
85,Gold Strike Canyon Hot Springs,Canyons • Hiking Trails,Las Vegas,USA
86,Lee Canyon,Ski & Snowboard Areas,Las Vegas,USA
87,Magical Forest,Amusement & Theme Parks • Points of Interest & Landmarks,Las Vegas,USA
88,Binion's Gambling Hall,Casinos,Las Vegas,USA
89,Planet Hollywood Casino,Casinos,Las Vegas,USA
90,Silverton Aquarium,Aquariums,Las Vegas,USA
91,Calico Tanks Trail,Hiking Trails,Las Vegas,USA
92,Casino at Excalibur,Casinos,Las Vegas,USA
93,,1,Las Vegas,USA
94,SAHARA Las Vegas,Casinos,Las Vegas,USA
95,Casino at the MGM Grand,Theaters • Casinos,Las Vegas,USA
96,Casino at Treasure Island,Casinos,Las Vegas,USA
97,Moorea Beach Club,Beach & Pool Clubs,Las Vegas,USA
98,MGM Grand Arena,Arenas & Stadiums,Las Vegas,USA
99,The Centurion Lounge,Airport Lounges,Las Vegas,USA
100,The Casino at The Mirage,Casinos,Las Vegas,USA
101,"Akhob, by James Turrell",Points of Interest & Landmarks,Las Vegas,USA
102,V Theater,Theaters,Las Vegas,USA
103,Hollywood Cars Museum,Speciality Museums,Las Vegas,USA
104,Casino at Mandalay Bay,Casinos,Las Vegas,USA
105,Casino at the Flamingo Las Vegas,Casinos,Las Vegas,USA
106,Gold Spike,Casinos,Las Vegas,USA
107,Casino at Harrah's Las Vegas,Casinos,Las Vegas,USA
108,"Erotic Heritage Museum, Las Vegas",Speciality Museums,Las Vegas,USA
109,St. Mark's Square,Points of Interest & Landmarks,Las Vegas,USA
110,Guardian Angel Cathedral,Churches & Cathedrals,Las Vegas,USA
111,National Finals Rodeo,Sporting Events,Las Vegas,USA
112,Bellagio Wedding Chapels,Wedding Chapels,Las Vegas,USA
113,Wet'n'Wild Las Vegas,Water Parks,Las Vegas,USA
114,The D Casino,Casinos,Las Vegas,USA
115,Casino at the Rio All-Suite Hotel,Casinos,Las Vegas,USA
116,Mermaid's show!,Points of Interest & Landmarks • Aquariums,Las Vegas,USA
117,Sands Expo and Convention Center,Convention Centers,Las Vegas,USA
