,Attraction Name,Attraction Type,City,Country
0,,,Madrid,Spain
1,Prado National Museum,Art Museums,Madrid,Spain
2,Parque del Retiro,Parks,Madrid,Spain
3,Santiago Bernabeu Stadium,Arenas & Stadiums,Madrid,Spain
4,Royal Palace of Madrid,Historic Sites • Architectural Buildings,Madrid,Spain
5,Museo Nacional Thyssen-Bornemisza,Speciality Museums,Madrid,Spain
6,Museo Nacional Centro de Arte Reina Sofía,Art Museums,Madrid,Spain
7,Museo Sorolla,Art Museums,Madrid,Spain
8,Gran Via,Points of Interest & Landmarks,Madrid,Spain
9,Plaza Mayor,Historic Sites • Points of Interest & Landmarks,Madrid,Spain
10,Museo Arqueologico Nacional,Art Museums • History Museums,Madrid,Spain
11,Barrio de Salamanca,Neighborhoods • Historic Walking Areas,Madrid,Spain
12,La Latina,Neighborhoods,Madrid,Spain
13,Plaza de Cibeles,Monuments & Statues,Madrid,Spain
14,Mercado San Miguel,Flea & Street Markets,Madrid,Spain
15,Parque Madrid Río,Parks,Madrid,Spain
16,Palacio De Cristal,Architectural Buildings,Madrid,Spain
17,Parque de El Capricho,Parks • Gardens,Madrid,Spain
18,Malasana,Neighborhoods,Madrid,Spain
19,Puerta del Sol,Points of Interest & Landmarks,Madrid,Spain
20,Museo Cerralbo,Historic Sites • Architectural Buildings,Madrid,Spain
21,Palacio de Cibeles,Architectural Buildings,Madrid,Spain
22,Plaza de Toros de Las Ventas,Historic Sites • Points of Interest & Landmarks,Madrid,Spain
23,Barrio de Las Letras,Neighborhoods,Madrid,Spain
24,Real Basilica de San Francisco el Grande,Religious Sites • Churches & Cathedrals,Madrid,Spain
25,Catedral de Sta Maria la Real de la Almudena,Churches & Cathedrals,Madrid,Spain
26,Templo de Debod,Ancient Ruins • Architectural Buildings,Madrid,Spain
27,Caixa Forum,Speciality Museums,Madrid,Spain
28,Wanda Metropolitano,Playgrounds,Madrid,Spain
29,Paseo del Prado,Points of Interest & Landmarks,Madrid,Spain
30,Naval Museum,Speciality Museums • History Museums,Madrid,Spain
