,Attraction Name,Attraction Type,City,Country
0,,,Marrakech,Morocco
1,Jardin Majorelle,Gardens,Marrakech,Morocco
2,Palácio da Bahia,Historic Sites • Architectural Buildings,Marrakech,Morocco
3,Anima André Heller Garden,Gardens,Marrakech,Morocco
4,Le Jardin Secret,Gardens,Marrakech,Morocco
5,Medina of Marrakesh,Historic Sites • Points of Interest & Landmarks,Marrakech,Morocco
6,Musée Yves Saint Laurent Marrakech,Speciality Museums,Marrakech,Morocco
7,Jemaa el-Fnaa,Points of Interest & Landmarks • Flea & Street Markets,Marrakech,Morocco
8,Maison de la Photographie,Art Museums,Marrakech,Morocco
9,Koutoubia Mosque,Historic Sites • Architectural Buildings,Marrakech,Morocco
10,Dar El Bacha - Musee des Confluences,Speciality Museums • Art Museums,Marrakech,Morocco
11,Dar Si Said Museum,Speciality Museums,Marrakech,Morocco
12,El Badi Palace,Historic Sites,Marrakech,Morocco
13,Medersa Ben Youssef,Historic Sites • Points of Interest & Landmarks,Marrakech,Morocco
14,Moroccan Active Adventures,Sports Camps & Clinics,Marrakech,Morocco
15,Nikki Beach,Beach & Pool Clubs,Marrakech,Morocco
16,Saadian Tombs,Architectural Buildings • Cemeteries,Marrakech,Morocco
17,Marrakech Train Station,Architectural Buildings,Marrakech,Morocco
18,Cyber Parc Arsat Moulay Abdeslam,Parks,Marrakech,Morocco
19,The Orientalist Museum of Marrakech,Speciality Museums • Art Museums,Marrakech,Morocco
20,Oasiria,Water Parks • Gardens,Marrakech,Morocco
21,Aqua Fun Club,Water Parks,Marrakech,Morocco
22,Boucharouite Museum,Speciality Museums,Marrakech,Morocco
23,Rahba Kedima Square,Points of Interest & Landmarks,Marrakech,Morocco
24,Menara Mall,Shopping Malls,Marrakech,Morocco
25,Gueliz,Neighborhoods • Historic Walking Areas,Marrakech,Morocco
26,Musée de la Musique,Speciality Museums,Marrakech,Morocco
27,Museum of Marrakesh,Speciality Museums,Marrakech,Morocco
28,Menara Gardens and Pavilion,Historic Walking Areas • Gardens,Marrakech,Morocco
29,Mellah,Historic Sites,Marrakech,Morocco
30,Tanneries,Neighborhoods,Marrakech,Morocco
31,,2,Marrakech,Morocco
32,Jardin Majorelle,Gardens,Marrakech,Morocco
33,,1,Marrakech,Morocco
34,Adouar Marrakech,Points of Interest & Landmarks,Marrakech,Morocco
35,Jardin Bio Aromatique Nectarome,Gardens,Marrakech,Morocco
36,Food Markets of Marrakech,Flea & Street Markets,Marrakech,Morocco
37,Theatre Royal,Theaters,Marrakech,Morocco
38,Royal Palace of Marrakech,Architectural Buildings,Marrakech,Morocco
39,Cactus Thiemann,Gardens,Marrakech,Morocco
40,Agdal Gardens,Gardens,Marrakech,Morocco
41,Dar Bellarj,Points of Interest & Landmarks,Marrakech,Morocco
42,Observatoire Astronomie - Centre Culturel Atlas Golf Marrakech,Speciality Museums,Marrakech,Morocco
43,Pool Lounge - Sofitel Marrakech,Beach & Pool Clubs,Marrakech,Morocco
44,Le Vizir Center,Water Parks,Marrakech,Morocco
