WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3
"1,000+ places sorted by traveler favorites",,,,,,,
"19,804",https://www.tripadvisor.com/Attraction_Review-g150800-d153711-Reviews-Museo_Nacional_de_Antropologia-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/26/fa/3e/photo1jpg.jpg?w=500&h=-1&s=1,Museo Nacional de Antropologia,1.,https://www.tripadvisor.com/Attraction_Review-g150800-d153711-Reviews-Museo_Nacional_de_Antropologia-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Natural History Museums • History Museums,Miguel Hidalgo
"10,654",https://www.tripadvisor.com/Attraction_Review-g150800-d183986-Reviews-Chapultepec_Castle-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/ee/58/f6/garden-on-the-roof.jpg?w=500&h=400&s=1,Chapultepec Castle,2.,https://www.tripadvisor.com/Attraction_Review-g150800-d183986-Reviews-Chapultepec_Castle-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Castles,Miguel Hidalgo
"7,815",https://www.tripadvisor.com/Attraction_Review-g150800-d153180-Reviews-Basilica_de_Santa_Maria_de_Guadalupe-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/50/a6/a0/overview-of-complex-with.jpg?w=500&h=-1&s=1,Basilica de Santa Maria de Guadalupe,3.,https://www.tripadvisor.com/Attraction_Review-g150800-d153180-Reviews-Basilica_de_Santa_Maria_de_Guadalupe-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Historic Sites • Churches & Cathedrals,Gustavo A. Madero
"10,844",https://www.tripadvisor.com/Attraction_Review-g150800-d153969-Reviews-Palacio_de_Bellas_Artes-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/32/f5/de/dscn0175-largejpg.jpg?w=500&h=-1&s=1,Palacio de Bellas Artes,4.,https://www.tripadvisor.com/Attraction_Review-g150800-d153969-Reviews-Palacio_de_Bellas_Artes-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Art Museums,Cuauhtémoc District
"7,833",https://www.tripadvisor.com/Attraction_Review-g150800-d152795-Reviews-Coyoacan-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/5d/a9/dd/mexico-cdmx-coyoacan.jpg?w=500&h=400&s=1,Coyoacan,5.,https://www.tripadvisor.com/Attraction_Review-g150800-d152795-Reviews-Coyoacan-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Neighborhoods,Coyoacán
"9,740",https://www.tripadvisor.com/Attraction_Review-g150800-d152582-Reviews-Museo_Frida_Kahlo-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/36/96/8e/photo2jpg.jpg?w=500&h=400&s=1,Museo Frida Kahlo,6.,https://www.tripadvisor.com/Attraction_Review-g150800-d152582-Reviews-Museo_Frida_Kahlo-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Speciality Museums • Points of Interest & Landmarks,Coyoacán
"5,547",https://www.tripadvisor.com/Attraction_Review-g150800-d152460-Reviews-Zocalo-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/a8/91/4f/20180911-193522-01-largejpg.jpg?w=500&h=400&s=1,Zocalo,7.,https://www.tripadvisor.com/Attraction_Review-g150800-d152460-Reviews-Zocalo-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Points of Interest & Landmarks • Historic Walking Areas,Centro Histórico
"3,912",https://www.tripadvisor.com/Attraction_Review-g150800-d184126-Reviews-Museo_Soumaya-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/93/3a/f1/soumaya.jpg?w=500&h=-1&s=1,Museo Soumaya,8.,https://www.tripadvisor.com/Attraction_Review-g150800-d184126-Reviews-Museo_Soumaya-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Speciality Museums,Granada
"4,342",https://www.tripadvisor.com/Attraction_Review-g150800-d152191-Reviews-Museo_del_Templo_Mayor-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/74/36/57/caption.jpg?w=500&h=400&s=1,Museo del Templo Mayor,9.,https://www.tripadvisor.com/Attraction_Review-g150800-d152191-Reviews-Museo_del_Templo_Mayor-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Ancient Ruins • History Museums,Centro Histórico
"2,385",https://www.tripadvisor.com/Attraction_Review-g150800-d152193-Reviews-Bosque_de_Chapultepec-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/23/c8/a2/views-of-the-park-from.jpg?w=500&h=-1&s=1,Bosque de Chapultepec,10.,https://www.tripadvisor.com/Attraction_Review-g150800-d152193-Reviews-Bosque_de_Chapultepec-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,National Parks • Parks,Miguel Hidalgo
"1,763",https://www.tripadvisor.com/Attraction_Review-g150800-d558913-Reviews-Murales_de_Diego_Rivera_en_la_Secretaria_de_Educacion_Publica-Mexico_City_Central_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/70/e1/3e/murales-en-el-palacio.jpg?w=500&h=400&s=1,Murales de Diego Rivera en la Secretaría de Educacion Publica,11.,https://www.tripadvisor.com/Attraction_Review-g150800-d558913-Reviews-Murales_de_Diego_Rivera_en_la_Secretaria_de_Educacion_Publica-Mexico_City_Central_.html#REVIEWS,Points of Interest & Landmarks,Centro Histórico
"3,316",https://www.tripadvisor.com/Attraction_Review-g150800-d152461-Reviews-National_Palace_Palacio_Nacional-Mexico_City_Central_Mexico_and_Gulf_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/69/2e/a5/palacio-nacional.jpg?w=500&h=-1&s=1,National Palace (Palacio Nacional),12.,https://www.tripadvisor.com/Attraction_Review-g150800-d152461-Reviews-National_Palace_Palacio_Nacional-Mexico_City_Central_Mexico_and_Gulf_Coast.html#REVIEWS,Historic Sites • Architectural Buildings,Centro Histórico
