,Attraction Name,Attraction Type,City,Country
0,,,Mexico City,Mexico
1,Museo Nacional de Antropologia,Natural History Museums • History Museums,Mexico City,Mexico
2,Chapultepec Castle,Castles,Mexico City,Mexico
3,Basilica de Santa Maria de Guadalupe,Historic Sites • Churches & Cathedrals,Mexico City,Mexico
4,Palacio de Bellas Artes,Art Museums,Mexico City,Mexico
5,Coyoacan,Neighborhoods,Mexico City,Mexico
6,Museo Frida Kahlo,Speciality Museums • Points of Interest & Landmarks,Mexico City,Mexico
7,Zocalo,Points of Interest & Landmarks • Historic Walking Areas,Mexico City,Mexico
8,Museo Soumaya,Speciality Museums,Mexico City,Mexico
9,Museo del Templo Mayor,Ancient Ruins • History Museums,Mexico City,Mexico
10,Bosque de Chapultepec,National Parks • Parks,Mexico City,Mexico
11,Murales de Diego Rivera en la Secretaría de Educacion Publica,Points of Interest & Landmarks,Mexico City,Mexico
12,National Palace (Palacio Nacional),Historic Sites • Architectural Buildings,Mexico City,Mexico
13,Arena Mexico,Arenas & Stadiums,Mexico City,Mexico
14,Paseo de la Reforma,Points of Interest & Landmarks,Mexico City,Mexico
15,Memory and Tolerance Museum,Speciality Museums • Architectural Buildings,Mexico City,Mexico
16,Polanco,Neighborhoods • Points of Interest & Landmarks,Mexico City,Mexico
17,Metropolitan Cathedral (Catedral Metropolitana),Historic Sites • Ancient Ruins,Mexico City,Mexico
18,Historic Center (Centro Historico),Historic Sites • Neighborhoods,Mexico City,Mexico
19,Torre Latino,Architectural Buildings • Observation Decks & Towers,Mexico City,Mexico
20,Ballet Folklorico de Mexico,Ballets,Mexico City,Mexico
21,Museo de Arte Popular,Art Museums,Mexico City,Mexico
22,Mercado De Artesanias La Ciudadela,Flea & Street Markets,Mexico City,Mexico
23,La Condesa,Neighborhoods,Mexico City,Mexico
24,Museo de Cera de la Ciudad de Mexico,Speciality Museums,Mexico City,Mexico
25,Museo Mural Diego Rivera,Art Museums,Mexico City,Mexico
26,Museo Dolores Olmedo Patino,Speciality Museums,Mexico City,Mexico
27,Floating Gardens of Xochimilco,Points of Interest & Landmarks • Gardens,Mexico City,Mexico
28,Mercado de San Juan,Flea & Street Markets,Mexico City,Mexico
29,Acuario Inbursa,Aquariums,Mexico City,Mexico
30,Palacio Postal,Architectural Buildings,Mexico City,Mexico
31,,2,Mexico City,Mexico
32,San Angel,Neighborhoods,Mexico City,Mexico
33,Mercado de Coyoacan,Flea & Street Markets,Mexico City,Mexico
34,Biblioteca Vasconcelos,Libraries,Mexico City,Mexico
35,Estadio Azteca,Arenas & Stadiums,Mexico City,Mexico
36,Ciudad Universitaria,Neighborhoods • Architectural Buildings,Mexico City,Mexico
37,Museo Nacional de Artes,Speciality Museums,Mexico City,Mexico
38,Parque Nacional Desierto de los Leones,Parks,Mexico City,Mexico
39,El Bazar Sabado,Flea & Street Markets,Mexico City,Mexico
40,Monumento y Museo de la Revolucion,Speciality Museums • Monuments & Statues,Mexico City,Mexico
41,Museo Casa De Leon Trotsky,Speciality Museums,Mexico City,Mexico
42,Museo Diego Rivera Anahuacalli,Speciality Museums,Mexico City,Mexico
43,Cineteca Nacional,Points of Interest & Landmarks,Mexico City,Mexico
44,Museo del Tiempo Tlalpan,Speciality Museums,Mexico City,Mexico
45,Parque La Mexicana,Parks,Mexico City,Mexico
46,Gran Hotel Ciudad de Mexico,Architectural Buildings,Mexico City,Mexico
47,Museum of Modern Art (Museo de Arte Moderno),Speciality Museums,Mexico City,Mexico
48,Auditorio Nacional,Theaters,Mexico City,Mexico
49,Franz Mayer Museum (Museo Franz Mayer),Speciality Museums • Art Museums,Mexico City,Mexico
50,Day of the dead,Cultural Events,Mexico City,Mexico
51,Antiguo Colegio de San Ildefonso,Art Museums,Mexico City,Mexico
52,Papalote Museo del Nino,Speciality Museums,Mexico City,Mexico
53,Plaza San Jacinto,Points of Interest & Landmarks • Scenic Walking Areas,Mexico City,Mexico
54,House of Tiles (Casa de los Azulejos),Historic Sites • Architectural Buildings,Mexico City,Mexico
55,Six Flags Mexico,Amusement & Theme Parks,Mexico City,Mexico
56,Antara Fashion Hall,Shopping Malls,Mexico City,Mexico
57,Alameda Central,Points of Interest & Landmarks • Parks,Mexico City,Mexico
58,Mercado Roma,Points of Interest & Landmarks,Mexico City,Mexico
59,Oasis Coyoacan,Shopping Malls,Mexico City,Mexico
60,Mercado de Jamaica,Flea & Street Markets,Mexico City,Mexico
61,"Museo Nacional de Historia, Castillo de Chapultepec",Speciality Museums,Mexico City,Mexico
62,,1,Mexico City,Mexico
63,Autódromo Hermanos Rodríguez,Auto Racing Tracks,Mexico City,Mexico
64,Parque Zoologico de Chapultepec,Zoos,Mexico City,Mexico
65,Museo Antiguo Palacio de Iturbide,Speciality Museums,Mexico City,Mexico
66,Plaza Garibaldi,Points of Interest & Landmarks,Mexico City,Mexico
67,Museo de Historia Natural,Natural History Museums,Mexico City,Mexico
68,Mercado de Medellin,Flea & Street Markets,Mexico City,Mexico
69,UNAM Biblioteca central,Libraries,Mexico City,Mexico
70,Plaza de las Tres Culturas,Ancient Ruins • Points of Interest & Landmarks,Mexico City,Mexico
71,Los Dinamos,Nature & Wildlife Areas • Parks,Mexico City,Mexico
72,"MIDE, Interactive Museum of Economics",Speciality Museums,Mexico City,Mexico
73,El Palacio de Hierro,Department Stores • Shopping Malls,Mexico City,Mexico
74,Zona Rosa,Neighborhoods • Points of Interest & Landmarks,Mexico City,Mexico
75,Vivero Coyoacán,Gardens,Mexico City,Mexico
76,Reforma 222,Architectural Buildings,Mexico City,Mexico
77,Museo Estudio Diego Rivera y Frida Kahlo,Speciality Museums,Mexico City,Mexico
78,Lago del Bosque de Chapultepec,Bodies of Water • Points of Interest & Landmarks,Mexico City,Mexico
