WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3
"1,000+ places sorted by traveler favorites",,,,,,,
"8,181",https://www.tripadvisor.com/Attraction_Review-g304554-d321437-Reviews-Marine_Drive-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/40/ce/df/marine-drive-seen-as.jpg?w=500&h=400&s=1,Marine Drive,1.,https://www.tripadvisor.com/Attraction_Review-g304554-d321437-Reviews-Marine_Drive-Mumbai_Maharashtra.html#REVIEWS,Points of Interest & Landmarks • Scenic Drives,South Mumbai
"9,530",https://www.tripadvisor.com/Attraction_Review-g304554-d2704519-Reviews-Bandra_Worli_Sea_Link-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/12/d3/17/bandra-worli-sea-link.jpg?w=500&h=400&s=1,Bandra-Worli Sea Link,2.,https://www.tripadvisor.com/Attraction_Review-g304554-d2704519-Reviews-Bandra_Worli_Sea_Link-Mumbai_Maharashtra.html#REVIEWS,Bridges,
"12,477",https://www.tripadvisor.com/Attraction_Review-g304554-d311667-Reviews-Gateway_of_India-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/16/f3/a1/fb-img-1474806779807.jpg?w=500&h=400&s=1,Gateway of India,3.,https://www.tripadvisor.com/Attraction_Review-g304554-d311667-Reviews-Gateway_of_India-Mumbai_Maharashtra.html#REVIEWS,Points of Interest & Landmarks • Monuments & Statues,Wellington Pier
"1,238",https://www.tripadvisor.com/Attraction_Review-g304554-d1204502-Reviews-Kanheri_Caves-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d0/df/e1/eingang.jpg?w=500&h=-1&s=1,Kanheri Caves,4.,https://www.tripadvisor.com/Attraction_Review-g304554-d1204502-Reviews-Kanheri_Caves-Mumbai_Maharashtra.html#REVIEWS,Points of Interest & Landmarks • Caverns & Caves,Eastern Suburbs
788,https://www.tripadvisor.com/Attraction_Review-g304554-d2514810-Reviews-Global_Vipassana_Pagoda-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/19/88/12/global-vipassana-pagoda.jpg?w=500&h=400&s=1,Global Vipassana Pagoda,5.,https://www.tripadvisor.com/Attraction_Review-g304554-d2514810-Reviews-Global_Vipassana_Pagoda-Mumbai_Maharashtra.html#REVIEWS,Monuments & Statues,Gorai
"5,593",https://www.tripadvisor.com/Attraction_Review-g304554-d622586-Reviews-Shree_Siddhivinayak-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/00/24/a9/facts1-shree-siddhivinayak.jpg?w=500&h=400&s=1,Shree Siddhivinayak,6.,https://www.tripadvisor.com/Attraction_Review-g304554-d622586-Reviews-Shree_Siddhivinayak-Mumbai_Maharashtra.html#REVIEWS,Religious Sites,South Mumbai
"2,401",https://www.tripadvisor.com/Attraction_Review-g304554-d3783379-Reviews-Nariman_Point-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/e5/10/8b/nariman-point.jpg?w=500&h=-1&s=1,Nariman Point,7.,https://www.tripadvisor.com/Attraction_Review-g304554-d3783379-Reviews-Nariman_Point-Mumbai_Maharashtra.html#REVIEWS,Neighborhoods,South Mumbai
"1,945",https://www.tripadvisor.com/Attraction_Review-g304554-d311664-Reviews-Elephanta_Caves-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/4e/d4/42/cave-2.jpg?w=500&h=-1&s=1,Elephanta Caves,8.,https://www.tripadvisor.com/Attraction_Review-g304554-d311664-Reviews-Elephanta_Caves-Mumbai_Maharashtra.html#REVIEWS,Points of Interest & Landmarks,
"1,778",https://www.tripadvisor.com/Attraction_Review-g304554-d311674-Reviews-Mani_Bhavan_Gandhi_Museum-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/06/55/1e/museu-mani-bhavan-gandhi.jpg?w=500&h=400&s=1,Mani Bhavan Gandhi Museum,9.,https://www.tripadvisor.com/Attraction_Review-g304554-d311674-Reviews-Mani_Bhavan_Gandhi_Museum-Mumbai_Maharashtra.html#REVIEWS,History Museums,South Mumbai
