,Attraction Name,Attraction Type,City,Country
0,,,Muscat,Oman
1,Sultan Qaboos Grand Mosque,Religious Sites,Muscat,Oman
2,Royal Opera House,Architectural Buildings • Theaters,Muscat,Oman
3,Wadi Bani Khalid,Nature & Wildlife Areas,Muscat,Oman
4,Bimmah Sinkhole,Points of Interest & Landmarks • Geologic Formations,Muscat,Oman
5,The National Museum,Art Museums • Children's Museums,Muscat,Oman
6,Wadi Al Arbeieen,Bodies of Water,Muscat,Oman
7,Qurum Beach,Beaches,Muscat,Oman
8,Bait Al Zubair,Speciality Museums,Muscat,Oman
9,Muscat City Centre,Shopping Malls,Muscat,Oman
10,Mohammed Al Ameen Mosque,Points of Interest & Landmarks,Muscat,Oman
11,Amouage Perfumery,Speciality Museums,Muscat,Oman
12,Qantab Beach,Beaches,Muscat,Oman
13,Oman Avenues Mall,Shopping Malls,Muscat,Oman
14,Al Sifah Beach,Beaches,Muscat,Oman
15,Qurum Natural Park,Parks,Muscat,Oman
16,Sultan's Armed Forces Museum,Military Museums,Muscat,Oman
17,Muscat Grand Mall,Shopping Malls,Muscat,Oman
18,Ghalya's Museum of Modern Art,Speciality Museums • Art Museums,Muscat,Oman
19,Yiti,Neighborhoods,Muscat,Oman
20,Mutrah Fish Market,Flea & Street Markets,Muscat,Oman
21,Pebble Beach,Beaches,Muscat,Oman
22,Hajjar Mountains,Mountains,Muscat,Oman
23,Bait Al-Baranda,Speciality Museums,Muscat,Oman
24,Oman Oil and Gas Exhibition Centre,Speciality Museums,Muscat,Oman
25,Natural History Museum,Natural History Museums,Muscat,Oman
26,Oman Aquarium,Aquariums,Muscat,Oman
27,Oman Children's Museum,Children's Museums,Muscat,Oman
28,Mutrah Fort,Historic Sites,Muscat,Oman
29,Panorama Mall,Shopping Malls,Muscat,Oman
30,Qurm City Centre,Shopping Malls,Muscat,Oman
31,,2,Muscat,Oman
32,Royal Opera House,Architectural Buildings • Theaters,Muscat,Oman
33,Wadi Bani Khalid,Nature & Wildlife Areas,Muscat,Oman
34,Bimmah Sinkhole,Points of Interest & Landmarks • Geologic Formations,Muscat,Oman
35,The National Museum,Art Museums • Children's Museums,Muscat,Oman
36,Wadi Al Arbeieen,Bodies of Water,Muscat,Oman
37,Qurum Beach,Beaches,Muscat,Oman
38,Bait Al Zubair,Speciality Museums,Muscat,Oman
39,Muscat City Centre,Shopping Malls,Muscat,Oman
