,Attraction Name,Attraction Type,City,Country
0,,,NewYork,USA
1,The National 9/11 Memorial & Museum,Speciality Museums • Historic Sites,NewYork,USA
2,The Metropolitan Museum of Art,Points of Interest & Landmarks • Art Museums,NewYork,USA
3,Central Park,Points of Interest & Landmarks • Parks,NewYork,USA
4,Empire State Building,Points of Interest & Landmarks • Architectural Buildings,NewYork,USA
5,,,NewYork,USA
6,Top of the Rock,Lookouts • Observation Decks & Towers,NewYork,USA
7,Statue of Liberty,Points of Interest & Landmarks • Monuments & Statues,NewYork,USA
8,Brooklyn Bridge,Bridges,NewYork,USA
9,Manhattan Skyline,Points of Interest & Landmarks,NewYork,USA
10,The High Line,Parks • Scenic Walking Areas,NewYork,USA
11,One World Observatory,Architectural Buildings • Lookouts,NewYork,USA
12,Grand Central Terminal,Points of Interest & Landmarks • Architectural Buildings,NewYork,USA
13,The Met Cloisters,Religious Sites • Art Museums,NewYork,USA
14,Rockefeller Center,Points of Interest & Landmarks • Architectural Buildings,NewYork,USA
15,Radio City Music Hall,Points of Interest & Landmarks • Theaters,NewYork,USA
16,Bryant Park,Parks,NewYork,USA
17,Staten Island Ferry,Ferries,NewYork,USA
18,New York Public Library,Speciality Museums,NewYork,USA
19,"Intrepid Sea, Air & Space Museum",Speciality Museums,NewYork,USA
20,The Oculus,Architectural Buildings • Monuments & Statues,NewYork,USA
21,Ellis Island,Historic Sites • Points of Interest & Landmarks,NewYork,USA
22,St. Patrick's Cathedral,Churches & Cathedrals,NewYork,USA
23,Madison Square Garden,Arenas & Stadiums,NewYork,USA
24,Broadway,Points of Interest & Landmarks,NewYork,USA
25,Times Square,Neighborhoods • Points of Interest & Landmarks,NewYork,USA
26,American Museum of Natural History,Natural History Museums,NewYork,USA
27,Greenwich Village,Neighborhoods,NewYork,USA
28,Chelsea Market,Flea & Street Markets,NewYork,USA
29,The Museum of Modern Art (MoMA),Art Museums,NewYork,USA
30,The Roosevelt Island Tramway,Trams,NewYork,USA
31,Christmas Spectacular Starring the Radio City Rockettes,Cultural Events,NewYork,USA
32,,2,NewYork,USA
33,,2,NewYork,USA
34,Gershwin Theater,Theaters,NewYork,USA
35,Macy's Thanksgiving Day Parade,Cultural Events,NewYork,USA
36,Hudson River Park,Parks,NewYork,USA
37,Lower Manhattan,Neighborhoods,NewYork,USA
38,New Amsterdam Theater,Theaters,NewYork,USA
39,St. Patrick's Old Cathedral,Architectural Buildings • Religious Sites,NewYork,USA
40,Trinity Church,Architectural Buildings • Religious Sites,NewYork,USA
41,Union Square,Neighborhoods • Points of Interest & Landmarks,NewYork,USA
42,GhostBusters Firestation,Points of Interest & Landmarks,NewYork,USA
43,Museum of Ice Cream,Speciality Museums,NewYork,USA
44,Saks Fifth Avenue,Department Stores,NewYork,USA
45,Brookfield Place,Shopping Malls,NewYork,USA
46,Lyric Theatre,Theaters,NewYork,USA
47,Minskoff Theatre,Theaters,NewYork,USA
48,World Trade Center Station (PATH),Architectural Buildings,NewYork,USA
49,Grand Central Market,Points of Interest & Landmarks • Flea & Street Markets,NewYork,USA
50,Union Square Green Market,Flea & Street Markets,NewYork,USA
51,World Trade Center's Liberty Park,Parks,NewYork,USA
52,SeaGlass Carousel,Points of Interest & Landmarks,NewYork,USA
53,Beacon Theatre,Theaters,NewYork,USA
54,"Strawberry Fields, John Lennon Memorial",Parks • Monuments & Statues,NewYork,USA
55,Columbia University,Educational sites,NewYork,USA
56,Upper West Side,Neighborhoods • Points of Interest & Landmarks,NewYork,USA
57,Bloomingdale's,Department Stores,NewYork,USA
58,Madame Tussauds New York,Speciality Museums,NewYork,USA
59,Friends Building,Points of Interest & Landmarks,NewYork,USA
60,Manhattan Bridge,Bridges,NewYork,USA
61,Meatpacking District,Neighborhoods,NewYork,USA
62,Fort Tryon Park,Parks,NewYork,USA
63,Cathedral Church of Saint John the Divine,Religious Sites,NewYork,USA
64,,1,NewYork,USA
65,Gershwin Theater,Theaters,NewYork,USA
66,Macy's Thanksgiving Day Parade,Cultural Events,NewYork,USA
67,Hudson River Park,Parks,NewYork,USA
68,Lower Manhattan,Neighborhoods,NewYork,USA
69,New Amsterdam Theater,Theaters,NewYork,USA
70,,1,NewYork,USA
71,Bethesda Fountain,Fountains,NewYork,USA
72,Conservatory Garden,Gardens,NewYork,USA
73,Broadway Theatre,Theaters,NewYork,USA
74,Winter Garden Theatre,Theaters,NewYork,USA
75,Color Factory,Art Galleries,NewYork,USA
76,Chelsea,Neighborhoods,NewYork,USA
77,Madison Square Park,Points of Interest & Landmarks,NewYork,USA
78,Times Square Church,Churches & Cathedrals,NewYork,USA
79,Rubin Museum of Art,Art Museums,NewYork,USA
80,KGB Espionage Museum,Military Museums • Speciality Museums,NewYork,USA
81,Governors Island National Monument,Historic Sites • Points of Interest & Landmarks,NewYork,USA
82,Jazz at Lincoln Center,Theaters • Civic Centres,NewYork,USA
83,42nd Street,Points of Interest & Landmarks • Historic Walking Areas,NewYork,USA
