,Attraction Name,Attraction Type,City,Country
0,,,Orlando,USA
1,The Wizarding World of Harry Potter,Amusement & Theme Parks,Orlando,USA
2,Universal's Islands of Adventure,Amusement & Theme Parks,Orlando,USA
3,Disney's Animal Kingdom Theme Park,Amusement & Theme Parks • Disney Parks & Activities,Orlando,USA
4,Universal Studios Florida,Amusement & Theme Parks,Orlando,USA
5,Discovery Cove,Amusement & Theme Parks • Water Parks,Orlando,USA
6,Disney Springs,Shopping Malls,Orlando,USA
7,Magic Kingdom Park,Amusement & Theme Parks • Disney Parks & Activities,Orlando,USA
8,Lake Rianhard,Bodies of Water,Orlando,USA
9,Epcot,Amusement & Theme Parks • Disney Parks & Activities,Orlando,USA
10,Fun Spot America,Amusement & Theme Parks,Orlando,USA
11,Corpus Christi Catholic Church,Churches & Cathedrals,Orlando,USA
12,Avatar Flight of Passage,Disney Parks & Activities,Orlando,USA
13,Pandora – The World of Avatar,Disney Parks & Activities,Orlando,USA
14,Disney's Typhoon Lagoon Water Park,Water Parks • Disney Parks & Activities,Orlando,USA
15,SeaWorld,Amusement & Theme Parks,Orlando,USA
16,International Drive,Points of Interest & Landmarks,Orlando,USA
17,Disney’s Blizzard Beach Water Park,Amusement & Theme Parks • Water Parks,Orlando,USA
18,Celebration Farmers Market,Farmers Markets,Orlando,USA
19,Amway Center,Sports Complexes,Orlando,USA
20,Lake Eola Park,Parks,Orlando,USA
21,ICON Park,Amusement & Theme Parks • Points of Interest & Landmarks,Orlando,USA
22,Disney's Boardwalk,Points of Interest & Landmarks • Piers & Boardwalks,Orlando,USA
23,Madame Tussauds Orlando,Speciality Museums,Orlando,USA
24,Disney’s Hollywood Studios,Points of Interest & Landmarks • Disney Parks & Activities,Orlando,USA
25,The Florida Mall,Shopping Malls,Orlando,USA
26,Epcot World Showcase,Rides & Activities,Orlando,USA
27,Harry P. Leu Gardens,Gardens,Orlando,USA
28,The Twilight Zone Tower of Terror,Rides & Activities,Orlando,USA
29,Orlando International Premium Outlets,Factory Outlets,Orlando,USA
30,Soarin',Rides & Activities,Orlando,USA
31,,2,Orlando,USA
32,Kilimanjaro Safaris,Rides & Activities,Orlando,USA
33,SEA LIFE Orlando Aquarium,Aquariums,Orlando,USA
