,Attraction Name,Attraction Type,City,Country
0,,,Rio de Janeiro,Brazil
1,Sugarloaf Mountain,Trams • Mountains,Rio de Janeiro,Brazil
2,Corcovado - Christ the Redeemer,Points of Interest & Landmarks • Monuments & Statues,Rio de Janeiro,Brazil
3,Botanical Garden,Gardens,Rio de Janeiro,Brazil
4,Morro da Urca,Points of Interest & Landmarks • Lookouts,Rio de Janeiro,Brazil
5,Ipanema Beach,Beaches,Rio de Janeiro,Brazil
6,Barra da Tijuca Beach,Beaches,Rio de Janeiro,Brazil
7,Maracanã,Arenas & Stadiums,Rio de Janeiro,Brazil
8,Pedra Bonita,Mountains • Lookouts,Rio de Janeiro,Brazil
9,Museu do Amanha,Science Museums,Rio de Janeiro,Brazil
10,Mirante Dona Marta,Observation Decks & Towers,Rio de Janeiro,Brazil
11,Arpoador beach,Beaches,Rio de Janeiro,Brazil
12,Copacabana Beach,Beaches,Rio de Janeiro,Brazil
13,Parque Lage,Historic Sites • Parks,Rio de Janeiro,Brazil
14,Pedra da Gávea,Mountains,Rio de Janeiro,Brazil
15,Prainha Beach,Beaches,Rio de Janeiro,Brazil
16,Praia de Grumari,Beaches,Rio de Janeiro,Brazil
17,AquaRio,Amusement & Theme Parks • Points of Interest & Landmarks,Rio de Janeiro,Brazil
18,Parque Nacional da Tijuca,National Parks • Forests,Rio de Janeiro,Brazil
19,Morro Dois Irmaos,Parks • Observation Decks & Towers,Rio de Janeiro,Brazil
20,Leblon Beach,Beaches • Lookouts,Rio de Janeiro,Brazil
21,Pedra do Telégrafo,Geologic Formations,Rio de Janeiro,Brazil
22,Real Gabinete Portugues Da Leitura,Libraries,Rio de Janeiro,Brazil
23,Theatro Municipal do Rio de Janeiro,Theaters,Rio de Janeiro,Brazil
24,Escadaria Selarón,Points of Interest & Landmarks,Rio de Janeiro,Brazil
25,Forte de Copacabana,Historic Sites • History Museums,Rio de Janeiro,Brazil
26,Centro Cultural Banco do Brasil - CCBB Rio de Janeiro,Architectural Buildings • Convention Centers,Rio de Janeiro,Brazil
27,Vermelha Beach,Beaches,Rio de Janeiro,Brazil
28,Rodrigo de Freitas Lagoon,Bodies of Water,Rio de Janeiro,Brazil
29,Recreio dos Bandeirantes Beach,Beaches,Rio de Janeiro,Brazil
30,Museu Historico Nacional,History Museums,Rio de Janeiro,Brazil
31,,2,Rio de Janeiro,Brazil
32,Boulevard Olimpico,Points of Interest & Landmarks,Rio de Janeiro,Brazil
