,Attraction Name,Attraction Type,City,Country
0,,,Rome,Itly
1,Pantheon,Ancient Ruins • Architectural Buildings,Rome,Itly
2,Colosseum,Historic Sites • Ancient Ruins,Rome,Itly
3,Roman Forum,Historic Sites • Points of Interest & Landmarks,Rome,Itly
4,Palatine Hill,Historic Sites • Ancient Ruins,Rome,Itly
5,Piazza Navona,Points of Interest & Landmarks • Historic Walking Areas,Rome,Itly
6,Basilica di Santa Maria Maggiore,Historic Sites • Points of Interest & Landmarks,Rome,Itly
7,Trevi Fountain,Points of Interest & Landmarks • Fountains,Rome,Itly
8,Galleria Borghese,Art Museums,Rome,Itly
9,Trastevere,Neighborhoods,Rome,Itly
10,Museo Nazionale di Castel Sant'Angelo,Observation Decks & Towers • Art Museums,Rome,Itly
11,Domus Aurea,Historic Sites • Ancient Ruins,Rome,Itly
12,Musei Capitolini,Art Museums • History Museums,Rome,Itly
13,Villa Borghese,Historic Sites • Points of Interest & Landmarks,Rome,Itly
14,Palazzo Doria Pamphilj,Architectural Buildings • Art Museums,Rome,Itly
15,Centro Storico,Points of Interest & Landmarks • Historic Walking Areas,Rome,Itly
16,Basilica of San Clemente,Churches & Cathedrals,Rome,Itly
17,Museo Nazionale Romano - Palazzo Massimo alle Terme,Art Museums • History Museums,Rome,Itly
18,Arcibasilica di San Giovanni in Laterano,Churches & Cathedrals,Rome,Itly
19,Piazza Venezia,Points of Interest & Landmarks • Historic Walking Areas,Rome,Itly
20,Palazzo Colonna - Galleria Colonna,Speciality Museums • Art Museums,Rome,Itly
21,Monumento a Vittorio Emanuele II,Monuments & Statues,Rome,Itly
22,Terme di Caracalla,Historic Sites • Ancient Ruins,Rome,Itly
23,Piazza del Popolo,Points of Interest & Landmarks,Rome,Itly
24,San Pietro in Vincoli,Churches & Cathedrals,Rome,Itly
25,Santa Maria della Vittoria,Churches & Cathedrals,Rome,Itly
26,Church of St. Louis of the French,Churches & Cathedrals,Rome,Itly
27,Le Domus Romane di Palazzo Valentini,Historic Sites • Architectural Buildings,Rome,Itly
28,Chiesa di Sant'Ignazio di Loyola,Religious Sites • Churches & Cathedrals,Rome,Itly
29,Torre Argentina Cat Sanctuary,Points of Interest & Landmarks,Rome,Itly
30,Piazza di Spagna,Scenic Walking Areas,Rome,Itly
31,,2,Rome,Itly
32,,What are the top attractions to visit in Rome?,Rome,Itly
33,,1,Rome,Itly
34,Fontana dei Quattro Fiumi,Fountains,Rome,Itly
35,Basilica di Sant'Andrea della Valle,Architectural Buildings • Religious Sites,Rome,Itly
36,Roseto Comunale,Gardens,Rome,Itly
37,Largo di Torre Argentina,Historic Sites • Ancient Ruins,Rome,Itly
38,Piazza di Trevi,Points of Interest & Landmarks,Rome,Itly
39,Teatro di Marcello,Historic Sites • Architectural Buildings,Rome,Itly
40,Scala Santa and Chapel of San Lorenzo,Historic Sites • Religious Sites,Rome,Itly
41,Abbazia di San Paolo Fuori Le Mura,Religious Sites • Churches & Cathedrals,Rome,Itly
42,Via Condotti,Points of Interest & Landmarks,Rome,Itly
43,Parco Regionale dell'Appia Antica,Parks,Rome,Itly
44,Terrazza del Pincio,Points of Interest & Landmarks,Rome,Itly
45,Arco di Costantino,Points of Interest & Landmarks • Monuments & Statues,Rome,Itly
46,Monte Pincio,Gardens,Rome,Itly
47,Basilica di Santa Maria in Aracoeli,Religious Sites • Churches & Cathedrals,Rome,Itly
48,Hydromania,Water Parks,Rome,Itly
49,Complesso del Vittoriano,Speciality Museums,Rome,Itly
50,Santa Cecilia in Trastevere,Historic Sites • Religious Sites,Rome,Itly
51,Catacombe San Sebastiano,Historic Sites • Ancient Ruins,Rome,Itly
52,Villa Medici - Accademia di Francia a Roma,Architectural Buildings • Educational sites,Rome,Itly
53,Galleria Spada,Art Museums,Rome,Itly
54,Chiesa di Sant'Agnese in Agone,Churches & Cathedrals,Rome,Itly
55,Rione Monti,Neighborhoods • Points of Interest & Landmarks,Rome,Itly
56,Parco degli Acquedotti,Ancient Ruins • Parks,Rome,Itly
57,National Roman Museum - The Baths of Diocletian,Ancient Ruins • Points of Interest & Landmarks,Rome,Itly
58,Colle Aventino,Mountains • Lookouts,Rome,Itly
59,Stadio di Domiziano - Navona Square Underground,Historic Sites • Ancient Ruins,Rome,Itly
60,Nuovo Mercato di Testaccio,Flea & Street Markets,Rome,Itly
61,Cimitero Acattolico per Stranieri,Cemeteries,Rome,Itly
62,Parco Savello,Lookouts • Parks,Rome,Itly
63,Via dei Fori Imperiali,Points of Interest & Landmarks • Historic Walking Areas,Rome,Itly
64,,1,Rome,Itly
65,Fontana dei Quattro Fiumi,Fountains,Rome,Itly
66,Basilica di Sant'Andrea della Valle,Architectural Buildings • Religious Sites,Rome,Itly
67,Roseto Comunale,Gardens,Rome,Itly
68,Largo di Torre Argentina,Historic Sites • Ancient Ruins,Rome,Itly
69,Piazza di Trevi,Points of Interest & Landmarks,Rome,Itly
70,,1,Rome,Itly
71,Basilica di Santa Croce in Gerusalemme,Religious Sites • Churches & Cathedrals,Rome,Itly
72,Priorato dei Cavalieri di Malta,Points of Interest & Landmarks • Architectural Buildings,Rome,Itly
73,Terrazza del Gianicolo,Lookouts,Rome,Itly
74,Forum of Augustus,Historic Sites • Ancient Ruins,Rome,Itly
75,Colonna Traiana,Points of Interest & Landmarks • Monuments & Statues,Rome,Itly
76,Teatro dell'Opera di Roma,Theaters,Rome,Itly
77,Foro di Cesare,Ancient Ruins,Rome,Itly
78,Stadio Olimpico,Sports Complexes,Rome,Itly
79,National Museum of Palazzo Venezia,Historic Sites • Architectural Buildings,Rome,Itly
80,Il Buco della Serratura,Historic Sites • Lookouts,Rome,Itly
81,Villa Torlonia,Historic Sites • Architectural Buildings,Rome,Itly
82,Casina delle Civette,Speciality Museums,Rome,Itly
83,Scuderie del Quirinale,Art Museums,Rome,Itly
84,Catacombe di Priscilla,Cemeteries,Rome,Itly
85,Centro Commerciale Porta di Roma,Shopping Malls,Rome,Itly
86,Piramide Cestia,Points of Interest & Landmarks,Rome,Itly
87,Piazzale Garibaldi,Points of Interest & Landmarks,Rome,Itly
88,Villa Doria Pamphili,Architectural Buildings • Parks,Rome,Itly
89,Chiesa di Sant’Ivo alla Sapienza,Architectural Buildings • Churches & Cathedrals,Rome,Itly
90,Teatro Salone Margherita,Theaters,Rome,Itly
91,Basilica S. Agostino,Religious Sites • Churches & Cathedrals,Rome,Itly
92,Fontana dell'Acqua Paola,Fountains,Rome,Itly
93,Palazzo Chigi di Ariccia,Historic Sites,Rome,Itly
94,Roma dal Cielo   Terrazza delle Quadrighe,Points of Interest & Landmarks • Historic Walking Areas,Rome,Itly
95,Bioparco di Roma,Nature & Wildlife Areas • Zoos,Rome,Itly
96,San Carlo alle Quattro Fontane,Historic Sites • Religious Sites,Rome,Itly
97,Mercato di Campagna Amica del Circo Massimo,Farmers Markets,Rome,Itly
98,Lindt Store Roma,Other Food & Drink,Rome,Itly
99,Isola Tiberina,Ancient Ruins • Islands,Rome,Itly
100,Piazza di Santa Maria in Trastevere,Points of Interest & Landmarks,Rome,Itly
101,,1,Rome,Itly
102,Galleria Alberto Sordi,Shopping Malls,Rome,Itly
103,Trinità  dei Monti,Points of Interest & Landmarks • Architectural Buildings,Rome,Itly
104,Catacombe di Santa Domitilla,Historic Sites • Cemeteries,Rome,Itly
105,Basilica di Santa Maria in Cosmedin,Churches & Cathedrals,Rome,Itly
106,Chiesa Di San Paolo Entro Le Mura,Churches & Cathedrals,Rome,Itly
107,Piazza del Colosseo,Historic Sites • Points of Interest & Landmarks,Rome,Itly
108,Cinecitta World,Amusement & Theme Parks,Rome,Itly
109,Basilica dei Santi Cosma e Damiano,Religious Sites • Churches & Cathedrals,Rome,Itly
110,Piazza della Repubblica,Points of Interest & Landmarks,Rome,Itly
111,Keats-Shelley House,Historic Sites,Rome,Itly
112,Fontana della Barcaccia,Fountains,Rome,Itly
113,Museo delle Mura,Speciality Museums,Rome,Itly
114,Stazione Roma Termini,Points of Interest & Landmarks • Architectural Buildings,Rome,Itly
115,Parco Natura e Fattoria Didattica Voloalto,Nature & Wildlife Areas,Rome,Itly
116,Museo Leonardo da Vinci - Piazza del Popolo,Speciality Museums • Art Museums,Rome,Itly
117,Via Cola di Rienzo,Points of Interest & Landmarks,Rome,Itly
118,Statua di Giordano Bruno,Monuments & Statues,Rome,Itly
119,Musei di Villa Torlonia,Speciality Museums,Rome,Itly
120,Basilica do Santo Stefano Rotondo,Ancient Ruins • Religious Sites,Rome,Itly
121,I Virtuosi dell'opera di Roma,Operas,Rome,Itly
122,Euroma 2,Shopping Malls,Rome,Itly
123,Villa Ada,Parks,Rome,Itly
