,Attraction Name,Attraction Type,City,Country
0,,,Seoul,South Korea
1,Gyeongbokgung Palace,Historic Sites • History Museums,Seoul,South Korea
2,Bukhansan National Park,National Parks,Seoul,South Korea
3,Myeongdong Shopping Street,Neighborhoods • Points of Interest & Landmarks,Seoul,South Korea
4,Changdeokgung Palace,Historic Sites • Architectural Buildings,Seoul,South Korea
5,The War Memorial of Korea,Military Museums,Seoul,South Korea
6,National Museum of Korea,History Museums,Seoul,South Korea
7,Insadong,Neighborhoods • Points of Interest & Landmarks,Seoul,South Korea
8,Trickeye Museum Seoul,Speciality Museums,Seoul,South Korea
9,Lotte World Tower & Mall,Points of Interest & Landmarks • Observation Decks & Towers,Seoul,South Korea
10,KTX (Korea Train Express),Public Transportation Systems,Seoul,South Korea
11,Seoul Metro,Public Transportation Systems,Seoul,South Korea
12,Hangang Park,Parks,Seoul,South Korea
13,N Seoul Tower,Points of Interest & Landmarks • Lookouts,Seoul,South Korea
14,Namsan Park,Parks • Gardens,Seoul,South Korea
15,Myeongdong NANTA Theater,Theaters,Seoul,South Korea
16,Cheonggyecheon Stream,Bodies of Water • Historic Walking Areas,Seoul,South Korea
17,Jogyesa Temple,Religious Sites • Monuments & Statues,Seoul,South Korea
18,Bongeunsa Temple,Points of Interest & Landmarks • Religious Sites,Seoul,South Korea
19,Haneul Park,Parks,Seoul,South Korea
20,Bukchon Hanok Village,Neighborhoods • Points of Interest & Landmarks,Seoul,South Korea
21,Hongik University Street,Points of Interest & Landmarks,Seoul,South Korea
22,Ewha Womans University,Points of Interest & Landmarks • Universities & Schools,Seoul,South Korea
23,Dongdaemun Design Plaza (DDP),Points of Interest & Landmarks • Architectural Buildings,Seoul,South Korea
24,Starfield Library,Libraries,Seoul,South Korea
25,Kwangjang Market,Points of Interest & Landmarks • Flea & Street Markets,Seoul,South Korea
26,Love Museum,Speciality Museums,Seoul,South Korea
27,Seoul Forest,Parks • Playgrounds,Seoul,South Korea
28,Yeouido Hangang Park,Parks,Seoul,South Korea
29,Leeum Samsung Museum of Art,Art Museums,Seoul,South Korea
30,Seoul Sky,Observation Decks & Towers,Seoul,South Korea
31,,2,Seoul,South Korea
32,Deoksugung,Historic Sites • Points of Interest & Landmarks,Seoul,South Korea
