WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3
"2,000+ places sorted by traveler favorites",,,,,,,
"19,492",https://www.tripadvisor.com/Attraction_Review-g308272-d311595-Reviews-The_Bund_Wai_Tan-Shanghai.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/ad/40/eb/beautiful-night-scene.jpg?w=500&h=400&s=1,The Bund (Wai Tan),1.,https://www.tripadvisor.com/Attraction_Review-g308272-d311595-Reviews-The_Bund_Wai_Tan-Shanghai.html#REVIEWS,Points of Interest & Landmarks • Historic Walking Areas,Huangpu
"1,924",https://www.tripadvisor.com/Attraction_Review-g308272-d9814601-Reviews-Shanghai_Tower-Shanghai.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/04/4a/7e/top-of-shanghai.jpg?w=500&h=400&s=1,Shanghai Tower,2.,https://www.tripadvisor.com/Attraction_Review-g308272-d9814601-Reviews-Shanghai_Tower-Shanghai.html#REVIEWS,Observation Decks & Towers,Pudong
"6,601",https://www.tripadvisor.com/Attraction_Review-g308272-d311602-Reviews-Oriental_Pearl_Tower_Dongfang_Mingzhu-Shanghai.html,https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/14/e4/a0/64/caption.jpg?w=500&h=400&s=1,Oriental Pearl Tower (Dongfang Mingzhu),3.,https://www.tripadvisor.com/Attraction_Review-g308272-d311602-Reviews-Oriental_Pearl_Tower_Dongfang_Mingzhu-Shanghai.html#REVIEWS,Points of Interest & Landmarks • Architectural Buildings,Pudong
"10,569",https://www.tripadvisor.com/Attraction_Review-g308272-d324259-Reviews-Yu_Garden_Yuyuan-Shanghai.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ec/c6/f6/yu-gardens.jpg?w=500&h=400&s=1,Yu Garden (Yuyuan),4.,https://www.tripadvisor.com/Attraction_Review-g308272-d324259-Reviews-Yu_Garden_Yuyuan-Shanghai.html#REVIEWS,Gardens,Xiaodongmen
"3,964",https://www.tripadvisor.com/Attraction_Review-g308272-d1143615-Reviews-Former_French_Concession-Shanghai.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/4c/76/c6/photo0jpg.jpg?w=500&h=-1&s=1,Former French Concession,5.,https://www.tripadvisor.com/Attraction_Review-g308272-d1143615-Reviews-Former_French_Concession-Shanghai.html#REVIEWS,Historic Walking Areas,Huangpu
"4,339",https://www.tripadvisor.com/Attraction_Review-g308272-d1196260-Reviews-Shanghai_World_Financial_Center-Shanghai.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/70/01/c8/632.jpg?w=500&h=400&s=1,Shanghai World Financial Center,6.,https://www.tripadvisor.com/Attraction_Review-g308272-d1196260-Reviews-Shanghai_World_Financial_Center-Shanghai.html#REVIEWS,Observation Decks & Towers,Pudong
"2,101",https://www.tripadvisor.com/Attraction_Review-g308272-d1793303-Reviews-Huangpu_River-Shanghai.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/3d/b1/19/post-28968-0-77080400.jpg?w=500&h=-1&s=1,Huangpu River,7.,https://www.tripadvisor.com/Attraction_Review-g308272-d1793303-Reviews-Huangpu_River-Shanghai.html#REVIEWS,Bodies of Water,Pudong
"1,291",https://www.tripadvisor.com/Attraction_Review-g308272-d1927351-Reviews-South_Bund_Soft_Spinning_Material_Market-Shanghai.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/5e/9e/ad/ta-img-20181114-120248.jpg?w=500&h=-1&s=1,South Bund Soft Spinning Material Market,8.,https://www.tripadvisor.com/Attraction_Review-g308272-d1927351-Reviews-South_Bund_Soft_Spinning_Material_Market-Shanghai.html#REVIEWS,Shopping Malls,Huangpu
"4,846",https://www.tripadvisor.com/Attraction_Review-g308272-d311592-Reviews-Shanghai_Museum_Shanghai_Bowuguan-Shanghai.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/42/fd/e6/shanghai-museum-shanghai.jpg?w=500&h=-1&s=1,Shanghai Museum (Shanghai Bowuguan),9.,https://www.tripadvisor.com/Attraction_Review-g308272-d311592-Reviews-Shanghai_Museum_Shanghai_Bowuguan-Shanghai.html#REVIEWS,Speciality Museums,People’s Square
