,Attraction Name,Attraction Type,City,Country
0,,,Shanghai,China
1,The Bund (Wai Tan),Points of Interest & Landmarks • Historic Walking Areas,Shanghai,China
2,Shanghai Tower,Observation Decks & Towers,Shanghai,China
3,Oriental Pearl Tower (Dongfang Mingzhu),Points of Interest & Landmarks • Architectural Buildings,Shanghai,China
4,Yu Garden (Yuyuan),Gardens,Shanghai,China
5,Former French Concession,Historic Walking Areas,Shanghai,China
6,Shanghai World Financial Center,Observation Decks & Towers,Shanghai,China
7,Huangpu River,Bodies of Water,Shanghai,China
8,South Bund Soft Spinning Material Market,Shopping Malls,Shanghai,China
9,Shanghai Museum (Shanghai Bowuguan),Speciality Museums,Shanghai,China
10,Jade Buddha Temple,Architectural Buildings • Religious Sites,Shanghai,China
11,Pudong New Area,Neighborhoods,Shanghai,China
12,Zhujiajiao Ancient Town,Historic Sites • Neighborhoods,Shanghai,China
13,Jin Mao Tower,Points of Interest & Landmarks • Architectural Buildings,Shanghai,China
14,Shanghai Jewish Refugees Museum,Speciality Museums,Shanghai,China
15,Old Town (Nanshi),Neighborhoods,Shanghai,China
16,Longhua Temple,Religious Sites,Shanghai,China
17,Shanghai Urban Planning Exhibition Hall,Speciality Museums,Shanghai,China
18,Shanghai Propaganda Poster Art Centre,Art Galleries • Speciality Museums,Shanghai,China
19,Nanjing Lu (Nanjing Road),Points of Interest & Landmarks,Shanghai,China
20,Xintiandi,Neighborhoods • Points of Interest & Landmarks,Shanghai,China
21,Jing'an Temple,Historic Sites • Religious Sites,Shanghai,China
22,Shanghai International Glasses Mall,Shopping Malls,Shanghai,China
23,Shanghai Natural History Museum (Jing'an),Natural History Museums,Shanghai,China
24,A.P. Plaza Yinyang Market,Flea & Street Markets,Shanghai,China
25,Century Park,Parks,Shanghai,China
26,M50 Creative Park,Civic Centres • Art Museums,Shanghai,China
27,Riverside Promenade (Bingjiang Da Dao),Scenic Walking Areas,Shanghai,China
28,Yuyuan Old Street,Points of Interest & Landmarks • Flea & Street Markets,Shanghai,China
29,Shanghai IFC Mall,Shopping Malls,Shanghai,China
30,Iapm Shopping Mall,Shopping Malls,Shanghai,China
31,,2,Shanghai,China
32,Shanghai Acrobatic Troupe Performance,Theaters,Shanghai,China
33,People's Square (Renmin Guang Chang),Architectural Buildings,Shanghai,China
34,Shanghai Circuit,Auto Racing Tracks,Shanghai,China
35,Shanghai Development Exhibition Hall,History Museums,Shanghai,China
36,Fuxing Park,Parks,Shanghai,China
37,Shanghai New International Expo Centre (SNIEC),Convention Centers,Shanghai,China
38,Bund International Architecture Exhibition,Points of Interest & Landmarks,Shanghai,China
39,Shanghai Confucian Temple,Religious Sites,Shanghai,China
40,Shanghai Botanical Garden,Parks • Gardens,Shanghai,China
41,Heping Fandian,Points of Interest & Landmarks • Architectural Buildings,Shanghai,China
42,Shanghai World Financial Center Observatory,Observation Decks & Towers,Shanghai,China
43,Taikang Road,Neighborhoods,Shanghai,China
44,Nanxiang Old Street,Historic Sites,Shanghai,China
45,Shanghai Former Provisional Government Site of the Republic of Korea,Historic Sites,Shanghai,China
46,Shanghai Auto Museum,Speciality Museums,Shanghai,China
47,Jing'an Sculputure Park,Parks,Shanghai,China
48,Sinan Mansions,Speciality Museums,Shanghai,China
49,Shanghai Muslim Food Market,Flea & Street Markets,Shanghai,China
50,Shanghai History Museum,History Museums,Shanghai,China
51,Shanghai Disneyland,Amusement & Theme Parks • Disney Parks & Activities,Shanghai,China
52,Shanghai Zhongshan Park,Parks,Shanghai,China
53,Aurora Museum,Speciality Museums,Shanghai,China
54,Carrefour (Zhongshan Park),Department Stores,Shanghai,China
55,Kerry Parkside Mall,Shopping Malls,Shanghai,China
56,F1 - Chinese Grand Prix,Sporting Events,Shanghai,China
57,Shanghai Maglev Museum,Speciality Museums,Shanghai,China
58,Birthplace of Chinese Communist Party,Speciality Museums,Shanghai,China
59,Xujiahui Catholic Church,Religious Sites,Shanghai,China
60,Fengjing Ancient Town,Historic Sites • Ancient Ruins,Shanghai,China
61,Zhongshan Road,Neighborhoods • Points of Interest & Landmarks,Shanghai,China
62,,1,Shanghai,China
63,The Bund City Sculptures,Points of Interest & Landmarks • Monuments & Statues,Shanghai,China
64,Gongqing Forest Park,Bodies of Water • Parks,Shanghai,China
65,Guilin Park,Parks,Shanghai,China
66,Shanghai New World Daimaru,Department Stores • Shopping Malls,Shanghai,China
67,Guyi Garden,Bodies of Water • Parks,Shanghai,China
68,Shanghai Museum of Glass Park,Speciality Museums,Shanghai,China
69,Dream cloud nine Shopping Mall (changning),Shopping Malls,Shanghai,China
70,Raffles Square,Shopping Malls,Shanghai,China
