,Attraction Name,Attraction Type,City,Country
0,,,Singapore,Singapore
1,Gardens by the Bay,Points of Interest & Landmarks • Gardens,Singapore,Singapore
2,Singapore Botanic Gardens,Parks • Gardens,Singapore,Singapore
3,Singapore Zoo,Zoos,Singapore,Singapore
4,National Orchid Garden,Gardens,Singapore,Singapore
5,Cloud Forest,Points of Interest & Landmarks • Parks,Singapore,Singapore
6,Sands Skypark Observation Deck,Points of Interest & Landmarks • Observation Decks & Towers,Singapore,Singapore
7,Singapore Mass Rapid Transit  (SMRT),Public Transportation Systems,Singapore,Singapore
8,Singapore Flyer,Points of Interest & Landmarks • Observation Decks & Towers,Singapore,Singapore
9,Jurong Bird Park,Nature & Wildlife Areas,Singapore,Singapore
10,Supertree Grove,Points of Interest & Landmarks • Observatories & Planetariums,Singapore,Singapore
11,Jewel Changi Airport,Shopping Malls,Singapore,Singapore
12,Singapore Cable Car,Trams • Lookouts,Singapore,Singapore
13,National Museum of Singapore,Speciality Museums,Singapore,Singapore
14,Flower Dome,Points of Interest & Landmarks • Parks,Singapore,Singapore
15,Chinatown,Neighborhoods,Singapore,Singapore
16,MacRitchie Nature Trail,Nature & Wildlife Areas,Singapore,Singapore
17,Buddha Tooth Relic Temple and Museum,Speciality Museums • Religious Sites,Singapore,Singapore
18,Marina Bay,Marinas • Bodies of Water,Singapore,Singapore
19,Merlion Park,Monuments & Statues,Singapore,Singapore
20,Orchard Road,Points of Interest & Landmarks,Singapore,Singapore
21,Clarke Quay,Shopping Malls,Singapore,Singapore
22,Haji Lane,Neighborhoods,Singapore,Singapore
23,River Wonders,Zoos,Singapore,Singapore
24,Battlebox,Military Museums • Historic Sites,Singapore,Singapore
25,Maxwell Food Centre,Flea & Street Markets,Singapore,Singapore
26,OCBC Skyway,Scenic Walking Areas,Singapore,Singapore
27,National Gallery Singapore,Architectural Buildings • Art Museums,Singapore,Singapore
28,Asian Civilisations Museum,History Museums,Singapore,Singapore
29,The Southern Ridges,Hiking Trails • Scenic Walking Areas,Singapore,Singapore
30,East Coast Park,Beaches • Parks,Singapore,Singapore
31,,2,Singapore,Singapore
32,,1,Singapore,Singapore
33,Little India,Neighborhoods,Singapore,Singapore
34,Night Safari,Nature & Wildlife Areas • Zoos,Singapore,Singapore
35,Sultan Mosque,Points of Interest & Landmarks • Religious Sites,Singapore,Singapore
36,The Intan,Speciality Museums,Singapore,Singapore
37,Mount Faber,Nature & Wildlife Areas,Singapore,Singapore
38,Mustafa Centre,Shopping Malls,Singapore,Singapore
39,ION Orchard,Observatories & Planetariums • Shopping Malls,Singapore,Singapore
40,National Library of Singapore,Libraries,Singapore,Singapore
41,Katong District,Neighborhoods,Singapore,Singapore
42,Takashimaya Singapore,,Singapore,Singapore
43,Parkview Square,Architectural Buildings,Singapore,Singapore
44,National Stadium,Arenas & Stadiums,Singapore,Singapore
45,Kuan Yin Thong Hood Cho Temple,Religious Sites,Singapore,Singapore
46,Singapore River,Bodies of Water,Singapore,Singapore
47,Kranji War Memorial,Cemeteries,Singapore,Singapore
48,Emerald Hill,Historic Sites • Neighborhoods,Singapore,Singapore
49,DFS Singapore Changi Airport,Airport Shops,Singapore,Singapore
50,Lee Kong Chian Natural History Museum,Natural History Museums,Singapore,Singapore
51,Plaza Singapura,Shopping Malls,Singapore,Singapore
52,Sri Veeramakaliamman Temple,Religious Sites,Singapore,Singapore
53,Singapore Visitor Centre @orchardgateway,Visitor Centers,Singapore,Singapore
54,Faber Peak,Hiking Trails • Scenic Walking Areas,Singapore,Singapore
55,Sunflower Garden,Gardens,Singapore,Singapore
56,City Square Mall,Shopping Malls,Singapore,Singapore
57,Labrador Nature Reserve,Nature & Wildlife Areas,Singapore,Singapore
