,Attraction Name,Attraction Type,City,Country
0,,,Sydney,Australia
1,Sydney Opera House,Points of Interest & Landmarks • Architectural Buildings,Sydney,Australia
2,Sydney Harbour Bridge,Bridges,Sydney,Australia
3,Royal Botanic Garden Sydney,Gardens,Sydney,Australia
4,Street Art of Newtown,Points of Interest & Landmarks,Sydney,Australia
5,Drummoyne Oval,Arenas & Stadiums,Sydney,Australia
6,Marrickville Organic Food and Farmers Markets,Flea & Street Markets,Sydney,Australia
7,Sydney Harbour,Bodies of Water,Sydney,Australia
8,Sauce Brewing Co,Breweries,Sydney,Australia
9,Cockatoo Island,Islands,Sydney,Australia
10,Birkenhead Point Brand Outlet,Factory Outlets,Sydney,Australia
11,Batch Brewing Co.,Breweries,Sydney,Australia
12,Vaucluse House,Historic Sites,Sydney,Australia
13,Elkington Park,Parks,Sydney,Australia
14,NPWS South Head Heritage Trail,Hiking Trails,Sydney,Australia
15,Manly Beach,Beaches,Sydney,Australia
16,Enmore Theatre,Theaters,Sydney,Australia
17,The Bay Run,Scenic Walking Areas,Sydney,Australia
18,Drummoyne Swimming Centre,Sports Complexes,Sydney,Australia
19,Nielsen Park,Parks,Sydney,Australia
20,Murray Rose Pool,Beaches,Sydney,Australia
21,Darling Harbour,Neighborhoods,Sydney,Australia
22,Sydney Ferries,Ferries,Sydney,Australia
23,Stockade Brew Co Barrel Room,Breweries,Sydney,Australia
24,Hornby Lighthouse,Lighthouses,Sydney,Australia
25,I Have a Dream Mural,Points of Interest & Landmarks,Sydney,Australia
26,Birchgrove Park,Parks,Sydney,Australia
27,Camperdown Cemetery,Cemeteries,Sydney,Australia
28,Sydney Bus Museum,Speciality Museums,Sydney,Australia
29,Tom Uren Walking Trail,Points of Interest & Landmarks,Sydney,Australia
30,Chinese Garden of Friendship,Historic Sites • Gardens,Sydney,Australia
31,,2,Sydney,Australia
32,Parsley Bay Reserve,Bodies of Water • Beaches,Sydney,Australia
33,The Rocks,Neighborhoods • Historic Walking Areas,Sydney,Australia
34,Sydney Park,Parks,Sydney,Australia
35,The Factory Theatre,Theaters,Sydney,Australia
36,Queen Victoria Building (QVB),Points of Interest & Landmarks • Architectural Buildings,Sydney,Australia
37,Callan Park,Parks,Sydney,Australia
38,Federation Cliff Walk,Scenic Walking Areas,Sydney,Australia
39,New Theatre,Theaters,Sydney,Australia
40,Macquarie Lighthouse,Points of Interest & Landmarks • Lighthouses,Sydney,Australia
41,Rhodes Waterside,Shopping Malls,Sydney,Australia
42,Bondi Beach,Beaches,Sydney,Australia
43,Marrickville Town Hall,Civic Centres,Sydney,Australia
44,Rozelle Collectors Market,Flea & Street Markets,Sydney,Australia
45,Oxford Street,Points of Interest & Landmarks,Sydney,Australia
46,Australian National Maritime Museum,Speciality Museums,Sydney,Australia
47,Watsons Bay,Beach & Pool Clubs,Sydney,Australia
48,Circular Quay,Piers & Boardwalks,Sydney,Australia
49,Wayward Brewing Co.,Breweries,Sydney,Australia
50,Shark Beach,Beaches,Sydney,Australia
51,Marrickville War Memorial,Points of Interest & Landmarks • Monuments & Statues,Sydney,Australia
52,Poor Toms Gin Hall,Distilleries,Sydney,Australia
53,Akasha Brewing Company,Breweries,Sydney,Australia
54,Hawthorne Canal Reserve,Nature & Wildlife Areas,Sydney,Australia
55,Wildflower Brewing & Blending,Breweries,Sydney,Australia
56,Art Gallery of New South Wales,Art Museums,Sydney,Australia
57,Depot Theatre,Theaters,Sydney,Australia
58,Bloodworth Bellamy,Antique Shops,Sydney,Australia
59,Art Gallery On Darling,Art Galleries,Sydney,Australia
60,Gladstone Park,Parks,Sydney,Australia
61,The Opera House to the Botanic Gardens Walk,Scenic Walking Areas,Sydney,Australia
62,,1,Sydney,Australia
63,Powerhouse Museum,Science Museums,Sydney,Australia
64,Balmain Market,Flea & Street Markets,Sydney,Australia
65,Willie the Boatman,Breweries,Sydney,Australia
66,Steyne Park,Parks,Sydney,Australia
67,Pioneers Memorial Park,Points of Interest & Landmarks,Sydney,Australia
68,Pylon Lookout at Sydney Harbour Bridge,Lookouts • Observation Decks & Towers,Sydney,Australia
69,St. Mary's Cathedral,Historic Sites • Churches & Cathedrals,Sydney,Australia
70,The Rock Nature Reserve,Nature & Wildlife Areas,Sydney,Australia
71,Victoria Barracks,Military Museums • Historic Sites,Sydney,Australia
72,Olympia Milk Bar,Historic Sites • Architectural Buildings,Sydney,Australia
73,Coogee Beach,Beaches,Sydney,Australia
74,Strickland House,Historic Sites,Sydney,Australia
75,First Fleet Park,Historic Sites,Sydney,Australia
76,Norries Head,Beaches,Sydney,Australia
77,St Thomas Becket Church,Churches & Cathedrals,Sydney,Australia
78,Harry's Cafe de Wheels - Tempe,Points of Interest & Landmarks,Sydney,Australia
79,Robertson Park,Parks,Sydney,Australia
80,Ballast Point Park,Parks,Sydney,Australia
81,Kutti Beach,Beaches,Sydney,Australia
82,Nirwana Beauty & Spa,Sports Camps & Clinics,Sydney,Australia
83,Manly Scenic Walkway,Hiking Trails,Sydney,Australia
84,Green Point Reserve National Park,Nature & Wildlife Areas • Parks,Sydney,Australia
85,.M Contemporary,Art Galleries,Sydney,Australia
86,The Rocks Markets,Flea & Street Markets • Farmers Markets,Sydney,Australia
87,Johnstons Lookout,Lookouts,Sydney,Australia
88,Gibsons Beach,Beaches,Sydney,Australia
89,Juniper Hall,Art Galleries • Historic Sites,Sydney,Australia
90,"MarketPlace, Leichhardt",Shopping Malls,Sydney,Australia
91,The Italian Forum,Shopping Malls,Sydney,Australia
92,Constellation Playground,Playgrounds,Sydney,Australia
93,,1,Sydney,Australia
94,Hyde Park Barracks,Speciality Museums • Points of Interest & Landmarks,Sydney,Australia
95,Mrs Macquarie's Chair,Geologic Formations,Sydney,Australia
96,Madame Tussauds Sydney,Speciality Museums,Sydney,Australia
97,Vivid Sydney,Cultural Events,Sydney,Australia
98,Leichhardt Oval,Arenas & Stadiums,Sydney,Australia
99,Gap Park,Geologic Formations,Sydney,Australia
