,Attraction Name,Attraction Type,City,Country
0,,,Tokyo,Japan
1,Meiji Jingu Shrine,Points of Interest & Landmarks,Tokyo,Japan
2,Shinjuku Gyoen National Garden,Gardens,Tokyo,Japan
3,Yomiuri Land,Amusement & Theme Parks • Water Parks,Tokyo,Japan
4,Asakusa,Neighborhoods,Tokyo,Japan
5,Edo-Tokyo Museum,History Museums,Tokyo,Japan
6,Ueno Park,Parks,Tokyo,Japan
7,Tokyo National Museum,Points of Interest & Landmarks • Art Museums,Tokyo,Japan
8,Ginza,Neighborhoods,Tokyo,Japan
9,Samurai Museum,Speciality Museums,Tokyo,Japan
10,Senso-ji Temple,Religious Sites,Tokyo,Japan
11,Tokyo Skytree,Points of Interest & Landmarks • Architectural Buildings,Tokyo,Japan
12,Odaiba District,Neighborhoods,Tokyo,Japan
13,Mori Art Museum,Art Museums,Tokyo,Japan
14,Tokyo Tower,Points of Interest & Landmarks • Architectural Buildings,Tokyo,Japan
15,Tokyo Metropolitan Government Buildings,Points of Interest & Landmarks • Observation Decks & Towers,Tokyo,Japan
16,Hama Rikyu Gardens,Parks • Gardens,Tokyo,Japan
17,Tokyo Central Railway Station,Historic Sites • Points of Interest & Landmarks,Tokyo,Japan
18,Chidorigafuchi,Points of Interest & Landmarks,Tokyo,Japan
19,"The National Art Center, Tokyo",Art Museums,Tokyo,Japan
20,teamLab Borderless,Art Galleries • Speciality Museums,Tokyo,Japan
21,Tokyo City View Observation Deck (Roppongihills),Observation Decks & Towers,Tokyo,Japan
22,Nezu Shrine,Historic Sites • Points of Interest & Landmarks,Tokyo,Japan
23,Nezu Museum,Art Museums,Tokyo,Japan
24,Akihabara,Neighborhoods,Tokyo,Japan
25,National Museum of Nature and Science,Science Museums,Tokyo,Japan
26,Yasukuni Shrine,Historic Sites • Religious Sites,Tokyo,Japan
27,Shibuya Crossing,Points of Interest & Landmarks,Tokyo,Japan
28,Rikugien Garden,Parks • Gardens,Tokyo,Japan
29,Ryogoku Kokugikan,Arenas & Stadiums,Tokyo,Japan
30,Akasaka Palace (State Guesthouse),Points of Interest & Landmarks • Architectural Buildings,Tokyo,Japan
31,,2,Tokyo,Japan
32,Kabukiza Theater,Theaters,Tokyo,Japan
33,Ueno District,Neighborhoods,Tokyo,Japan
34,National Museum of Western Art,Art Museums,Tokyo,Japan
35,The East Gardens of the Imperial Palace (Edo Castle Ruin),Historic Sites • Castles,Tokyo,Japan
