WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3
"2,000+ places sorted by traveler favorites",,,,,,,
"20,386",https://www.tripadvisor.com/Attraction_Review-g155019-d5031404-Reviews-Ripley_s_Aquarium_of_Canada-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/0b/ca/d9/beautiful-coral.jpg?w=500&h=400&s=1,Ripley's Aquarium of Canada,1.,https://www.tripadvisor.com/Attraction_Review-g155019-d5031404-Reviews-Ripley_s_Aquarium_of_Canada-Toronto_Ontario.html#REVIEWS,Aquariums,CityPlace
"8,464",https://www.tripadvisor.com/Attraction_Review-g155019-d185115-Reviews-Toronto_Island_Park-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/9f/cb/a0/toronto-island-parks.jpg?w=500&h=-1&s=1,Toronto Island Park,2.,https://www.tripadvisor.com/Attraction_Review-g155019-d185115-Reviews-Toronto_Island_Park-Toronto_Ontario.html#REVIEWS,Islands • Parks,Old Toronto
"25,055",https://www.tripadvisor.com/Attraction_Review-g155019-d155483-Reviews-CN_Tower-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/daodao/photo-o/10/9d/ed/bb/caption.jpg?w=500&h=400&s=1,CN Tower,3.,https://www.tripadvisor.com/Attraction_Review-g155019-d155483-Reviews-CN_Tower-Toronto_Ontario.html#REVIEWS,Points of Interest & Landmarks • Architectural Buildings,CityPlace
"13,878",https://www.tripadvisor.com/Attraction_Review-g155019-d185112-Reviews-St_Lawrence_Market-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/55/de/c5/outside-shot-of-st-lawrence.jpg?w=500&h=-1&s=1,St. Lawrence Market,4.,https://www.tripadvisor.com/Attraction_Review-g155019-d185112-Reviews-St_Lawrence_Market-Toronto_Ontario.html#REVIEWS,Flea & Street Markets,Waterfront Communities-The Island
"8,301",https://www.tripadvisor.com/Attraction_Review-g155019-d155481-Reviews-Royal_Ontario_Museum-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/9e/f6/80/royal-ontario-museum.jpg?w=500&h=400&s=1,Royal Ontario Museum,5.,https://www.tripadvisor.com/Attraction_Review-g155019-d155481-Reviews-Royal_Ontario_Museum-Toronto_Ontario.html#REVIEWS,Speciality Museums,Downtown
"4,061",https://www.tripadvisor.com/Attraction_Review-g155019-d155501-Reviews-Hockey_Hall_of_Fame-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/24/85/ed/caption.jpg?w=500&h=400&s=1,Hockey Hall of Fame,6.,https://www.tripadvisor.com/Attraction_Review-g155019-d155501-Reviews-Hockey_Hall_of_Fame-Toronto_Ontario.html#REVIEWS,Speciality Museums,Financial District
"4,273",https://www.tripadvisor.com/Attraction_Review-g155019-d187000-Reviews-Art_Gallery_of_Ontario-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/33/2a/71/fb-img-1551884149578.jpg?w=500&h=400&s=1,Art Gallery of Ontario,7.,https://www.tripadvisor.com/Attraction_Review-g155019-d187000-Reviews-Art_Gallery_of_Ontario-Toronto_Ontario.html#REVIEWS,Art Museums,Downtown
"8,208",https://www.tripadvisor.com/Attraction_Review-g155019-d533212-Reviews-Distillery_Historic_District-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/1a/90/dc/entrada.jpg?w=500&h=-1&s=1,Distillery Historic District,8.,https://www.tripadvisor.com/Attraction_Review-g155019-d533212-Reviews-Distillery_Historic_District-Toronto_Ontario.html#REVIEWS,Neighborhoods • Historic Walking Areas,Downtown
"7,594",https://www.tripadvisor.com/Attraction_Review-g155019-d186168-Reviews-Casa_Loma-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/3a/0a/7b/casa-loma-gardens.jpg?w=500&h=-1&s=1,Casa Loma,9.,https://www.tripadvisor.com/Attraction_Review-g155019-d186168-Reviews-Casa_Loma-Toronto_Ontario.html#REVIEWS,Speciality Museums • Historic Sites,South Hill
"2,273",https://www.tripadvisor.com/Attraction_Review-g155019-d155496-Reviews-High_Park-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/7d/1f/23/high-park.jpg?w=500&h=-1&s=1,High Park,10.,https://www.tripadvisor.com/Attraction_Review-g155019-d155496-Reviews-High_Park-Toronto_Ontario.html#REVIEWS,Parks,High Park-Swansea
"3,521",https://www.tripadvisor.com/Attraction_Review-g155019-d1456519-Reviews-Steam_Whistle_Brewery-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/07/5b/71/photo6jpg.jpg?w=500&h=-1&s=1,Steam Whistle Brewery,11.,https://www.tripadvisor.com/Attraction_Review-g155019-d1456519-Reviews-Steam_Whistle_Brewery-Toronto_Ontario.html#REVIEWS,Breweries,CityPlace
"3,922",https://www.tripadvisor.com/Attraction_Review-g155019-d156878-Reviews-Rogers_Centre-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/5a/b8/cd/blue-jays-game-at-the.jpg?w=500&h=400&s=1,Rogers Centre,12.,https://www.tripadvisor.com/Attraction_Review-g155019-d156878-Reviews-Rogers_Centre-Toronto_Ontario.html#REVIEWS,Sports Complexes • Arenas & Stadiums,CityPlace
"3,398",https://www.tripadvisor.com/Attraction_Review-g155019-d1863032-Reviews-CF_Toronto_Eaton_Centre-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/f0/09/01/cf-toronto-eaton-centre.jpg?w=500&h=400&s=1,CF Toronto Eaton Centre,13.,https://www.tripadvisor.com/Attraction_Review-g155019-d1863032-Reviews-CF_Toronto_Eaton_Centre-Toronto_Ontario.html#REVIEWS,Shopping Malls,Downtown
"1,329",https://www.tripadvisor.com/Attraction_Review-g155019-d187017-Reviews-Bata_Shoe_Museum-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/f3/6d/a7/photo1jpg.jpg?w=500&h=-1&s=1,Bata Shoe Museum,14.,https://www.tripadvisor.com/Attraction_Review-g155019-d187017-Reviews-Bata_Shoe_Museum-Toronto_Ontario.html#REVIEWS,Speciality Museums,Downtown
697,https://www.tripadvisor.com/Attraction_Review-g155019-d185075-Reviews-Edwards_Gardens-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/fe/28/4a/edwards-gardens.jpg?w=500&h=400&s=1,Edwards Gardens,15.,https://www.tripadvisor.com/Attraction_Review-g155019-d185075-Reviews-Edwards_Gardens-Toronto_Ontario.html#REVIEWS,Gardens,Banbury-Don Mills
"1,568",https://www.tripadvisor.com/Attraction_Review-g155019-d556727-Reviews-Ed_Mirvish_Theatre-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/05/01/54/salon-con-la-gran-cupula.jpg?w=500&h=-1&s=1,Ed Mirvish Theatre,16.,https://www.tripadvisor.com/Attraction_Review-g155019-d556727-Reviews-Ed_Mirvish_Theatre-Toronto_Ontario.html#REVIEWS,Theaters,Downtown
