,Attraction Name,Attraction Type,City,Country
0,,,Toronto,Canada
1,Ripley's Aquarium of Canada,Aquariums,Toronto,Canada
2,Toronto Island Park,Islands • Parks,Toronto,Canada
3,CN Tower,Points of Interest & Landmarks • Architectural Buildings,Toronto,Canada
4,St. Lawrence Market,Flea & Street Markets,Toronto,Canada
5,Royal Ontario Museum,Speciality Museums,Toronto,Canada
6,Hockey Hall of Fame,Speciality Museums,Toronto,Canada
7,Art Gallery of Ontario,Art Museums,Toronto,Canada
8,Distillery Historic District,Neighborhoods • Historic Walking Areas,Toronto,Canada
9,Casa Loma,Speciality Museums • Historic Sites,Toronto,Canada
10,High Park,Parks,Toronto,Canada
11,Steam Whistle Brewery,Breweries,Toronto,Canada
12,Rogers Centre,Sports Complexes • Arenas & Stadiums,Toronto,Canada
13,CF Toronto Eaton Centre,Shopping Malls,Toronto,Canada
14,Bata Shoe Museum,Speciality Museums,Toronto,Canada
15,Edwards Gardens,Gardens,Toronto,Canada
16,Ed Mirvish Theatre,Theaters,Toronto,Canada
17,Royal Alexandra Theatre,Theaters,Toronto,Canada
18,Allan Gardens Conservatory,Gardens,Toronto,Canada
19,Scarborough Bluffs,Lookouts,Toronto,Canada
20,University of Toronto,Educational sites,Toronto,Canada
21,Toronto Islands Ferries,Ferries,Toronto,Canada
22,Aga Khan Museum,Speciality Museums,Toronto,Canada
23,Princess of Wales Theatre,Theaters,Toronto,Canada
24,Queen Street,Points of Interest & Landmarks • Historic Walking Areas,Toronto,Canada
25,Harbourfront Centre,Points of Interest & Landmarks,Toronto,Canada
26,Kensington Market,Neighborhoods,Toronto,Canada
27,Toronto Zoo,Zoos,Toronto,Canada
28,Toronto Public Library,Architectural Buildings • Libraries,Toronto,Canada
29,The Elgin & Winter Garden Theatre Centre,Historic Sites • Theaters,Toronto,Canada
30,Scotiabank Arena,Arenas & Stadiums,Toronto,Canada
31,,2,Toronto,Canada
32,Toronto City Hall,Points of Interest & Landmarks • Architectural Buildings,Toronto,Canada
33,Nathan Phillips Square,Points of Interest & Landmarks,Toronto,Canada
34,Black Creek Pioneer Village,Historic Sites • History Museums,Toronto,Canada
35,Graffiti Alley,Neighborhoods • Points of Interest & Landmarks,Toronto,Canada
36,Evergreen Brick Works,Points of Interest & Landmarks • Historic Walking Areas,Toronto,Canada
37,Greektown on the Danforth,Points of Interest & Landmarks,Toronto,Canada
38,The Beach Village,Neighborhoods • Points of Interest & Landmarks,Toronto,Canada
39,Yorkville Village,Scenic Walking Areas • Shopping Malls,Toronto,Canada
40,BAPS Shri Swaminarayan Mandir,Religious Sites,Toronto,Canada
41,Toronto Harbour,Neighborhoods,Toronto,Canada
42,Yorkdale Shopping Centre,Shopping Malls,Toronto,Canada
43,Spadina Museum,Historic Sites • History Museums,Toronto,Canada
44,Toronto Botanical Garden,Gardens,Toronto,Canada
45,Old City Hall,Architectural Buildings • Government Buildings,Toronto,Canada
46,Bluffers Park,Nature & Wildlife Areas • Parks,Toronto,Canada
47,Gardiner Museum,Art Museums,Toronto,Canada
48,Yonge Street,Points of Interest & Landmarks,Toronto,Canada
49,Roy Thomson Hall,Theaters,Toronto,Canada
50,Bloor West Village,Neighborhoods,Toronto,Canada
51,Toronto Union,Points of Interest & Landmarks • Architectural Buildings,Toronto,Canada
52,Ontario Science Centre,Science Museums,Toronto,Canada
53,The Path,Shopping Malls,Toronto,Canada
54,Royal Conservatory of Music,Universities & Schools • Theaters,Toronto,Canada
55,Tommy Thompson Park,Nature & Wildlife Areas,Toronto,Canada
56,Riverdale Farm,Farms,Toronto,Canada
57,Toronto Music Garden,Parks • Gardens,Toronto,Canada
58,Chinatown,Neighborhoods,Toronto,Canada
59,Yonge-Dundas Square,Points of Interest & Landmarks • Theaters,Toronto,Canada
60,Humber Bay Park,Parks,Toronto,Canada
61,Berczy Park,Parks,Toronto,Canada
62,,1,Toronto,Canada
63,Four Seasons Centre for the Performing Arts,Theaters,Toronto,Canada
64,Hanlan's Point Beach,Beaches,Toronto,Canada
65,Centreville Amusement Park,Amusement & Theme Parks,Toronto,Canada
66,Budweiser Stage,Theaters,Toronto,Canada
67,Mount Pleasant Cemetery,Cemeteries,Toronto,Canada
68,Ontario Legislative Building,Architectural Buildings • Government Buildings,Toronto,Canada
69,CAA Theatre,Theaters,Toronto,Canada
70,St James Anglican Cathedral,Religious Sites,Toronto,Canada
71,Guild Park,Parks,Toronto,Canada
72,Centennial Park Greenhouse,Parks,Toronto,Canada
73,Toronto Railway Museum,Speciality Museums,Toronto,Canada
74,Scarborough Town Centre,Shopping Malls,Toronto,Canada
75,Fort York National Historic Site,Military Museums,Toronto,Canada
76,Metro Toronto Convention Centre,Convention Centers,Toronto,Canada
77,Textile Museum of Canada,Speciality Museums • Art Museums,Toronto,Canada
78,Spirit of York,Distilleries,Toronto,Canada
79,Mackenzie House,Historic Sites • History Museums,Toronto,Canada
80,St Michael's Cathedral Basilica,Religious Sites,Toronto,Canada
81,Kew Gardens,Parks • Gardens,Toronto,Canada
82,Osgoode Hall,Historic Sites • Architectural Buildings,Toronto,Canada
83,Brookfield Place,Art Galleries • Points of Interest & Landmarks,Toronto,Canada
84,Gooderham (Flatiron) Building,Historic Sites • Points of Interest & Landmarks,Toronto,Canada
85,Trinity Bellwoods Park,Sports Complexes • Parks,Toronto,Canada
86,Canada's Sugar Beach,Beaches,Toronto,Canada
87,Canadian National Exhibition,Exhibitions,Toronto,Canada
88,Toronto Beach,Beaches,Toronto,Canada
89,MZTV Museum of Television,Speciality Museums,Toronto,Canada
90,West Queen West,Neighborhoods,Toronto,Canada
91,Maple Leaf Gardens,Architectural Buildings,Toronto,Canada
92,Toronto Symphony Orchestra,Symphonies,Toronto,Canada
93,,1,Toronto,Canada
94,Woodbine Park,Biking Trails • Parks,Toronto,Canada
95,Rosetta McClain Gardens,Parks • Gardens,Toronto,Canada
96,TIFF Bell Lightbox,Theaters,Toronto,Canada
97,Toronto Police Museum,Speciality Museums,Toronto,Canada
98,Lamport Stadium,Sports Complexes • Arenas & Stadiums,Toronto,Canada
99,Toronto Waterfront,Neighborhoods • Points of Interest & Landmarks,Toronto,Canada
100,Colonel Sam Smith Park,Parks,Toronto,Canada
101,Bayview Village Shopping Centre,Shopping Malls,Toronto,Canada
102,Queen's Park,Architectural Buildings • Parks,Toronto,Canada
103,Ontario Place,Amusement & Theme Parks,Toronto,Canada
104,James Gardens,Gardens,Toronto,Canada
105,Cabbagetown,Neighborhoods,Toronto,Canada
106,BMO Field,Arenas & Stadiums,Toronto,Canada
107,Kay Gardner Beltline Trail,Hiking Trails,Toronto,Canada
108,Trillium Park,Parks,Toronto,Canada
109,The National Ballet of Canada,Ballets,Toronto,Canada
110,Amaluna- Cirque Du Soleil,Cirque du Soleil Shows,Toronto,Canada
111,Gibson House Museum,Historic Sites • History Museums,Toronto,Canada
112,Meridian Hall,Theaters,Toronto,Canada
113,Casino Woodbine,Casinos • Horse Tracks,Toronto,Canada
114,Mill Street Brewery,Breweries,Toronto,Canada
115,Martin Goodman Trail,Hiking Trails,Toronto,Canada
116,Fantasy Fair at Woodbine Centre,Amusement & Theme Parks,Toronto,Canada
117,Go Transit - Go Bus,Public Transportation Systems,Toronto,Canada
118,Sunnyside Park,Parks,Toronto,Canada
119,Church Street,Neighborhoods • Points of Interest & Landmarks,Toronto,Canada
120,Koreatown,Neighborhoods • Points of Interest & Landmarks,Toronto,Canada
121,Cirque du Soleil Volta,Cirque du Soleil Shows,Toronto,Canada
