,Attraction Name,Attraction Type,City,Country
0,,,Vienna,Austria
1,Schönbrunn  Palace,Architectural Buildings • Castles,Vienna,Austria
2,Kunsthistorisches Museum Vienna,Speciality Museums • Art Museums,Vienna,Austria
3,Historic Center of Vienna,Historic Sites • Neighborhoods,Vienna,Austria
4,Tiergarten Schoenbrunn - Zoo Vienna,Zoos,Vienna,Austria
5,Albertina,Art Museums,Vienna,Austria
6,The Hofburg,Speciality Museums,Vienna,Austria
7,Natural History Museum (Naturhistorisches Museum),Natural History Museums,Vienna,Austria
8,Belvedere Museum,Historic Sites • Architectural Buildings,Vienna,Austria
9,Wiener Staatsoper,Theaters,Vienna,Austria
10,St. Stephen's Cathedral,Points of Interest & Landmarks • Churches & Cathedrals,Vienna,Austria
11,Leopold Museum,Speciality Museums • Art Museums,Vienna,Austria
12,Rathaus,Architectural Buildings • Government Buildings,Vienna,Austria
13,State Hall of the Austrian National Library,Points of Interest & Landmarks • Architectural Buildings,Vienna,Austria
14,Peterskirche,Points of Interest & Landmarks • Churches & Cathedrals,Vienna,Austria
15,Kaiserliche Schatzkammer Wien,History Museums,Vienna,Austria
16,Stephansplatz,Points of Interest & Landmarks,Vienna,Austria
17,MuseumsQuartier Wien,Speciality Museums,Vienna,Austria
18,Haus des Meeres - Aqua Terra Zoo,Zoos • Aquariums,Vienna,Austria
19,Heeresgeschichtliches Museum,Military Museums • History Museums,Vienna,Austria
20,Schonbrunner Gardens,Historic Walking Areas • Parks,Vienna,Austria
21,Central Cemetery (Zentralfriedhof),Cemeteries • Children's Museums,Vienna,Austria
22,Rathausplatz,Points of Interest & Landmarks,Vienna,Austria
23,KUNST HAUS WIEN. Museum Hundertwasser,Architectural Buildings • Art Museums,Vienna,Austria
24,Prater,Amusement & Theme Parks • Parks,Vienna,Austria
25,Vienna U-Bahn,Public Transportation Systems,Vienna,Austria
26,Technisches Museum Wien,Science Museums,Vienna,Austria
27,Christmas Market on Rathausplatz,Cultural Events,Vienna,Austria
28,Kahlenberg,Mountains • Lookouts,Vienna,Austria
29,Haus der Musik,Speciality Museums • Points of Interest & Landmarks,Vienna,Austria
30,Wiener Royal Orchester,Symphonies,Vienna,Austria
31,,2,Vienna,Austria
32,Stadtpark,Parks,Vienna,Austria
33,Ringstrasse,Historic Sites • Points of Interest & Landmarks,Vienna,Austria
34,Danube Tower,Observation Decks & Towers,Vienna,Austria
35,Karlskirche,Historic Sites • Religious Sites,Vienna,Austria
36,Graben and Kohlmarkt,Neighborhoods • Points of Interest & Landmarks,Vienna,Austria
37,Musikverein,Theaters,Vienna,Austria
38,Volksgarten,Parks • Monuments & Statues,Vienna,Austria
39,Hundertwasserhaus,Points of Interest & Landmarks • Architectural Buildings,Vienna,Austria
40,Sisi Museum,Speciality Museums • History Museums,Vienna,Austria
41,Imperial Crypt,Historic Sites • Architectural Buildings,Vienna,Austria
42,Cafe Gloriette,Historic Sites • Architectural Buildings,Vienna,Austria
43,Votivkirche,Historic Sites • Religious Sites,Vienna,Austria
44,Mariahilfer Strasse,Points of Interest & Landmarks,Vienna,Austria
45,Madame Tussauds Vienna,Speciality Museums,Vienna,Austria
46,Palais Schönborn-Batthyány,Castles,Vienna,Austria
47,Third Man Museum,Speciality Museums,Vienna,Austria
48,Michaelerplatz,Points of Interest & Landmarks,Vienna,Austria
49,Kirche am Steinhof,Architectural Buildings • Religious Sites,Vienna,Austria
