,Tour,Type,Duration,Price,Price Per,Cancellation,Tour By,City,Country,Image,Link to agency
1,Abu Dhabi Full-Day Sightseeing Tour from Dubai,Bus Tours,6.0,40.0,per adult,Free cancellation,By RAH Tourism,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/be/f6/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d6985122-Reviews-RAH_Tourism-Dubai_Emirate_of_Dubai.html
2,"Evening Desert Safari With BBQ Dinner, Camel Ride and Sand Boarding",Shore Excursions,6.0,83.0,per adult,Free cancellation,By Emirates Tours and Safaris,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/ff/3c/3b/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d2521371-Reviews-Emirates_Tours_and_Safaris-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
4,Dubai to Abu Dhabi Grand Mosque & Qasr Al Watan Palace by OceanAir™️,Bus Tours,8.5,109.0,per adult,Free cancellation,By OceanAir Travels,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/98/53/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d21174054-Reviews-OceanAir_Travels-Dubai_Emirate_of_Dubai.html
5,Abu Dhabi Private City Tour,Bus Tours,5.0,200.0,per group,Free cancellation,By RAH Tourism,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/be/e7/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d6985122-Reviews-RAH_Tourism-Dubai_Emirate_of_Dubai.html
6,"Abu Dhabi City Tour - Grand Mosque, Emirates Palace With Louvre Museum Entrance",Bus Tours,8.5,75.0,per adult,Free cancellation,By RAH Tourism,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6d/ee/4b/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d6985122-Reviews-RAH_Tourism-Dubai_Emirate_of_Dubai.html
7,Abu Dhabi City Tour Including Ferrari World Tickets Guided Tour from Dubai,Car Tours,6.0,224.0,per adult,Free cancellation,By Travtur,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/17/47/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d12070965-Reviews-Travtur-Dubai_Emirate_of_Dubai.html
8,Abu Dhabi Half Day Desert Safari,Adventure Tours,6.0,69.0,per adult,Free cancellation,By Extreme Arabia,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/61/0f/c4/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g2630227-d15329153-Reviews-Extreme_Arabia-Emirate_of_Abu_Dhabi.html
9,Abu Dhabi Small-Group Day Trip from Dubai by OceanAir™️,Bus Tours,8.5,109.0,per adult,Free cancellation,By Private Dubai Tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/ad/13/aa/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d10431596-Reviews-Private_Dubai_Tours-Dubai_Emirate_of_Dubai.html
10,Half-Day Desert Safari from Abu Dhabi,Ports of Call Tours,6.0,79.0,per adult,Free cancellation,By Desert Rose Tourism,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4a/d3/06/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d4354316-Reviews-Desert_Rose_Tourism-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
11,Louvre Museum Abu Dhabi and Grand Mosque Tour from Dubai,Bus Tours,8.5,109.0,per adult,Free cancellation,By Private Dubai Tours,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/7c/e6/c2/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295424-d10431596-Reviews-Private_Dubai_Tours-Dubai_Emirate_of_Dubai.html
12,Morning Desert Safari with Quad Bike Tour Abu Dhabi,Adventure Tours,4.5,99.6,per adult,Free cancellation,By Trip Arabia Tours & Safari,Abu Dhabi,United Arab Emirates,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/13/65/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294013-d17695157-Reviews-Trip_Arabia_Tours_Safari-Abu_Dhabi_Emirate_of_Abu_Dhabi.html
