WlYyy,cctrW,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,WlYyy 2,ySnDE,dXxty,ccVGl,WlYyy 3,ccVGl 2,WlYyy 4,WlYyy 6
16 places sorted by traveler favorites,"Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,https://www.tripadvisor.com/ClientLink?value=MHVaXy9BdHRyYWN0aW9ucy1nMTgwMjE4NC1BY3Rpdml0aWVzLWFfYWxsQXR0cmFjdGlvbnMudHJ1ZS1BbFVsYV9BbF9NYWRpbmFoX1Byb3ZpbmNlLmh0bWxfRmZw,,,,,,,,,,,,
Bus Tours,,By Saudi Discovery,https://www.tripadvisor.com/Attraction_Review-g293995-d23844054-Reviews-Saudi_Discovery-Riyadh_Riyadh_Province.html,https://www.tripadvisor.com/AttractionProductReview-g1802184-d23854539-Half_day_Hegra_Experience-AlUla_Al_Madinah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/eb/10/17/caption.jpg?w=500&h=400&s=1,Half day Hegra Experience,1.,2 hours,"Visit Hegra, Saudi Arabia’s first UNESCO World Heritage Site.

Tour includes visits to :

* Entrance to Hegra - UNESCO World…",Taking safety measures,from,$35.00,per adult,More info,
Mountain Bike Tours,,By Husaak Adventures,https://www.tripadvisor.com/Attraction_Review-g1802184-d23367728-Reviews-Husaak_Adventures-AlUla_Al_Madinah_Province.html,https://www.tripadvisor.com/AttractionProductReview-g1802184-d23564467-The_Cycle_Trail_AlUla-AlUla_Al_Madinah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/7e/b4/08/caption.jpg?w=500&h=400&s=1,The Cycle Trail AlUla,2.,2 hours,Cycle through the stunning landscapes of AlUla on this unique mountain bike experience. This 14km trail boasts takes you…,Taking safety measures,from,$50.00,per adult,More info,
Bus Tours,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Saudi Discovery,https://www.tripadvisor.com/Attraction_Review-g293995-d23844054-Reviews-Saudi_Discovery-Riyadh_Riyadh_Province.html,https://www.tripadvisor.com/AttractionProductReview-g1802184-d23854538-Rock_Art_Trail_in_Hegra_Tour-AlUla_Al_Madinah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/eb/10/14/caption.jpg?w=500&h=400&s=1,Rock Art Trail in Hegra Tour,3.,1 hour,Explore Hegra with a Rawi (guide) and learn the stories of the rock art found amongst the stone. The Rock Art Trail in Hegra…,Taking safety measures,from,$25.00,per adult,More info,Free cancellation
Bus Tours,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Saudi Discovery,https://www.tripadvisor.com/Attraction_Review-g293995-d23844054-Reviews-Saudi_Discovery-Riyadh_Riyadh_Province.html,https://www.tripadvisor.com/AttractionProductReview-g1802184-d23854557-Al_Ula_Stargazing_or_Moon_Night_Experience_Tour-AlUla_Al_Madinah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/eb/10/3f/caption.jpg?w=500&h=400&s=1,Al Ula Stargazing or Moon Night Experience Tour,4.,5 hours,"Immerse yourself in the desert landscape and Explore the beauty of AlUla's night sky with a Bedouin-style dinner.

Experience…",Taking safety measures,from,$121.00,per adult,More info,Free cancellation
Bus Tours,,By Saudi Discovery,https://www.tripadvisor.com/Attraction_Review-g293995-d23844054-Reviews-Saudi_Discovery-Riyadh_Riyadh_Province.html,https://www.tripadvisor.com/AttractionProductReview-g1802184-d23854541-Half_day_Dadan_Jabal_Ikmah_Tour-AlUla_Al_Madinah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/eb/10/1d/caption.jpg?w=500&h=400&s=1,Half day Dadan & Jabal Ikmah Tour,5.,2 hours,"Start your journey through time at Dadan the ancient Kingdom of the Lihyanite and Dadanite civilizations. Next, a bus service…",Taking safety measures,from,$29.00,per adult,More info,
Bus Tours,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Saudi Discovery,https://www.tripadvisor.com/Attraction_Review-g293995-d23844054-Reviews-Saudi_Discovery-Riyadh_Riyadh_Province.html,https://www.tripadvisor.com/AttractionProductReview-g1802184-d23854551-Wadi_Al_Disah_Full_Day_Tour_with_Hotel_Pickup-AlUla_Al_Madinah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/eb/10/2e/caption.jpg?w=500&h=400&s=1,Wadi Al Disah Full Day Tour with Hotel Pickup,6.,6+ hours,"Explore one of the must-see natural jewels of Saudi Arabia, ""Wadi Dissah"".

Experience / Highlights

*Experience must-see…",Taking safety measures,from,$147.00,per adult,More info,Free cancellation
Bus Tours,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Saudi Discovery,https://www.tripadvisor.com/Attraction_Review-g293995-d23844054-Reviews-Saudi_Discovery-Riyadh_Riyadh_Province.html,https://www.tripadvisor.com/AttractionProductReview-g1802184-d23864813-Full_Day_Tayma_Tour_from_Al_Ula-AlUla_Al_Madinah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/f6/3e/e7/caption.jpg?w=500&h=400&s=1,Full-Day Tayma Tour from Al Ula,7.,6+ hours,"Visit Tayma and Explore The oldest human settlement in Saudi Arabia History!

After picking you up in your hotel in Al Ula…",Taking safety measures,from,$152.00,per adult,More info,Free cancellation
Bus Tours,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Saudi Discovery,https://www.tripadvisor.com/Attraction_Review-g293995-d23844054-Reviews-Saudi_Discovery-Riyadh_Riyadh_Province.html,https://www.tripadvisor.com/AttractionProductReview-g1802184-d23854558-Morning_Safari_From_Al_Ula-AlUla_Al_Madinah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/eb/10/40/caption.jpg?w=500&h=400&s=1,Morning Safari From Al Ula,8.,5 hours,"Exclusive daytime desert adventure with our desert safari tour. Discover the desert in the Morning, see the Camels, A Unique…",Taking safety measures,from,$98.00,per adult,More info,Free cancellation
Bus Tours,,By Saudi Discovery,https://www.tripadvisor.com/Attraction_Review-g293995-d23844054-Reviews-Saudi_Discovery-Riyadh_Riyadh_Province.html,https://www.tripadvisor.com/AttractionProductReview-g1802184-d23854537-Al_Ula_Old_Town_Experience-AlUla_Al_Madinah_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/eb/10/0f/caption.jpg?w=500&h=400&s=1,Al Ula Old Town Experience,9.,1 hour,"Tour on your own or guided by a Rawi through AlUla Old Town, where pilgrims, travelers, and permanent settlers congregated…",Taking safety measures,from,$25.00,per adult,More info,
