WlYyy,cctrW,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,WlYyy 3,iPqaD href 2,WlYyy 4,WlYyy 5,WlYyy 6,WlYyy 7,WlYyy 8,ySnDE,ccVGl,WlYyy 9,ccVGl 2,WlYyy 10
"1,000+ places sorted by traveler favorites","Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,https://www.tripadvisor.com/ClientLink?value=S3JzXy9BdHRyYWN0aW9ucy1nMTg4NTkwLUFjdGl2aXRpZXMtYV9hbGxBdHRyYWN0aW9ucy50cnVlLUFtc3RlcmRhbV9Ob3J0aF9Ib2xsYW5kX1Byb3ZpbmNlLmh0bWxfOEtB,,,,,,,,,,,,,,,,
BEST SELLER,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Flagship Amsterdam,https://www.tripadvisor.com/AttractionProductReview-g188590-d15209893-Amsterdam_Canal_Cruise_in_Classic_River_Boat_With_Drinks_Dutch_Cheese-Amsterdam_No.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g188590-d15209893-Amsterdam_Canal_Cruise_in_Classic_River_Boat_With_Drinks_Dutch_Cheese-Amsterdam_No.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/bf/59/6e/caption.jpg?w=500&h=400&s=1,Amsterdam Canal Cruise in Classic River Boat With Drinks & Dutch Cheese,1.,"2,015",https://www.tripadvisor.com/Attraction_Review-g188590-d13998700-Reviews-Flagship_Amsterdam-Amsterdam_North_Holland_Province.html,Wine Tours,1–2 hours,Taking safety measures,Free cancellation,98% of travelers recommend this experience,"On this 1h15min Luxury Classic River Boat Cruise, you will explore the city, its famous landmarks, culture, and rich trading…",from,$33.38,per adult,More info
LIKELY TO SELL OUT*,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Pure Boats,https://www.tripadvisor.com/AttractionProductReview-g188590-d16641254-The_Ultimate_Amsterdam_Canal_Cruise_2hr_Small_Group_Exclusive_Boat-Amsterdam_North.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g188590-d16641254-The_Ultimate_Amsterdam_Canal_Cruise_2hr_Small_Group_Exclusive_Boat-Amsterdam_North.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/e7/a8/a8/caption.jpg?w=500&h=400&s=1,The Ultimate Amsterdam Canal Cruise - 2hr - Small Group - Exclusive Boat,2.,261,https://www.tripadvisor.com/Attraction_Review-g188590-d12544100-Reviews-Pure_Boats-Amsterdam_North_Holland_Province.html,Canal Cruises,2 hours,Taking safety measures,Free cancellation,100% of travelers recommend this experience,"We invite you for a 2 hour all-inclusive adventure aboard one of our personally restored, luxury, electric boats.

With …",from,$67.32,per adult,More info
Book risk-free with free cancellations on most bookings.,,,,,,,,,,,,,,,,,,,
BEST SELLER,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Flagship Amsterdam,https://www.tripadvisor.com/AttractionProductReview-g188590-d19108583-Amsterdam_Guided_Evening_Canal_Cruise_with_Bar_on_Board-Amsterdam_North_Holland_Pr.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g188590-d19108583-Amsterdam_Guided_Evening_Canal_Cruise_with_Bar_on_Board-Amsterdam_North_Holland_Pr.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/ee/af/caption.jpg?w=500&h=400&s=1,Amsterdam Guided Evening Canal Cruise with Bar on Board,3.,612,https://www.tripadvisor.com/Attraction_Review-g188590-d13998700-Reviews-Flagship_Amsterdam-Amsterdam_North_Holland_Province.html,Night Cruises,1 hour,Taking safety measures,Free cancellation,97% of travelers recommend this experience,Come and join us on one of our legendary and Tripadvisor top 3 boat tours and get ready to cruise along the Amsterdam canals…,from,$22.06,per adult,More info
,,By Tour Company,https://www.tripadvisor.com/AttractionProductReview-g188590-d16841200-Keukenhof_and_Zaanse_Schans_Guided_Day_Tour_With_Amsterdam_Canal_Cruise-Amsterdam_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g188590-d16841200-Keukenhof_and_Zaanse_Schans_Guided_Day_Tour_With_Amsterdam_Canal_Cruise-Amsterdam_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/84/6f/94/caption.jpg?w=500&h=400&s=1,Keukenhof and Zaanse Schans Guided Day Tour With Amsterdam Canal Cruise,4.,4,https://www.tripadvisor.com/Attraction_Review-g188590-d8863653-Reviews-Tour_Company-Amsterdam_North_Holland_Province.html,Bus Tours,6+ hours,Taking safety measures,Free cancellation,,See 3 top attractions in 1 day; Experience the beauty of Keukenhof Gardens in bloom on a guided morning tour from Amsterdam…,from,$104.65,per adult,More info
BEST SELLER,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Flagship Amsterdam,https://www.tripadvisor.com/AttractionProductReview-g188590-d14202596-Amsterdam_Open_Boat_Canal_Cruise_Live_Guide_from_Anne_Frank_House-Amsterdam_North_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g188590-d14202596-Amsterdam_Open_Boat_Canal_Cruise_Live_Guide_from_Anne_Frank_House-Amsterdam_North_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/3f/08/b9/caption.jpg?w=500&h=400&s=1,Amsterdam Open Boat Canal Cruise - Live Guide - from Anne Frank House,5.,"7,357",https://www.tripadvisor.com/Attraction_Review-g188590-d13998700-Reviews-Flagship_Amsterdam-Amsterdam_North_Holland_Province.html,Canal Cruises,1 hour,Taking safety measures,Free cancellation,99% of travelers recommend this experience,"The best way of seeing historical Amsterdam is from the water. Join us on our 1 hour canal tour on our 100% electric, luxury…",from,$22.06,per adult,More info
,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Dutchtrips,https://www.tripadvisor.com/AttractionProductReview-g188590-d17405155-Giethoorn_and_Zaanse_Schans_Windmills_Small_Group_Day_Trip_from_Amsterdam-Amsterda.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g188590-d17405155-Giethoorn_and_Zaanse_Schans_Windmills_Small_Group_Day_Trip_from_Amsterdam-Amsterda.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/f5/82/caption.jpg?w=500&h=400&s=1,Giethoorn and Zaanse Schans Windmills Small-Group Day Trip from Amsterdam,6.,23,https://www.tripadvisor.com/Attraction_Review-g188632-d20263724-Reviews-Dutchtrips-Rotterdam_South_Holland_Province.html,Bus Tours,9–10 hours,Taking safety measures,Free cancellation,91% of travelers recommend this experience,This tour is a must for anyone who wants to visit the two of the most popular places in Holland! Board an air-conditioned…,from,$126.71,per adult,More info
,,By Xtracold Icebar Amsterdam,https://www.tripadvisor.com/AttractionProductReview-g188590-d13004179-Amsterdam_Icebar_Experience_Including_3_Drinks-Amsterdam_North_Holland_Province.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g188590-d13004179-Amsterdam_Icebar_Experience_Including_3_Drinks-Amsterdam_North_Holland_Province.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/5a/5a/bf/caption.jpg?w=500&h=400&s=1,Amsterdam Icebar Experience Including 3 Drinks,7.,175,https://www.tripadvisor.com/Attraction_Review-g188590-d4101131-Reviews-Xtracold_Icebar_Amsterdam-Amsterdam_North_Holland_Province.html,Skip-the-Line Tours,45 minutes,Taking safety measures,Free cancellation,,The Amsterdam XtraCold Icebar is one of the coolest places in town (literally!) and definitely in the top things to do in…,from,$27.15,per adult,More info
,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By We Bike Amsterdam,https://www.tripadvisor.com/AttractionProductReview-g188590-d14042038-Bike_Tour_of_Amsterdam_s_Highlights_and_Hidden_Gems-Amsterdam_North_Holland_Provin.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g188590-d14042038-Bike_Tour_of_Amsterdam_s_Highlights_and_Hidden_Gems-Amsterdam_North_Holland_Provin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/17/e3/63/caption.jpg?w=500&h=400&s=1,Bike Tour of Amsterdam's Highlights and Hidden Gems!,8.,369,https://www.tripadvisor.com/Attraction_Review-g188590-d4584280-Reviews-We_Bike_Amsterdam-Amsterdam_North_Holland_Province.html,City Tours,3 hours,Taking safety measures,Free cancellation,98% of travelers recommend this experience,We are proud to be Amsterdam's smallest bike tour company! We work with a maximum of 12 participants (usually less!) per…,from,$39.60,per adult,More info
