,Image,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,,Clear all filters,Amsterdam,Netherlands,
1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/bf/59/6e/caption.jpg?w=500&h=400&s=1,Amsterdam Canal Cruise in Classic River Boat With Drinks & Dutch Cheese,Wine Tours,1–2 hours,$33.38,per adult,Free cancellation,By Flagship Amsterdam,Amsterdam,Netherlands,https://www.tripadvisor.com/Attraction_Review-g188590-d13998700-Reviews-Flagship_Amsterdam-Amsterdam_North_Holland_Province.html
2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/e7/a8/a8/caption.jpg?w=500&h=400&s=1,The Ultimate Amsterdam Canal Cruise - 2hr - Small Group - Exclusive Boat,Canal Cruises,2 hours,$67.32,per adult,Free cancellation,By Pure Boats,Amsterdam,Netherlands,https://www.tripadvisor.com/Attraction_Review-g188590-d12544100-Reviews-Pure_Boats-Amsterdam_North_Holland_Province.html
3,,,,,,,,,Amsterdam,Netherlands,
4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/ee/af/caption.jpg?w=500&h=400&s=1,Amsterdam Guided Evening Canal Cruise with Bar on Board,Night Cruises,1 hour,$22.06,per adult,Free cancellation,By Flagship Amsterdam,Amsterdam,Netherlands,https://www.tripadvisor.com/Attraction_Review-g188590-d13998700-Reviews-Flagship_Amsterdam-Amsterdam_North_Holland_Province.html
5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/84/6f/94/caption.jpg?w=500&h=400&s=1,Keukenhof and Zaanse Schans Guided Day Tour With Amsterdam Canal Cruise,Bus Tours,6+ hours,$104.65,per adult,Free cancellation,By Tour Company,Amsterdam,Netherlands,https://www.tripadvisor.com/Attraction_Review-g188590-d8863653-Reviews-Tour_Company-Amsterdam_North_Holland_Province.html
6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/3f/08/b9/caption.jpg?w=500&h=400&s=1,Amsterdam Open Boat Canal Cruise - Live Guide - from Anne Frank House,Canal Cruises,1 hour,$22.06,per adult,Free cancellation,By Flagship Amsterdam,Amsterdam,Netherlands,https://www.tripadvisor.com/Attraction_Review-g188590-d13998700-Reviews-Flagship_Amsterdam-Amsterdam_North_Holland_Province.html
7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/f5/82/caption.jpg?w=500&h=400&s=1,Giethoorn and Zaanse Schans Windmills Small-Group Day Trip from Amsterdam,Bus Tours,9–10 hours,$126.71,per adult,Free cancellation,By Dutchtrips,Amsterdam,Netherlands,https://www.tripadvisor.com/Attraction_Review-g188632-d20263724-Reviews-Dutchtrips-Rotterdam_South_Holland_Province.html
8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/5a/5a/bf/caption.jpg?w=500&h=400&s=1,Amsterdam Icebar Experience Including 3 Drinks,Skip-the-Line Tours,45 minutes,$27.15,per adult,Free cancellation,By Xtracold Icebar Amsterdam,Amsterdam,Netherlands,https://www.tripadvisor.com/Attraction_Review-g188590-d4101131-Reviews-Xtracold_Icebar_Amsterdam-Amsterdam_North_Holland_Province.html
9,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/17/e3/63/caption.jpg?w=500&h=400&s=1,Bike Tour of Amsterdam's Highlights and Hidden Gems!,City Tours,3 hours,$39.60,per adult,Free cancellation,By We Bike Amsterdam,Amsterdam,Netherlands,https://www.tripadvisor.com/Attraction_Review-g188590-d4584280-Reviews-We_Bike_Amsterdam-Amsterdam_North_Holland_Province.html
