,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,Clear all filters,Barcelona,Spain,
1,Paella Cooking Experience with Professional Chef: Four Course Dinner,Cooking Classes,2–3 hours,$96.17,per adult,Free cancellation,By The Paella Club,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d13201643-Reviews-The_Paella_Club-Barcelona_Catalonia.html
2,"France, Andorra, Spain in One Day Trip From Barcelona (Private Tour + Pick-up)",Bus Tours,11–12 hours,$197.99,per adult,Free cancellation,By Barcelona Y Day Trips,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d16802032-Reviews-Barcelona_Y_Day_Trips-Barcelona_Catalonia.html
3,Barcelona Segway Tour,Segway Tours,2 hours,$55.44,per adult,Free cancellation,By Barcelona Segway Tour,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d1444032-Reviews-Barcelona_Segway_Tour-Barcelona_Catalonia.html
4,Flamenco Show Ticket at Theatre Barcelona City Hall,Theaters,1 hour,$20.36,per adult,,By Barcelona y Flamenco,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d3822487-Reviews-Barcelona_y_Flamenco-Barcelona_Catalonia.html
5,Medieval Three Villages Small Group Day Trip from Barcelona,Car Tours,6+ hours,$102.47,per adult,Free cancellation,By Explore Catalunya,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d1602326-Reviews-Explore_Catalunya-Barcelona_Catalonia.html
6,Private Barcelona Tour with Licensed Guide Sagrada Familia-Park Güell-La Pedrera,Bus Tours,6+ hours,$452.54,per adult,Free cancellation,By We Are Guides Barcelona,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d13908805-Reviews-We_Are_Guides_Barcelona-Barcelona_Catalonia.html
7,"Private Sailing Experience Barcelona up to 11 guests, 2/3/4 hours",Sailing,2–4 hours,$417.47,per group,Free cancellation,By Sailing Experience Barcelona,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d7942625-Reviews-Sailing_Experience_Barcelona-Barcelona_Catalonia.html
8,Sagrada Familia & Gaudí Private Tour - Skip the Line Tickets,Public Transportation Tours,3 hours,$96.17,per adult,Free cancellation,By Local CoolTour Barcelona,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d15635679-Reviews-Local_CoolTour_Barcelona-Barcelona_Catalonia.html
9,Montserrat Monastery & Horse Riding Experience from Barcelona,Bus Tours,5–6 hours,$113.12,per adult,Free cancellation,By We Barcelona,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d3366811-Reviews-We_Barcelona-Barcelona_Catalonia.html
10,City Sightseeing Barcelona Hop-On Hop-Off Bus Tour,Bus Tours,2 hours,$33.94,per adult,Free cancellation,By City Sightseeing Barcelona,Barcelona,Spain,https://www.tripadvisor.com/Attraction_Review-g187497-d2021238-Reviews-City_Sightseeing_Barcelona-Barcelona_Catalonia.html
