,Image,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,,Clear all filters,Beijing,China,
1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5a/d2/7d/caption.jpg?w=500&h=400&s=1,Private Great Wall Hiking from Jiankou to Mutianyu,Adventure Tours,9–10 hours,$218.00,per adult,Free cancellation,By Beijing Tour Guide,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d3138665-Reviews-Beijing_Tour_Guide-Beijing.html
2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/34/f7/caption.jpg?w=500&h=400&s=1,Mini Group: Beijing Forbidden City Tour with Great Wall Hiking at Mutianyu,Cable Car Tours,6+ hours,$172.00,per adult,Free cancellation,By The Trippest Mini Group Tours,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d4006739-Reviews-The_Trippest_Mini_Group_Tours-Beijing.html
3,,,Cold feet?,,,,,,Beijing,China,
4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/19/21/caption.jpg?w=500&h=400&s=1,Chaoyang Theatre Ticket,Theaters,1 hour,$45.00,per adult,Free cancellation,By Sunflower Tours China,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d3164061-Reviews-Sunflower_Tours_China-Beijing.html
5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/7a/f9/37/caption.jpg?w=500&h=400&s=1,Online Cooking Class Beijing Dumplings and Cuisine by Sunflowerli Renowned Chef,Cooking Classes,1–2 hours,$24.99,per adult,Free cancellation,By Sunflower Tours China,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d3164061-Reviews-Sunflower_Tours_China-Beijing.html
6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/67/30/af/caption.jpg?w=500&h=400&s=1,Skip the Line:Forbidden City Ticket-Main Entrance+Clock Gallery+Treasure Gallery,Skip-the-Line Tours,1–4 hours,$12.30,per adult,Free cancellation,By Forbidden City Tickets,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d17761825-Reviews-Forbidden_City_Tickets-Beijing.html
7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/66/14/caption.jpg?w=500&h=400&s=1,Skip the Line: Beijing Forbidden City Admission Ticket,Attractions & Museums,6 hours,$9.75,per adult,Free cancellation,By Lily's Beijing Tour Guide & Car Service,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d5773897-Reviews-Lily_s_Beijing_Tour_Guide_Car_Service-Beijing.html
8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/55/fc/8b/caption.jpg?w=500&h=400&s=1,Badaling Great Wall Tickets Booking,Ancient Ruins,4–6 hours,$11.00,per adult,Free cancellation,By Travel China Guide,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d6614712-Reviews-Travel_China_Guide-Beijing.html
9,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/3b/41/caption.jpg?w=500&h=400&s=1,Private Mutianyu Great Wall Trip with English-Speaking Driver,Bus Tours,6+ hours,$98.00,per adult,Free cancellation,By Beijing Tour Guide,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d3138665-Reviews-Beijing_Tour_Guide-Beijing.html
10,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5d/e7/e3/caption.jpg?w=500&h=400&s=1,All Inclusive Mutianyu Great Wall and Summer Palace Private Day Tour,Full-day Tours,6+ hours,$188.00,per adult,Free cancellation,By Discover Beijing Tours,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d3680609-Reviews-Discover_Beijing_Tours-Beijing.html
11,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/5b/50/caption.jpg?w=500&h=400&s=1,"Private All-Inclusive Day Tour: Tiananmen Square, Forbidden City, Mutianyu Great Wall",Full-day Tours,6+ hours,$202.00,per adult,Free cancellation,By Lily's Beijing Tour Guide & Car Service,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d5773897-Reviews-Lily_s_Beijing_Tour_Guide_Car_Service-Beijing.html
12,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d4/3a/36/caption.jpg?w=500&h=400&s=1,All-Inclusive Private 2-Day Beijing Highlight Tour with Optional Evening Show,Bus Tours,2 days,$347.00,per adult,Free cancellation,By Catherine Lu Tours,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d1799850-Reviews-Catherine_Lu_Tours-Beijing.html
13,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/11/10/caption.jpg?w=500&h=400&s=1,Beijing Hutong Food and Beer Tour by Tuk Tuk,Tuk Tuk Tours,3–4 hours,$84.27,per adult,Free cancellation,By Lost Plate Beijing Food Tours,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d10817981-Reviews-Lost_Plate_Beijing_Food_Tours-Beijing.html
14,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/f6/3f/caption.jpg?w=500&h=400&s=1,4-Hour Private Beijing Walking Tour of the Forbidden City,City Tours,4 hours,$74.00,per adult,Free cancellation,By Discover Beijing Tours,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d3680609-Reviews-Discover_Beijing_Tours-Beijing.html
15,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/77/0f/74/caption.jpg?w=500&h=400&s=1,4-5 Hour Beijing Layover Tour to Mutianyu Great Wall,Bus Tours,4–5 hours,$125.00,per adult,Free cancellation,By Airport Layover Tour,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d3922875-Reviews-Airport_Layover_Tour-Beijing.html
16,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/0f/17/d9/caption.jpg?w=500&h=400&s=1,Morning Mubus Tour to the Mutianyu Great Wall,Full-day Tours,6+ hours,$15.00,per adult,Free cancellation,By Botrip tours,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d4178123-Reviews-Botrip_tours-Beijing.html
17,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/66/26/54/caption.jpg?w=500&h=400&s=1,Enjoy Mutianyu Wall 5-8 Hour Flexible Private Trip with English Speaking Driver,Bus Tours,5–8 hours,$79.00,per adult,Free cancellation,By Mark’s Guide & Driver Service,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d2518896-Reviews-Mark_s_Guide_Driver_Service-Beijing.html
18,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/8a/ee/caption.jpg?w=500&h=400&s=1,Group Great Wall Hiking Tour from Jinshanling to Simatai West,Full-day Tours,6+ hours,$53.99,per adult,Free cancellation,"By Beijing Downtown Travel Service Co., Ltd.",Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d8384792-Reviews-Beijing_Downtown_Travel_Service_Co_Ltd-Beijing.html
19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5a/dd/75/caption.jpg?w=500&h=400&s=1,Full-Day Small-Group Great Wall Hike: Simatai West to Jinshanling,Adventure Tours,6+ hours,$144.00,per adult,Free cancellation,By Great Wall Hiking,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d1794522-Reviews-Great_Wall_Hiking-Beijing.html
20,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/63/b3/caption.jpg?w=500&h=400&s=1,Mini Group: 2-Day Beijing Highlights and Great Wall Tour,Cable Car Tours,2 days,$295.00,per adult,Free cancellation,By The Trippest Mini Group Tours,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d4006739-Reviews-The_Trippest_Mini_Group_Tours-Beijing.html
21,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/ba/2a/caption.jpg?w=500&h=400&s=1,Private Mutianyu Great Wall Trip With Speaking-English Driver,Bus Tours,5–8 hours,$82.67,per adult,Free cancellation,By Jenny's Guide & Driver Service,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d8046834-Reviews-Jenny_s_Guide_Driver_Service-Beijing.html
22,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5a/6a/a4/caption.jpg?w=500&h=400&s=1,"Private Tour: Temple of Heaven, Tiananmen Square, Summer Palace and Forbidden City",Bus Tours,6+ hours,$214.00,per adult,Free cancellation,By WikiBeijing,Beijing,China,https://www.tripadvisor.com/Attraction_Review-g294212-d8870709-Reviews-WikiBeijing-Beijing.html
