WlYyy,cctrW,iPqaD,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,iPqaD href 3,WlYyy 2,WlYyy 3,ySnDE,WlYyy 4,WlYyy 5,cctrW 2,ccVGl,WlYyy 6,ccVGl 2,WlYyy 7,dXxty
644 places sorted by traveler favorites,"Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,,,,,,,,,,,,,,,,,
"2,347",Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Original Berlin Walks,https://www.tripadvisor.com/AttractionProductReview-g187323-d11449980-Discover_Berlin_Half_Day_Walking_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/0d/22/caption.jpg?w=500&h=400&s=1,Discover Berlin Half-Day Walking Tour,1.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11449980-Discover_Berlin_Half_Day_Walking_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d735931-Reviews-Original_Berlin_Walks-Berlin.html,City Tours,3–4 hours,"Uncover Berlin's past and present on this enlightening 4-hour walking tour through Mitte, the city’s historic center. Walk…",Free cancellation,99% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$22.63,per adult,More info,
25,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Birchys Berlin Tours,https://www.tripadvisor.com/AttractionProductReview-g187323-d17616676-Private_Berlin_Complete_History_All_Day_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/ad/4e/caption.jpg?w=500&h=400&s=1,Private Berlin Complete History All Day Tour,2.,https://www.tripadvisor.com/AttractionProductReview-g187323-d17616676-Private_Berlin_Complete_History_All_Day_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d16858951-Reviews-Birchys_Berlin_Tours-Berlin.html,Rail Tours,6–7 hours,Join our expert guide on this one of a kind Berlin in a Day Tour. This tour is designed for guests who want to visit many…,Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$147.08,per adult,More info,
"1,100",Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Insider Tour,https://www.tripadvisor.com/AttractionProductReview-g187323-d11452019-Sachsenhausen_Concentration_Camp_Memorial_Tour_from_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/4b/11/caption.jpg?w=500&h=400&s=1,Sachsenhausen Concentration Camp Memorial Tour from Berlin,3.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11452019-Sachsenhausen_Concentration_Camp_Memorial_Tour_from_Berlin-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d629667-Reviews-Insider_Tour-Berlin.html,City Tours,6 hours,"Tour Sachsenhausen, one of the first concentration camps established by the Third Reich, on a full-day trip from Berlin. …",Free cancellation,98% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$28.28,per adult,More info,
148,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Berlin Craft Beer Experience,https://www.tripadvisor.com/AttractionProductReview-g187323-d12490403-3_5_Hour_Guided_Original_Craft_Beer_Tour_in_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/47/2f/caption.jpg?w=500&h=400&s=1,3.5-Hour Guided Original Craft Beer Tour in Berlin,4.,https://www.tripadvisor.com/AttractionProductReview-g187323-d12490403-3_5_Hour_Guided_Original_Craft_Beer_Tour_in_Berlin-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d8641114-Reviews-Berlin_Craft_Beer_Experience-Berlin.html,Walking Tours,3–4 hours,Experience an intimate tour of Berlin's unique craft beer scene. During this 3.5-hour tour you will visit three separate…,Free cancellation,99% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$67.88,per adult,More info,
484,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Berlin Icebar,https://www.tripadvisor.com/AttractionProductReview-g187323-d17634300-Berlin_Icebar_Experience_Including_3_Drinks-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/2a/64/af/caption.jpg?w=500&h=400&s=1,Berlin Icebar Experience Including 3 Drinks,5.,https://www.tripadvisor.com/AttractionProductReview-g187323-d17634300-Berlin_Icebar_Experience_Including_3_Drinks-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d17647979-Reviews-Berlin_Icebar-Berlin.html,Skip-the-Line Tours,1 hour,At the Berlin Icebar everything is made of ice. Everything from the walls and furniture to the very glass you sip your beverage…,Free cancellation,99% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$25.46,per adult,More info,
308,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Insider Tour,https://www.tripadvisor.com/AttractionProductReview-g187323-d11452027-Third_Reich_Berlin_WalkingTour_Hitler_and_WWII-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/cc/ca/59/caption.jpg?w=500&h=400&s=1,Third Reich Berlin WalkingTour - Hitler and WWII,6.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11452027-Third_Reich_Berlin_WalkingTour_Hitler_and_WWII-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d629667-Reviews-Insider_Tour-Berlin.html,Rail Tours,3 hours,Discover the final days of World War 2 on this half-day walking tour of Berlin. Learn all about the events leading up to…,Free cancellation,99% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$21.50,per adult,More info,
126,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Fat Tire Tours Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d15341458-3_Hour_Berlin_Highlights_Bike_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ef/a2/ea/caption.jpg?w=500&h=400&s=1,3-Hour Berlin Highlights Bike Tour,7.,https://www.tripadvisor.com/AttractionProductReview-g187323-d15341458-3_Hour_Berlin_Highlights_Bike_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d736467-Reviews-Fat_Tire_Tours_Berlin-Berlin.html,City Tours,3 hours,"Enjoy a relaxed yet comprehensive 3-hour city tour introducing you to Berlin’s top sites.  You will see top attractions, …",Free cancellation,99% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$33.94,per adult,More info,
165,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Big Bus Tours Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d17719899-Big_Bus_Berlin_Hop_on_Hop_off_tour_with_Walking_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/70/d7/36/caption.jpg?w=500&h=400&s=1,Big Bus Berlin Hop on Hop off tour with Walking Tour,8.,https://www.tripadvisor.com/AttractionProductReview-g187323-d17719899-Big_Bus_Berlin_Hop_on_Hop_off_tour_with_Walking_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d17755134-Reviews-Big_Bus_Tours_Berlin-Berlin.html,Bus Tours,2 hours,"With magnificent views from an open-top bus, Big Bus Berlin is the perfect introduction to a city that went through a tumultuous…",Free cancellation,,,from,$30.55,per adult,More info,Taking safety measures
6,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By SPB Tours Berlin,https://www.tripadvisor.com/AttractionProductReview-g187364-d11485458-Shore_Excursion_Berlin_Sightseeing_with_round_trip_port_transfer-Warnemunde_Rostoc.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/f7/f1/caption.jpg?w=500&h=400&s=1,Shore Excursion: Berlin Sightseeing with round-trip port-transfer,9.,https://www.tripadvisor.com/AttractionProductReview-g187364-d11485458-Shore_Excursion_Berlin_Sightseeing_with_round_trip_port_transfer-Warnemunde_Rostoc.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d3371278-Reviews-SPB_Tours_Berlin-Berlin.html,Full-day Tours,6+ hours,"This tour is the best way for cruise passengers to experience Berlin!

You will be picked up directly at the port (either…",Free cancellation,,,from,$133.44,per adult,More info,
