,Image,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,,Clear all filters,Berlin,Germany,
1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/0d/22/caption.jpg?w=500&h=400&s=1,Discover Berlin Half-Day Walking Tour,City Tours,3–4 hours,$22.63,per adult,Free cancellation,By Original Berlin Walks,Berlin,Germany,https://www.tripadvisor.com/Attraction_Review-g187323-d735931-Reviews-Original_Berlin_Walks-Berlin.html
2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/ad/4e/caption.jpg?w=500&h=400&s=1,Private Berlin Complete History All Day Tour,Rail Tours,6–7 hours,$147.08,per adult,Free cancellation,By Birchys Berlin Tours,Berlin,Germany,https://www.tripadvisor.com/Attraction_Review-g187323-d16858951-Reviews-Birchys_Berlin_Tours-Berlin.html
3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/4b/11/caption.jpg?w=500&h=400&s=1,Sachsenhausen Concentration Camp Memorial Tour from Berlin,City Tours,6 hours,$28.28,per adult,Free cancellation,By Insider Tour,Berlin,Germany,https://www.tripadvisor.com/Attraction_Review-g187323-d629667-Reviews-Insider_Tour-Berlin.html
4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/47/2f/caption.jpg?w=500&h=400&s=1,3.5-Hour Guided Original Craft Beer Tour in Berlin,Walking Tours,3–4 hours,$67.88,per adult,Free cancellation,By Berlin Craft Beer Experience,Berlin,Germany,https://www.tripadvisor.com/Attraction_Review-g187323-d8641114-Reviews-Berlin_Craft_Beer_Experience-Berlin.html
5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/2a/64/af/caption.jpg?w=500&h=400&s=1,Berlin Icebar Experience Including 3 Drinks,Skip-the-Line Tours,1 hour,$25.46,per adult,Free cancellation,By Berlin Icebar,Berlin,Germany,https://www.tripadvisor.com/Attraction_Review-g187323-d17647979-Reviews-Berlin_Icebar-Berlin.html
6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/cc/ca/59/caption.jpg?w=500&h=400&s=1,Third Reich Berlin WalkingTour - Hitler and WWII,Rail Tours,3 hours,$21.50,per adult,Free cancellation,By Insider Tour,Berlin,Germany,https://www.tripadvisor.com/Attraction_Review-g187323-d629667-Reviews-Insider_Tour-Berlin.html
7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ef/a2/ea/caption.jpg?w=500&h=400&s=1,3-Hour Berlin Highlights Bike Tour,City Tours,3 hours,$33.94,per adult,Free cancellation,By Fat Tire Tours Berlin,Berlin,Germany,https://www.tripadvisor.com/Attraction_Review-g187323-d736467-Reviews-Fat_Tire_Tours_Berlin-Berlin.html
8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/70/d7/36/caption.jpg?w=500&h=400&s=1,Big Bus Berlin Hop on Hop off tour with Walking Tour,Bus Tours,2 hours,$30.55,per adult,Free cancellation,By Big Bus Tours Berlin,Berlin,Germany,https://www.tripadvisor.com/Attraction_Review-g187323-d17755134-Reviews-Big_Bus_Tours_Berlin-Berlin.html
9,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/f7/f1/caption.jpg?w=500&h=400&s=1,Shore Excursion: Berlin Sightseeing with round-trip port-transfer,Full-day Tours,6+ hours,$133.44,per adult,Free cancellation,By SPB Tours Berlin,Berlin,Germany,https://www.tripadvisor.com/Attraction_Review-g187323-d3371278-Reviews-SPB_Tours_Berlin-Berlin.html
