,Image,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,,Clear all filters,Cairo,Egypt,
1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/50/00/51/caption.jpg?w=500&h=400&s=1,"Private All Inclusive: Giza Pyramids, Sphinx, Memphis, Saqqara, Lunch & Camels",Car Tours,8–10 hours,$75.00,per adult,Free cancellation,By Let's Explore Egypt,Cairo,Egypt,https://www.tripadvisor.com/Attraction_Review-g294201-d7736828-Reviews-Let_s_Explore_Egypt-Cairo_Cairo_Governorate.html
2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a9/c4/ae/caption.jpg?w=500&h=400&s=1,Day Trip To Luxor From Cairo By Plane with Lunch,Bus Tours,10–12 hours,$320.00,per adult,Free cancellation,By Emo Tours Egypt,Cairo,Egypt,https://www.tripadvisor.com/Attraction_Review-g294201-d2430233-Reviews-Emo_Tours_Egypt-Cairo_Cairo_Governorate.html
3,,,Cold feet?,,,,,,Cairo,Egypt,
4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d1/79/ae/caption.jpg?w=500&h=400&s=1,"8-Hour Private Tour of the Pyramids, Egyptian Museum and Bazaar from Cairo",Bus Tours,8–10 hours,$64.00,per adult,Free cancellation,By Pyramids Land Private Tours,Cairo,Egypt,https://www.tripadvisor.com/Attraction_Review-g294201-d18313769-Reviews-Pyramids_Land_Private_Tours-Cairo_Cairo_Governorate.html
5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/ab/13/1e/caption.jpg?w=500&h=400&s=1,"Giza pyramids ,sphinx ,ATV bike ,camel ride ,shopping tour & dinner show",Bus Tours,6 hours,$87.00,per adult,Free cancellation,By Excursion Giza - Day tour,Cairo,Egypt,https://www.tripadvisor.com/Attraction_Review-g294202-d8594692-Reviews-Excursion_Giza_Day_tour-Giza_Giza_Governorate.html
6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/98/50/b2/caption.jpg?w=500&h=400&s=1,Day-Trip to Alexandria from Cairo by Private Car,Car Tours,10–12 hours,$45.00,per adult,Free cancellation,By Egypt Safe Travel,Cairo,Egypt,https://www.tripadvisor.com/Attraction_Review-g14182912-d19898218-Reviews-Egypt_Safe_Travel-Kafrat_Nassar_Giza_Governorate.html
7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/01/a1/b2/caption.jpg?w=500&h=400&s=1,"All inclusive Private Trip Giza Pyramids,Sphinx,Camel-Ride,Lunch,Entrance fees",Bus Tours,5 hours,$22.00,per adult,Free cancellation,By Let's Explore Egypt,Cairo,Egypt,https://www.tripadvisor.com/Attraction_Review-g294201-d7736828-Reviews-Let_s_Explore_Egypt-Cairo_Cairo_Governorate.html
8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/8c/df/7a/caption.jpg?w=500&h=400&s=1,Guided Tour To Alexandria From Cairo,Bus Tours,6+ hours,$55.00,per adult,Free cancellation,By Egypt Nile Felucca,Cairo,Egypt,https://www.tripadvisor.com/Attraction_Review-g13074027-d23174515-Reviews-Egypt_Nile_Felucca-New_Cairo_City_Cairo_Governorate.html
9,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/ca/58/53/caption.jpg?w=500&h=400&s=1,Cairo Private Day Tour to Egyptian Museum Citadel and Khan Khalili Bazaar,Car Tours,8–10 hours,$25.00,per adult,Free cancellation,By Emo Tours Egypt,Cairo,Egypt,https://www.tripadvisor.com/Attraction_Review-g730107-d20050876-Reviews-Emo_Tours_Egypt-Saqqara_Giza_Governorate.html
10,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/bb/ef/3a/caption.jpg?w=500&h=400&s=1,Inclusive Tour Giza Pyramids Sphinx Memphis Saqqara Lunch-Professional guide,Bus Tours,6+ hours,$65.00,per adult,Free cancellation,By My Cairo Tours,Cairo,Egypt,https://www.tripadvisor.com/Attraction_Review-g294201-d21238234-Reviews-My_Cairo_Tours-Cairo_Cairo_Governorate.html
11,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/07/30/d8/caption.jpg?w=500&h=400&s=1,Private Tour to Giza Pyramids and The Egyptian Museum,Classic Car Tours,6+ hours,$93.00,per adult,Free cancellation,By Cairo Tours & Packages / Memphis Tours Egypt,Cairo,Egypt,https://www.tripadvisor.com/Attraction_Review-g294201-d20398123-Reviews-Cairo_Tours_Packages_Memphis_Tours_Egypt-Cairo_Cairo_Governorate.html
12,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/e5/37/caption.jpg?w=500&h=400&s=1,2-Hour Nile River Night Dinner Cruise From Cairo,City Tours,3 hours,$40.00,per adult,Free cancellation,By Egypt Nile Felucca,Cairo,Egypt,https://www.tripadvisor.com/Attraction_Review-g13074027-d23174515-Reviews-Egypt_Nile_Felucca-New_Cairo_City_Cairo_Governorate.html
13,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/85/f3/6e/caption.jpg?w=500&h=400&s=1,"Amazing 4 Days Nile Cruise luxor,Aswan,abu simbel with Train Tickets from Cairo",Bus Tours,3+ days,$372.00,per adult,Free cancellation,By Mody Egypt Tours,Cairo,Egypt,https://www.tripadvisor.com/Attraction_Review-g294201-d17873457-Reviews-Mody_Egypt_Tours-Cairo_Cairo_Governorate.html
14,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dc/97/94/caption.jpg?w=500&h=400&s=1,"All inclusive Tour Giza Pyramids,Sphinx, Lunch,One Hour Quadbike,Camel ride",Bus Tours,5 hours,$75.00,per adult,Free cancellation,By Let's Explore Egypt,Cairo,Egypt,https://www.tripadvisor.com/Attraction_Review-g294201-d7736828-Reviews-Let_s_Explore_Egypt-Cairo_Cairo_Governorate.html
