,Image,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,,Clear all filters,Cape Town,South Africa,
1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/43/0e/caption.jpg?w=500&h=400&s=1,2 Day Safari Experience from Cape Town,Adventure Tours,2 days,$367.88,per adult,Free cancellation,By BokBus Garden Route Adventure Tours - Day Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g469392-d6661951-Reviews-BokBus_Garden_Route_Adventure_Tours_Day_Tours-Hout_Bay_Western_Cape.html
2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7e/33/94/caption.jpg?w=500&h=400&s=1,Shark Cage Diving and Viewing from Cape Town,,4 hours,$218.82,per adult,Free cancellation,By Marine Dynamics,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g472522-d1985812-Reviews-Marine_Dynamics-Gansbaai_Overstrand_Overberg_District_Western_Cape.html
3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1e/00/02/89/caption.jpg?w=500&h=400&s=1,Cape of Good Hope-Cape Point & Penguins Private Tour from Cape Town,Bus Tours,6+ hours,$120.83,per adult,Free cancellation,By Kabura Travel Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d8129742-Reviews-Kabura_Travel_Tours-Cape_Town_Central_Western_Cape.html
4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/6d/28/8b/caption.jpg?w=500&h=400&s=1,Cape of Good Hope and Penguins Full-Day Tour From Cape Town,Car Tours,6+ hours,$44.45,per adult,Free cancellation,By Cape Archives Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d17735704-Reviews-Cape_Archives_Tours-Cape_Town_Central_Western_Cape.html
5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/06/cc/caption.jpg?w=500&h=400&s=1,African Story Wine Tours in the Cape Winelands,Bus Tours,6+ hours,$85.47,per adult,Free cancellation,By African Story Wine Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d2264993-Reviews-African_Story_Wine_Tours-Cape_Town_Central_Western_Cape.html
6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/6e/bb/85/caption.jpg?w=500&h=400&s=1,"Table Mountain, Penguins & Cape Point Small Group Tour from Cape Town",Bus Tours,6+ hours,$54.02,per adult,Free cancellation,By Kabura Travel Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d8129742-Reviews-Kabura_Travel_Tours-Cape_Town_Central_Western_Cape.html
7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/7c/7d/58/caption.jpg?w=500&h=400&s=1,Private Full-Day Stellenbosch Wine Tour,Bus Tours,6+ hours,$143.60,per adult,Free cancellation,By Wine Escapes,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g469396-d2700995-Reviews-Wine_Escapes-Somerset_West_Western_Cape.html
8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/75/ce/caption.jpg?w=500&h=400&s=1,Private Sightseeing Trip to the Cape of Good Hope and Boulders Penguin Colony,Car Tours,6–9 hours,$109.26,per adult,Free cancellation,By Cape Archives Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d17735704-Reviews-Cape_Archives_Tours-Cape_Town_Central_Western_Cape.html
9,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/e0/24/caption.jpg?w=500&h=400&s=1,Full-Day Franschhoek Wine Tram Tour from Cape Town,Bus Tours,6+ hours,$44.10,per adult,Free cancellation,By City Sightseeing,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d1594066-Reviews-City_Sightseeing-Cape_Town_Central_Western_Cape.html
10,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/8a/6d/caption.jpg?w=500&h=400&s=1,Big-Five Safari Full Day Guided Private Transfer from Cape Town,Bus Tours,8–9 hours,$136.08,per adult,Free cancellation,By Born in Africa Tours,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g1722390-d8743075-Reviews-Born_in_Africa_Tours-Cape_Town_Western_Cape.html
11,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/27/64/21/caption.jpg?w=500&h=400&s=1,Half day Robben Island Tour.,Bus Tours,5 hours,$105.99,per adult,Free cancellation,By Aim Cape Tours.,Cape Town,South Africa,https://www.tripadvisor.com/Attraction_Review-g312659-d19938400-Reviews-Aim_Cape_Tours-Cape_Town_Central_Western_Cape.html
