cctrW,iPqaD,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 3,iPqaD href 3,WlYyy 4,WlYyy 5,ySnDE,WlYyy 6,ccVGl,WlYyy 8,ccVGl 2,WlYyy 9,dXxty
"Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,,,,,,,,,,,,,,,,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Shoreline Sightseeing,https://www.tripadvisor.com/AttractionProductReview-g35805-d11452109-Chicago_Architecture_River_Cruise-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/4b/16/caption.jpg?w=500&h=400&s=1,Chicago Architecture River Cruise,1.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11452109-Chicago_Architecture_River_Cruise-Chicago_Illinois.html#REVIEWS,"2,725",https://www.tripadvisor.com/Attraction_Review-g35805-d534489-Reviews-Shoreline_Sightseeing-Chicago_Illinois.html,City Tours,1 hour,Experience one of the world’s most beautiful cities on a cruise down the historic Chicago River. On this architecture cruise…,Free cancellation,from,$46.87,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Wendella,https://www.tripadvisor.com/AttractionProductReview-g35805-d15531342-90_Minute_Chicago_River_Architecture_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/31/8a/caption.jpg?w=500&h=400&s=1,90-Minute Chicago River Architecture Tour,2.,https://www.tripadvisor.com/AttractionProductReview-g35805-d15531342-90_Minute_Chicago_River_Architecture_Tour-Chicago_Illinois.html#REVIEWS,397,https://www.tripadvisor.com/Attraction_Review-g35805-d534491-Reviews-Wendella-Chicago_Illinois.html,City Tours,1–2 hours,"Be inspired by the captivating, visual art that is Chicago’s legendary architecture, and the exceptional architects who …",Free cancellation,from,$40.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Chicago Crime Tours and Experiences,https://www.tripadvisor.com/AttractionProductReview-g35805-d11453426-Chicago_Crime_and_Mob_Bus_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/4d/a8/53/caption.jpg?w=500&h=400&s=1,Chicago Crime and Mob Bus Tour,3.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11453426-Chicago_Crime_and_Mob_Bus_Tour-Chicago_Illinois.html#REVIEWS,685,https://www.tripadvisor.com/Attraction_Review-g35805-d4322209-Reviews-Chicago_Crime_Tours_and_Experiences-Chicago_Illinois.html,Bus Tours,1–2 hours,"Escape into Chicago's underworld on a crime and mob tour with stops on-and-off the luxury, climate-controlled bus. Walking…",Free cancellation,from,$46.00,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Chicago Gangsters and Ghosts Tours,https://www.tripadvisor.com/AttractionProductReview-g35805-d13387413-Gangsters_and_Ghosts_Tour_in_Chicago-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5a/f4/e0/caption.jpg?w=500&h=400&s=1,Gangsters and Ghosts Tour in Chicago,4.,https://www.tripadvisor.com/AttractionProductReview-g35805-d13387413-Gangsters_and_Ghosts_Tour_in_Chicago-Chicago_Illinois.html#REVIEWS,"1,424",https://www.tripadvisor.com/Attraction_Review-g35805-d13454414-Reviews-Chicago_Gangsters_and_Ghosts_Tours-Chicago_Illinois.html,City Tours,2 hours,Interested in exploring Chicago from the perspective of ghosts and gangsters? Want to really immerse yourself in the history…,Free cancellation,from,$35.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Bobby's Bike Hike Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d11448845-Chicago_Favorites_Ultimate_Food_Walking_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fc/60/7a/caption.jpg?w=500&h=400&s=1,Chicago Favorites Ultimate Food & Walking Tour,5.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11448845-Chicago_Favorites_Ultimate_Food_Walking_Tour-Chicago_Illinois.html#REVIEWS,155,https://www.tripadvisor.com/Attraction_Review-g35805-d659394-Reviews-Bobby_s_Bike_Hike_Chicago-Chicago_Illinois.html,City Tours,3 hours,Stroll through the beautiful streets of downtown Chicago and taste all of the Windy City’s favorite eats! Bobby’s Bike Hike…,Free cancellation,from,$74.99,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Wendella,https://www.tripadvisor.com/AttractionProductReview-g35805-d19058674-45_Minute_Chicago_River_Architecture_Tour_from_Magnificent_Mile-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/87/8d/20/caption.jpg?w=500&h=400&s=1,45-Minute Chicago River Architecture Tour from Magnificent Mile,6.,https://www.tripadvisor.com/AttractionProductReview-g35805-d19058674-45_Minute_Chicago_River_Architecture_Tour_from_Magnificent_Mile-Chicago_Illinois.html#REVIEWS,34,https://www.tripadvisor.com/Attraction_Review-g35805-d534491-Reviews-Wendella-Chicago_Illinois.html,City Tours,45 minutes,Experience Chicago's legendary architecture and the exceptional architects who created this ever-changing legacy for all…,Free cancellation,from,$25.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By BigBus Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d11464149-Big_Bus_Chicago_Hop_On_Hop_Off_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/87/56/16/caption.jpg?w=500&h=400&s=1,Big Bus Chicago Hop-On Hop-Off Tour,7.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11464149-Big_Bus_Chicago_Hop_On_Hop_Off_Tour-Chicago_Illinois.html#REVIEWS,677,https://www.tripadvisor.com/Attraction_Review-g35805-d8298701-Reviews-BigBus_Chicago-Chicago_Illinois.html,Bus Tours,2 hours,"The lakeside metropolis of Chicago is famous for its striking skyscrapers, world-class museums and colorful history. Explore…",Free cancellation,from,$44.10,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Intrepid Urban Adventures - Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d17565534-Chicago_in_a_Day_Food_History_and_Architecture_Combo_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c1/d3/6d/caption.jpg?w=500&h=400&s=1,"Chicago in a Day: Food, History and Architecture Combo Tour",8.,https://www.tripadvisor.com/AttractionProductReview-g35805-d17565534-Chicago_in_a_Day_Food_History_and_Architecture_Combo_Tour-Chicago_Illinois.html#REVIEWS,66,https://www.tripadvisor.com/Attraction_Review-g35805-d23471901-Reviews-Intrepid_Urban_Adventures_Chicago-Chicago_Illinois.html,City Tours,5 hours,Ready to discover some of the best Chicago has to offer with a local by your side? Join us on an epic tour of some of the…,Free cancellation,from,$104.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Heli Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d16804471-Private_45_Minute_Chicago_Skyline_Helicopter_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1e/67/cc/42/caption.jpg?w=500&h=400&s=1,Private 45-Minute Chicago Skyline Helicopter Tour,9.,https://www.tripadvisor.com/AttractionProductReview-g35805-d16804471-Private_45_Minute_Chicago_Skyline_Helicopter_Tour-Chicago_Illinois.html#REVIEWS,18,https://www.tripadvisor.com/Attraction_Review-g36669-d16778619-Reviews-Heli_Chicago-Schaumburg_Illinois.html,Helicopter Tours,45 minutes,This tour is unique as it offers the ability for you and two of your friends or family (a total of 3 passengers) to experience…,Free cancellation,from,$849.00,per group,More info,
