,Image,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,,Clear all filters,Chicago,USA,
1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/4b/16/caption.jpg?w=500&h=400&s=1,Chicago Architecture River Cruise,City Tours,1 hour,$46.87,per adult,Free cancellation,By Shoreline Sightseeing,Chicago,USA,https://www.tripadvisor.com/Attraction_Review-g35805-d534489-Reviews-Shoreline_Sightseeing-Chicago_Illinois.html
2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/31/8a/caption.jpg?w=500&h=400&s=1,90-Minute Chicago River Architecture Tour,City Tours,1–2 hours,$40.00,per adult,Free cancellation,By Wendella,Chicago,USA,https://www.tripadvisor.com/Attraction_Review-g35805-d534491-Reviews-Wendella-Chicago_Illinois.html
3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/4d/a8/53/caption.jpg?w=500&h=400&s=1,Chicago Crime and Mob Bus Tour,Bus Tours,1–2 hours,$46.00,per adult,Free cancellation,By Chicago Crime Tours and Experiences,Chicago,USA,https://www.tripadvisor.com/Attraction_Review-g35805-d4322209-Reviews-Chicago_Crime_Tours_and_Experiences-Chicago_Illinois.html
4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5a/f4/e0/caption.jpg?w=500&h=400&s=1,Gangsters and Ghosts Tour in Chicago,City Tours,2 hours,$35.00,per adult,Free cancellation,By Chicago Gangsters and Ghosts Tours,Chicago,USA,https://www.tripadvisor.com/Attraction_Review-g35805-d13454414-Reviews-Chicago_Gangsters_and_Ghosts_Tours-Chicago_Illinois.html
5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fc/60/7a/caption.jpg?w=500&h=400&s=1,Chicago Favorites Ultimate Food & Walking Tour,City Tours,3 hours,$74.99,per adult,Free cancellation,By Bobby's Bike Hike Chicago,Chicago,USA,https://www.tripadvisor.com/Attraction_Review-g35805-d659394-Reviews-Bobby_s_Bike_Hike_Chicago-Chicago_Illinois.html
6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/87/8d/20/caption.jpg?w=500&h=400&s=1,45-Minute Chicago River Architecture Tour from Magnificent Mile,City Tours,45 minutes,$25.00,per adult,Free cancellation,By Wendella,Chicago,USA,https://www.tripadvisor.com/Attraction_Review-g35805-d534491-Reviews-Wendella-Chicago_Illinois.html
7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/87/56/16/caption.jpg?w=500&h=400&s=1,Big Bus Chicago Hop-On Hop-Off Tour,Bus Tours,2 hours,$44.10,per adult,Free cancellation,By BigBus Chicago,Chicago,USA,https://www.tripadvisor.com/Attraction_Review-g35805-d8298701-Reviews-BigBus_Chicago-Chicago_Illinois.html
8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c1/d3/6d/caption.jpg?w=500&h=400&s=1,"Chicago in a Day: Food, History and Architecture Combo Tour",City Tours,5 hours,$104.00,per adult,Free cancellation,By Intrepid Urban Adventures - Chicago,Chicago,USA,https://www.tripadvisor.com/Attraction_Review-g35805-d23471901-Reviews-Intrepid_Urban_Adventures_Chicago-Chicago_Illinois.html
9,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1e/67/cc/42/caption.jpg?w=500&h=400&s=1,Private 45-Minute Chicago Skyline Helicopter Tour,Helicopter Tours,45 minutes,$849.00,per group,Free cancellation,By Heli Chicago,Chicago,USA,https://www.tripadvisor.com/Attraction_Review-g36669-d16778619-Reviews-Heli_Chicago-Schaumburg_Illinois.html
