,Image,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,,Clear all filters,Kuala Lumpur,Malaysia,
1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6c/b7/0a/caption.jpg?w=500&h=400&s=1,Private Half-Day Kuala Lumpur City Tour with KL Tower Observation Deck Ticket,Bus Tours,3–4 hours,$38.47,per adult,Free cancellation,By Kuala Lumpur Tours,Kuala Lumpur,Malaysia,https://www.tripadvisor.com/Attraction_Review-g298570-d7302974-Reviews-Kuala_Lumpur_Tours-Kuala_Lumpur_Wilayah_Persekutuan.html
2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/82/44/caption.jpg?w=500&h=400&s=1,Putrajaya Tours with Perahu Dondang Sayang from Kuala Lumpur,Bus Tours,4 hours,$61.54,per adult,Free cancellation,By Asni Global,Kuala Lumpur,Malaysia,https://www.tripadvisor.com/Attraction_Review-g298570-d15247099-Reviews-Asni_Global-Kuala_Lumpur_Wilayah_Persekutuan.html
3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/a5/06/7d/caption.jpg?w=500&h=400&s=1,KL Tower Observation Deck Admission Ticket,Skyscrapers & Towers,1 hour,$19.11,per adult,Free cancellation,By Menara Kuala Lumpur,Kuala Lumpur,Malaysia,https://www.tripadvisor.com/Attraction_Review-g298570-d454880-Reviews-Menara_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bf/5d/6e/caption.jpg?w=500&h=400&s=1,Discover the Best Local Food Tour by Night in Kuala Lumpur,Night Tours,2 hours,$35.07,per adult,Free cancellation,By Withlocals,Kuala Lumpur,Malaysia,https://www.tripadvisor.com/Attraction_Review-g298570-d10553662-Reviews-Withlocals-Kuala_Lumpur_Wilayah_Persekutuan.html
5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/e3/3f/caption.jpg?w=500&h=400&s=1,Blue Mosque And Batu Caves Tour,Bus Tours,5 hours,$28.21,per adult,Free cancellation,By TRAVEL INSIDE MALAYSIA,Kuala Lumpur,Malaysia,https://www.tripadvisor.com/Attraction_Review-g298314-d19430559-Reviews-TRAVEL_INSIDE_MALAYSIA-Sepang_Sepang_District_Selangor.html
6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/e7/bb/caption.jpg?w=500&h=400&s=1,Bird Park & Butterfly Farm Nature Include All Entrance Tour From Kuala Lumpur,Bus Tours,3–4 hours,$53.85,per adult,Free cancellation,By TRAVEL INSIDE MALAYSIA,Kuala Lumpur,Malaysia,https://www.tripadvisor.com/Attraction_Review-g298314-d19430559-Reviews-TRAVEL_INSIDE_MALAYSIA-Sepang_Sepang_District_Selangor.html
7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/73/26/e8/caption.jpg?w=500&h=400&s=1,Kuala Lumpur Bird Park Admission with Return Transfer,Zoo Tickets & Passes,1–2 hours,$47.44,per adult,Free cancellation,,Kuala Lumpur,Malaysia,
8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/93/46/caption.jpg?w=500&h=400&s=1,"Batu Caves,Waterfalls and Hot Springs Tour With Lunch",Bus Tours,6 hours,$49.68,per adult,Free cancellation,By Travel Yamu Experience at Malaysia,Kuala Lumpur,Malaysia,https://www.tripadvisor.com/Attraction_Review-g298570-d17188999-Reviews-Travel_Yamu_Experience_at_Malaysia-Kuala_Lumpur_Wilayah_Persekutuan.html
9,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/19/46/caption.jpg?w=500&h=400&s=1,Malaysia Countryside and Batu Caves Tour from Kuala Lumpur,Bus Tours,3–4 hours,$13.00,per adult,Free cancellation,By Asni Tours & Travels,Kuala Lumpur,Malaysia,https://www.tripadvisor.com/Attraction_Review-g298570-d13337019-Reviews-Asni_Tours_Travels-Kuala_Lumpur_Wilayah_Persekutuan.html
