,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,Clear all filters,Las Vegas,USA,
1,Lower or X Antelope Canyon & Horseshoe Bend Small Group Tour - Las Vegas,Bus Tours,6+ hours,$299.99,per adult,Free cancellation,By Coexist West Coast,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d14032155-Reviews-Coexist_West_Coast-Las_Vegas_Nevada.html
2,Secret Food Tours Las Vegas w/ Private Tour Option,Walking Tours,3 hours,$138.03,per adult,,By Secret Food Tours Las Vegas,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d13945769-Reviews-Secret_Food_Tours_Las_Vegas-Las_Vegas_Nevada.html
3,Happy Hour on The High Roller at The LINQ,Skyscrapers & Towers,30 minutes,$65.25,per adult,,By High Roller,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d6509306-Reviews-High_Roller-Las_Vegas_Nevada.html
4,Mystère by Cirque du Soleil at Treasure Island Hotel & Casino,Cirque du Soleil,1–2 hours,$74.99,per adult,,By Mystère by Cirque du Soleil,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d143009-Reviews-Mystere_by_Cirque_du_Soleil-Las_Vegas_Nevada.html
5,Vegas Mini Baja Chase Dune Buggy Adventure,Adventure Tours,3–4 hours,$221.45,per adult,Free cancellation,By Sunbuggy Fun Rentals,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d14140925-Reviews-Sunbuggy_Fun_Rentals-Las_Vegas_Nevada.html
6,The High Roller at The LINQ Ticket,Skyscrapers & Towers,30 minutes,$28.12,per adult,,By High Roller,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d6509306-Reviews-High_Roller-Las_Vegas_Nevada.html
7,Grand Canyon West Rim Luxury Helicopter Tour,Bus Tours,3 hours,$399.00,per adult,Free cancellation,By 5 Star Grand Canyon Helicopter Tours,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g60881-d3160367-Reviews-5_Star_Grand_Canyon_Helicopter_Tours-Boulder_City_Nevada.html
8,Valley of Fire Hiking Tour from Las Vegas,Walking Tours,5 hours,$118.99,per adult,Free cancellation,By Love Hikes,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d5984367-Reviews-Love_Hikes-Las_Vegas_Nevada.html
9,Morning Maverick Horseback Ride with Breakfast from Las Vegas,,5 hours,$119.99,per adult,Free cancellation,By Wild West Horseback Adventures,Las Vegas,USA,https://www.tripadvisor.com/Attraction_Review-g45963-d2044045-Reviews-Wild_West_Horseback_Adventures-Las_Vegas_Nevada.html
