,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,Clear all filters,London,UK,
1,"Stonehenge, Windsor Castle, and Bath from London",Bus Tours,6+ hours,$109.36,per adult,Free cancellation,By Evan Evans Tours,London,UK,https://www.tripadvisor.com/Attraction_Review-g186338-d2024932-Reviews-Evan_Evans_Tours-London_England.html
2,"Stonehenge, Windsor Castle and Bath with Pub Lunch in Lacock",Full-day Tours,6+ hours,$103.82,per adult,Free cancellation,By Premium Tours - London Tours,London,UK,https://www.tripadvisor.com/Attraction_Review-g186338-d655902-Reviews-Premium_Tours_London_Tours-London_England.html
3,Harry Potter Tour of Warner Bros. Studio with Transport from London,Bus Tours,6+ hours,$123.20,per adult,,By Premium Tours - London Tours,London,UK,https://www.tripadvisor.com/Attraction_Review-g186338-d655902-Reviews-Premium_Tours_London_Tours-London_England.html
4,Big Bus London Hop-On Hop-Off Tour and River Cruise,Bus Tours,2–3 hours,$43.19,per adult,Free cancellation,By Big Bus Tours,London,UK,https://www.tripadvisor.com/Attraction_Review-g186338-d187581-Reviews-Big_Bus_Tours-London_England.html
5,Warner Bros. Studio Harry Potter Tour with Superior Transport from London,Bus Tours,6+ hours,$123.20,per adult,,By Evan Evans Tours,London,UK,https://www.tripadvisor.com/Attraction_Review-g186338-d2024932-Reviews-Evan_Evans_Tours-London_England.html
6,"Windsor Castle, Stonehenge, and Oxford Day Trip from London",Bus Tours,6+ hours,$89.98,per adult,Free cancellation,By Evan Evans Tours,London,UK,https://www.tripadvisor.com/Attraction_Review-g186338-d2024932-Reviews-Evan_Evans_Tours-London_England.html
7,Stonehenge and Bath Day Trip from London,Full-day Tours,6+ hours,$98.28,per adult,Free cancellation,By Premium Tours - London Tours,London,UK,https://www.tripadvisor.com/Attraction_Review-g186338-d655902-Reviews-Premium_Tours_London_Tours-London_England.html
8,Oxford and Traditional Cotswolds Villages Small-Group Day Tour from London,Bus Tours,6+ hours,$92.46,per adult,Free cancellation,By Rabbie's,London,UK,https://www.tripadvisor.com/Attraction_Review-g186338-d8387541-Reviews-Rabbie_s-London_England.html
9,"Windsor Castle, Stonehenge and Bath Tour from London with Admission",Bus Tours,6+ hours,$89.98,per adult,Free cancellation,By Golden Tours,London,UK,https://www.tripadvisor.com/Attraction_Review-g186338-d663796-Reviews-Golden_Tours-London_England.html
