,Image,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,,Clear all filters,Madrid,Spain,
1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/69/f4/caption.jpg?w=500&h=400&s=1,Full Day Tour Ávila and Segovia from Madrid with Tickets to Monuments Included,Full-day Tours,6+ hours,$87.11,per adult,Free cancellation,By Fun and Tickets Madrid,Madrid,Spain,https://www.tripadvisor.com/Attraction_Review-g187514-d15631566-Reviews-Fun_and_Tickets_Madrid-Madrid.html
2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/74/62/09/caption.jpg?w=500&h=400&s=1,Madrid Tapas and Wine Tasting Tour,Wine Tours,3 hours,$90.51,per adult,Free cancellation,By Gourmet Madrid Tours,Madrid,Spain,https://www.tripadvisor.com/Attraction_Review-g187514-d1763908-Reviews-Gourmet_Madrid_Tours-Madrid.html
3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/54/f3/1e/caption.jpg?w=500&h=400&s=1,Full-Day Toledo Tour with Cathedral from Madrid,Bus Tours,6+ hours,$101.82,per adult,Free cancellation,By Fun and Tickets Madrid,Madrid,Spain,https://www.tripadvisor.com/Attraction_Review-g187514-d15631566-Reviews-Fun_and_Tickets_Madrid-Madrid.html
4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/2d/68/85/caption.jpg?w=500&h=400&s=1,Flamenco Show & Special Menu at Torres Bermejas in Madrid,Shows,1 hour,$28.28,per adult,Free cancellation,By Torres Bermejas,Madrid,Spain,https://www.tripadvisor.com/Attraction_Review-g187514-d10265008-Reviews-Torres_Bermejas-Madrid.html
5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/12/bf/9a/caption.jpg?w=500&h=400&s=1,Toledo and Segovia Tour with optional Visit to Avila. Three Cities in One Day,Bus Tours,11–13 hours,$77.00,per adult,Free cancellation,By Amigo Tours,Madrid,Spain,https://www.tripadvisor.com/Attraction_Review-g187514-d10263143-Reviews-Amigo_Tours-Madrid.html
6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/74/6f/3e/caption.jpg?w=500&h=400&s=1,"Tapas, Taverns & History Private Tour in Madrid",Wine Tours,4 hours,$123.32,per adult,Free cancellation,By Devour Madrid Food Tours,Madrid,Spain,https://www.tripadvisor.com/Attraction_Review-g187514-d3388332-Reviews-Devour_Madrid_Food_Tours-Madrid.html
7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/74/7d/27/caption.jpg?w=500&h=400&s=1,Wine Tasting Small Group Tour from Madrid,Wine Tours,6 hours,$152.73,per adult,Free cancellation,By Gourmet Madrid Tours,Madrid,Spain,https://www.tripadvisor.com/Attraction_Review-g187514-d1763908-Reviews-Gourmet_Madrid_Tours-Madrid.html
8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/60/9a/caption.jpg?w=500&h=400&s=1,Highlights of Madrid by Bike,City Tours,3 hours,$28.28,per adult,Free cancellation,By Rent & Roll,Madrid,Spain,https://www.tripadvisor.com/Attraction_Review-g187514-d4059499-Reviews-Rent_Roll-Madrid.html
9,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/75/5f/22/caption.jpg?w=500&h=400&s=1,4-hour Spanish Cooking Class in Madrid,Cooking Classes,4 hours,$79.20,per adult,Free cancellation,By Cooking Point,Madrid,Spain,https://www.tripadvisor.com/Attraction_Review-g187514-d4888426-Reviews-Cooking_Point-Madrid.html
