WlYyy,cctrW,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,ySnDE,WlYyy 4,WlYyy 5,cctrW 2,ccVGl,WlYyy 6,ccVGl 2,WlYyy 7,dXxty
791 places sorted by traveler favorites,"Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,https://www.tripadvisor.com/ClientLink?value=Um9zXy9BdHRyYWN0aW9ucy1nMzA0NTU0LUFjdGl2aXRpZXMtYV9hbGxBdHRyYWN0aW9ucy50cnVlLU11bWJhaV9NYWhhcmFzaHRyYS5odG1sX3FDeQ%3D%3D,,,,,,,,,,,,,,,,
215,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Magical Mumbai Tours,https://www.tripadvisor.com/AttractionProductReview-g304554-d11487374-5_Hour_Private_Mumbai_Sightseeing_Tour-Mumbai_Maharashtra.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g304554-d11487374-5_Hour_Private_Mumbai_Sightseeing_Tour-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5a/33/2c/caption.jpg?w=500&h=400&s=1,5-Hour Private Mumbai Sightseeing Tour,1.,https://www.tripadvisor.com/Attraction_Review-g304554-d10239231-Reviews-Magical_Mumbai_Tours-Mumbai_Maharashtra.html,Bus Tours,5 hours,"Our guide & driver will pick you up from your hotel lobby & transfer into air condition car, During this tour, a professional…",Free cancellation,95% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$54.71,per adult,More info,
29,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Bombay to Mumbai Tours,https://www.tripadvisor.com/AttractionProductReview-g304554-d19441882-Elephanta_Tour_with_Mumbai_Sightseeing_Including_AC_vehicle-Mumbai_Maharashtra.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g304554-d19441882-Elephanta_Tour_with_Mumbai_Sightseeing_Including_AC_vehicle-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/f7/3b/5d/caption.jpg?w=500&h=400&s=1,Elephanta Tour with Mumbai Sightseeing Including AC vehicle,2.,https://www.tripadvisor.com/Attraction_Review-g304554-d14201312-Reviews-Bombay_to_Mumbai_Tours-Mumbai_Maharashtra.html,Bus Tours,7–8 hours,"Mumbai is considered among India’s must-see cities, but mastering the public transport system to explore independently takes…",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$165.67,per adult,More info,
61,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Reality Tours and Travel,https://www.tripadvisor.com/AttractionProductReview-g304554-d11453740-Mumbai_Street_Food_Tour-Mumbai_Maharashtra.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g304554-d11453740-Mumbai_Street_Food_Tour-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/48/95/caption.jpg?w=500&h=400&s=1,Mumbai Street Food Tour,3.,https://www.tripadvisor.com/Attraction_Review-g304554-d1931951-Reviews-Reality_Tours_and_Travel-Mumbai_Maharashtra.html,Bus Tours,3–4 hours,Mumbai (Bombay) is a city best experienced through its diverse and delicious street food. Identifying authentic food on …,Free cancellation,95% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$41.03,per adult,More info,
58,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Mystical Mumbai,https://www.tripadvisor.com/AttractionProductReview-g304554-d11482766-Mumbai_Elephanta_Caves_Private_Half_Day_Tour_including_Guide-Mumbai_Maharashtra.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g304554-d11482766-Mumbai_Elephanta_Caves_Private_Half_Day_Tour_including_Guide-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/4e/57/caption.jpg?w=500&h=400&s=1,Mumbai Elephanta Caves Private Half-Day Tour including Guide,4.,https://www.tripadvisor.com/Attraction_Review-g304554-d3916052-Reviews-Mystical_Mumbai-Mumbai_Maharashtra.html,Ports of Call Tours,4 hours,"Visit the Elephanta Caves on this 4-hour tour. Explore the more enormous Hindu caves, the smaller Buddhist caves as well…",Free cancellation,93% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$65.00,per adult,More info,
32,,By Oyster Sailing,https://www.tripadvisor.com/AttractionProductReview-g304554-d19873113-Mumbai_Sky_Line_Private_Sailing_Excursion_for_up_to_5ppl-Mumbai_Maharashtra.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g304554-d19873113-Mumbai_Sky_Line_Private_Sailing_Excursion_for_up_to_5ppl-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/91/43/1f/caption.jpg?w=500&h=400&s=1,Mumbai Sky Line Private Sailing Excursion for up to 5ppl,5.,https://www.tripadvisor.com/Attraction_Review-g304554-d6483990-Reviews-Oyster_Sailing-Mumbai_Maharashtra.html,Adventure Tours,2 hours,"Create a panache of memories with your love ones in galore to all the serenity.

Feel the wind & thrill of sailing. Feast…",,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$71.48,per group,More info,Taking safety measures
3,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Discover Activities,https://www.tripadvisor.com/AttractionProductReview-g304554-d20357111-Sula_Vineyards_Day_tour_from_Mumbai-Mumbai_Maharashtra.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g304554-d20357111-Sula_Vineyards_Day_tour_from_Mumbai-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/33/82/03/caption.jpg?w=500&h=400&s=1,Sula Vineyards Day tour from Mumbai,6.,https://www.tripadvisor.com/Attraction_Review-g304551-d15780525-Reviews-Discover_Activities-New_Delhi_National_Capital_Territory_of_Delhi.html,Full-day Tours,8–12 hours,"Sula Vineyards is a perfect getaway; acres of land with wine grape plants, a wine factory and wine tasting. Can spend the…",Free cancellation,,,from,$85.34,per adult,More info,Taking safety measures
4,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Mystical Mumbai,https://www.tripadvisor.com/AttractionProductReview-g304554-d12935012-Private_Jewish_Heritage_Tour-Mumbai_Maharashtra.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g304554-d12935012-Private_Jewish_Heritage_Tour-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/18/40/caption.jpg?w=500&h=400&s=1,Private Jewish Heritage Tour,7.,https://www.tripadvisor.com/Attraction_Review-g304554-d3916052-Reviews-Mystical_Mumbai-Mumbai_Maharashtra.html,Ports of Call Tours,4–5 hours,"Explore a 4-hour Private guided tour of the Jewish's most famous landmarks, must-sees, and all-time hits in Bollywood city…",Free cancellation,,,from,$60.00,per adult,More info,
30,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Mystical Mumbai,https://www.tripadvisor.com/AttractionProductReview-g304554-d11482767-Private_Mumbai_Sightseeing_Tour_Including_Dharavi_Slum-Mumbai_Maharashtra.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g304554-d11482767-Private_Mumbai_Sightseeing_Tour_Including_Dharavi_Slum-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/17/c3/caption.jpg?w=500&h=400&s=1,Private Mumbai Sightseeing Tour Including Dharavi Slum,8.,https://www.tripadvisor.com/Attraction_Review-g304554-d3916052-Reviews-Mystical_Mumbai-Mumbai_Maharashtra.html,Bus Tours,6 hours,The 6-hour private tour includes a 2-hour walking tour of Dharavi Slum and a visit to the most iconic sights in Mumbai. …,Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$184.62,per group,More info,
38,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Bollywood Tours,https://www.tripadvisor.com/AttractionProductReview-g304554-d11803768-Bollywood_Studio_Tour_experience-Mumbai_Maharashtra.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g304554-d11803768-Bollywood_Studio_Tour_experience-Mumbai_Maharashtra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/18/1f/caption.jpg?w=500&h=400&s=1,Bollywood Studio Tour experience,9.,https://www.tripadvisor.com/Attraction_Review-g304554-d1997275-Reviews-Bollywood_Tours-Mumbai_Maharashtra.html,Bus Tours,1–2 hours,"This is just a simple and budget  tour ,for those who just want to see a studio sets and live shooting,this tour is just…",Free cancellation,SPECIAL OFFER,,from,$36.16,per adult,More info,Taking safety measures
