,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,Clear all filters,Mumbai,India,
1,5-Hour Private Mumbai Sightseeing Tour,Bus Tours,5 hours,$54.71,per adult,Free cancellation,By Magical Mumbai Tours,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d10239231-Reviews-Magical_Mumbai_Tours-Mumbai_Maharashtra.html
2,Elephanta Tour with Mumbai Sightseeing Including AC vehicle,Bus Tours,7–8 hours,$165.67,per adult,Free cancellation,By Bombay to Mumbai Tours,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d14201312-Reviews-Bombay_to_Mumbai_Tours-Mumbai_Maharashtra.html
3,Mumbai Street Food Tour,Bus Tours,3–4 hours,$41.03,per adult,Free cancellation,By Reality Tours and Travel,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d1931951-Reviews-Reality_Tours_and_Travel-Mumbai_Maharashtra.html
4,Mumbai Elephanta Caves Private Half-Day Tour including Guide,Ports of Call Tours,4 hours,$65.00,per adult,Free cancellation,By Mystical Mumbai,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d3916052-Reviews-Mystical_Mumbai-Mumbai_Maharashtra.html
5,Mumbai Sky Line Private Sailing Excursion for up to 5ppl,Adventure Tours,2 hours,$71.48,per group,,By Oyster Sailing,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d6483990-Reviews-Oyster_Sailing-Mumbai_Maharashtra.html
6,Sula Vineyards Day tour from Mumbai,Full-day Tours,8–12 hours,$85.34,per adult,Free cancellation,By Discover Activities,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304551-d15780525-Reviews-Discover_Activities-New_Delhi_National_Capital_Territory_of_Delhi.html
7,Private Jewish Heritage Tour,Ports of Call Tours,4–5 hours,$60.00,per adult,Free cancellation,By Mystical Mumbai,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d3916052-Reviews-Mystical_Mumbai-Mumbai_Maharashtra.html
8,Private Mumbai Sightseeing Tour Including Dharavi Slum,Bus Tours,6 hours,$184.62,per group,Free cancellation,By Mystical Mumbai,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d3916052-Reviews-Mystical_Mumbai-Mumbai_Maharashtra.html
9,Bollywood Studio Tour experience,Bus Tours,1–2 hours,$36.16,per adult,Free cancellation,By Bollywood Tours,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d1997275-Reviews-Bollywood_Tours-Mumbai_Maharashtra.html
10,Mumbai Bicycle Tour,Bike Tours,3–4 hours,$41.03,per adult,Free cancellation,By Reality Tours and Travel,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d1931951-Reviews-Reality_Tours_and_Travel-Mumbai_Maharashtra.html
11,Small-Group Bike Tour of Mumbai,City Tours,3 hours,$40.00,per adult,Free cancellation,By Mystical Mumbai,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d3916052-Reviews-Mystical_Mumbai-Mumbai_Maharashtra.html
12,The Original Mumbai by Dawn - Recommended by Nigella Lawson & Nat Geo Traveller!,Bus Tours,3 hours,$82.74,per adult,Free cancellation,By No Footprints,Mumbai,India,https://www.tripadvisor.com/Attraction_Review-g304554-d12670168-Reviews-No_Footprints-Mumbai_Maharashtra.html
