WlYyy,cctrW,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,WlYyy 2,iPqaD href 2,WlYyy 3,WlYyy 4,ySnDE,dXxty,WlYyy 5,ccVGl,WlYyy 6,ccVGl 2,WlYyy 7,WlYyy 8,cctrW 2
"2,000+ places sorted by traveler favorites","Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,https://www.tripadvisor.com/ClientLink?value=VXAxXy9BdHRyYWN0aW9ucy1nMTg3MTQ3LUFjdGl2aXRpZXMtYV9hbGxBdHRyYWN0aW9ucy50cnVlLVBhcmlzX0lsZV9kZV9GcmFuY2UuaHRtbF9xTEM%3D,,,,,,,,,,,,,,,,,
BEST SELLER,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Bateaux Parisiens,https://www.tripadvisor.com/AttractionProductReview-g187147-d11979678-Bateaux_Parisiens_Seine_River_Gourmet_Dinner_Sightseeing_Cruise-Paris_Ile_de_Franc.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11979678-Bateaux_Parisiens_Seine_River_Gourmet_Dinner_Sightseeing_Cruise-Paris_Ile_de_Franc.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/66/0d/be/caption.jpg?w=500&h=400&s=1,Bateaux Parisiens Seine River Gourmet Dinner & Sightseeing Cruise,1.,"1,024",https://www.tripadvisor.com/Attraction_Review-g187147-d654725-Reviews-Bateaux_Parisiens-Paris_Ile_de_France.html,Sunset Cruises,2–3 hours,Combine a glamorous dinner in Paris with sights of the city's must-see attractions on this evening sightseeing cruise down…,Taking safety measures,Free cancellation,from,$122.19,per adult,More info,,
BEST SELLER,,By Moulin Rouge,https://www.tripadvisor.com/AttractionProductReview-g187147-d11450391-Paris_Moulin_Rouge_Cabaret_Show_with_Champagne_Only_or_Dinner-Paris_Ile_de_France.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11450391-Paris_Moulin_Rouge_Cabaret_Show_with_Champagne_Only_or_Dinner-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/66/0d/b6/caption.jpg?w=500&h=400&s=1,Paris Moulin Rouge Cabaret Show with Champagne Only or Dinner,2.,433,https://www.tripadvisor.com/Attraction_Review-g187147-d189283-Reviews-Moulin_Rouge-Paris_Ile_de_France.html,Dinner and Show,2 hours,"The Moulin Rouge is the number one show in Paris, if not the whole of Europe. No wonder it sells out quickly! Don't miss…",Taking safety measures,,from,$101.82,per adult,More info,,
BEST SELLER,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By City Wonders,https://www.tripadvisor.com/AttractionProductReview-g187147-d11449776-Louvre_Museum_Skip_the_Line_Guided_Tour_with_Venus_de_Milo_Mona_Lisa-Paris_Ile_de_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11449776-Louvre_Museum_Skip_the_Line_Guided_Tour_with_Venus_de_Milo_Mona_Lisa-Paris_Ile_de_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/66/16/d5/caption.jpg?w=500&h=400&s=1,Louvre Museum Skip-the-Line Guided Tour with Venus de Milo & Mona Lisa,3.,847,https://www.tripadvisor.com/Attraction_Review-g187147-d1784427-Reviews-City_Wonders-Paris_Ile_de_France.html,Private and Luxury,3 hours,Take a small group or a private (depending on the option you choose) walking tour of the Louvre Museum in Paris and jump…,,Free cancellation,from,$63.36,per adult,More info,91% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Blue Fox Travel - Blue Bike Tours,https://www.tripadvisor.com/AttractionProductReview-g187147-d11473257-Normandy_D_Day_Small_Group_Day_Trip_with_Omaha_Beach_Cemetery_Cider_Tasting-Paris_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11473257-Normandy_D_Day_Small_Group_Day_Trip_with_Omaha_Beach_Cemetery_Cider_Tasting-Paris_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/67/de/4a/caption.jpg?w=500&h=400&s=1,"Normandy D-Day Small-Group Day Trip with Omaha Beach, Cemetery & Cider Tasting",4.,431,https://www.tripadvisor.com/Attraction_Review-g187147-d2626587-Reviews-Blue_Fox_Travel_Blue_Bike_Tours-Paris_Ile_de_France.html,Bus Tours,12–13 hours,"Visit the most important D-Day sites in Normandy on this small-group day trip from Paris. You'll walk on Omaha Beach, go…",,Free cancellation,from,$237.59,per adult,More info,99% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher
BEST SELLER,,By Mon Petit Paris,https://www.tripadvisor.com/AttractionProductReview-g187147-d12467083-Eiffel_Tower_Skip_the_Line_and_Small_Group_Tour_with_Summit_Access_by_elevator-Par.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d12467083-Eiffel_Tower_Skip_the_Line_and_Small_Group_Tour_with_Summit_Access_by_elevator-Par.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/2e/7f/caption.jpg?w=500&h=400&s=1,Eiffel Tower Skip the Line and Small Group Tour with Summit Access by elevator,5.,254,https://www.tripadvisor.com/Attraction_Review-g187147-d20264313-Reviews-Mon_Petit_Paris-Paris_Ile_de_France.html,Skyscrapers & Towers,1–2 hours,Skip the notorious long lines at the Eiffel Tower and discover Paris' most famous landmark with a local and passionate guide…,Taking safety measures,,from,$84.85,per adult,More info,,
BEST SELLER,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Bateaux Parisiens,https://www.tripadvisor.com/AttractionProductReview-g187147-d11979679-Bateaux_Parisiens_Seine_River_Gourmet_Lunch_Sightseeing_Cruise-Paris_Ile_de_France.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11979679-Bateaux_Parisiens_Seine_River_Gourmet_Lunch_Sightseeing_Cruise-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/66/32/52/caption.jpg?w=500&h=400&s=1,Bateaux Parisiens Seine River Gourmet Lunch & Sightseeing Cruise,6.,298,https://www.tripadvisor.com/Attraction_Review-g187147-d654725-Reviews-Bateaux_Parisiens-Paris_Ile_de_France.html,Lunch Cruises,2 hours,Treat yourself to an elegant lunch in Paris with this 2-hour afternoon sightseeing cruise down the Seine River. Aboard your…,Taking safety measures,Free cancellation,from,$82.59,per adult,More info,,
LIKELY TO SELL OUT*,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Babylon Tours Paris,https://www.tripadvisor.com/AttractionProductReview-g187147-d11457682-Louvre_Museum_Skip_the_line_Access_Private_Guided_Tour-Paris_Ile_de_France.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11457682-Louvre_Museum_Skip_the_line_Access_Private_Guided_Tour-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/71/7e/0a/caption.jpg?w=500&h=400&s=1,Louvre Museum Skip-the-line Access Private Guided Tour,7.,368,https://www.tripadvisor.com/Attraction_Review-g187147-d3205960-Reviews-Babylon_Tours_Paris-Paris_Ile_de_France.html,Private and Luxury,2–3 hours,Beat the entrance lines to one of France’s top attractions and explore with ease on this 2.5 hour skip-the-line guided Louvre…,,Free cancellation,from,$130.72,per adult,More info,99% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Paris City Vision,https://www.tripadvisor.com/AttractionProductReview-g187147-d11446440-Versailles_Palace_Guided_Tour_with_Gardens_Fountains_Show_from_Paris-Paris_Ile_de_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11446440-Versailles_Palace_Guided_Tour_with_Gardens_Fountains_Show_from_Paris-Paris_Ile_de_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/5a/2d/e5/caption.jpg?w=500&h=400&s=1,Versailles Palace Guided Tour with Gardens & Fountains Show from Paris,8.,92,https://www.tripadvisor.com/Attraction_Review-g187147-d667302-Reviews-Paris_City_Vision-Paris_Ile_de_France.html,Bus Tours,5 hours,Step back in time from Paris to Queen Marie Antoinette’s reign and marvel at the opulent luxury of the Royal Courts on this…,Taking safety measures,Free cancellation,from,$113.83,per adult,More info,,
BEST SELLER,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Big Bus Paris,https://www.tripadvisor.com/AttractionProductReview-g187147-d11454297-Big_Bus_Paris_Hop_On_Hop_Off_Tour-Paris_Ile_de_France.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g187147-d11454297-Big_Bus_Paris_Hop_On_Hop_Off_Tour-Paris_Ile_de_France.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/45/41/b8/caption.jpg?w=500&h=400&s=1,Big Bus Paris Hop-On Hop-Off Tour,9.,"2,211",https://www.tripadvisor.com/Attraction_Review-g187147-d1008070-Reviews-Big_Bus_Paris-Paris_Ile_de_France.html,Bus Tours,2 hours,"Discover the sights of Paris on a Big Bus hop-on hop-off tour! Aboard an open-top, double-decker bus, admire panoramic views…",Taking safety measures,Free cancellation,from,$39.71,per adult,More info,,
