,Image,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,,Clear all filters,Shanghai,China,
1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5e/1d/d5/caption.jpg?w=500&h=400&s=1,"Shanghai Private Tour with River Cruise, Shanghai Tower, and Lunch or Dinner",Bus Tours,5 hours,$176.50,per adult,Free cancellation,By Amazing Shanghai Trip,Shanghai,China,https://www.tripadvisor.com/Attraction_Review-g308272-d10447058-Reviews-Amazing_Shanghai_Trip-Shanghai.html
2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/51/2b/d3/caption.jpg?w=500&h=400&s=1,Half Day Private Tour to Zhujiajiao Water Town with Boat Ride from Shanghai,Bus Tours,4–5 hours,$134.50,per adult,Free cancellation,By Amazing Shanghai Trip,Shanghai,China,https://www.tripadvisor.com/Attraction_Review-g308272-d10447058-Reviews-Amazing_Shanghai_Trip-Shanghai.html
3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/e4/28/caption.jpg?w=500&h=400&s=1,Shanghai Night River Cruise Tour with Xinjiang Style Dining Experience,Bus Tours,3 hours,$138.00,per adult,Free cancellation,By Amazing Shanghai Trip,Shanghai,China,https://www.tripadvisor.com/Attraction_Review-g308272-d10447058-Reviews-Amazing_Shanghai_Trip-Shanghai.html
4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/65/1a/b5/caption.jpg?w=500&h=400&s=1,Authentic Local Food Tour in Central Shanghai,City Tours,3 hours,$67.00,per adult,Free cancellation,By Shanghai Foodie,Shanghai,China,https://www.tripadvisor.com/Attraction_Review-g308272-d10382938-Reviews-Shanghai_Foodie-Shanghai.html
5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/95/46/caption.jpg?w=500&h=400&s=1,Zhujiajiao Water Town and Shanghai City Private Day Tour,Bus Tours,6+ hours,$208.00,per adult,Free cancellation,By Amazing Shanghai Trip,Shanghai,China,https://www.tripadvisor.com/Attraction_Review-g308272-d10447058-Reviews-Amazing_Shanghai_Trip-Shanghai.html
6,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/3e/05/fc/caption.jpg?w=500&h=400&s=1,Shanghai Circus World: ERA Intersection of Time Acrobatics Show,Theaters,2 hours,$48.00,per adult,,By Shanghai Circus World,Shanghai,China,https://www.tripadvisor.com/Attraction_Review-g308272-d459914-Reviews-Shanghai_Circus_World-Shanghai.html
7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/5c/36/caption.jpg?w=500&h=400&s=1,Private Full-Day Tour: Shanghai Old and New Highlights,Bus Tours,7–8 hours,$121.50,per adult,Free cancellation,By Sunny Tours Shanghai,Shanghai,China,https://www.tripadvisor.com/Attraction_Review-g308272-d2562015-Reviews-Sunny_Tours_Shanghai-Shanghai.html
8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7a/ef/7d/caption.jpg?w=500&h=400&s=1,Eat Like A Local: Shanghai Night Food Tour,Night Tours,3 hours,$84.00,per adult,Free cancellation,By UnTour Shanghai Food Tours,Shanghai,China,https://www.tripadvisor.com/Attraction_Review-g308272-d2013889-Reviews-UnTour_Shanghai_Food_Tours-Shanghai.html
9,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/f4/0c/caption.jpg?w=500&h=400&s=1,Half-Day Private Zhujiajiao Water Town Tour with Boat Ride from Shanghai,Bus Tours,5 hours,$140.00,per adult,Free cancellation,By Shanghai Driver Guide,Shanghai,China,https://www.tripadvisor.com/Attraction_Review-g308272-d4478949-Reviews-Shanghai_Driver_Guide-Shanghai.html
10,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/98/1b/54/caption.jpg?w=500&h=400&s=1,Private Full-Day Tour: Incredible Shanghai Highlights,Public Transportation Tours,6+ hours,$99.00,per adult,Free cancellation,By Jenny's Shanghai Tours,Shanghai,China,https://www.tripadvisor.com/Attraction_Review-g308272-d7812486-Reviews-Jenny_s_Shanghai_Tours-Shanghai.html
11,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5e/31/ee/caption.jpg?w=500&h=400&s=1,Suzhou Private Day Trip from Shanghai with Bullet Train Option,Bus Tours,8–9 hours,$180.00,per adult,Free cancellation,By Sunny Tours Shanghai,Shanghai,China,https://www.tripadvisor.com/Attraction_Review-g308272-d2562015-Reviews-Sunny_Tours_Shanghai-Shanghai.html
12,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/f3/d4/caption.jpg?w=500&h=400&s=1,Private Evening Tour: VIP Huangpu River Cruise and Shanghai Lights,Bus Tours,3–4 hours,$128.00,per adult,Free cancellation,By Shanghai Driver Guide,Shanghai,China,https://www.tripadvisor.com/Attraction_Review-g308272-d4478949-Reviews-Shanghai_Driver_Guide-Shanghai.html
