WlYyy,cctrW,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,ySnDE,dXxty,ccVGl,WlYyy 4,ccVGl 2,WlYyy 5,WlYyy 6,WlYyy 7,cctrW 2
617 places sorted by traveler favorites,"Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,https://www.tripadvisor.com/ClientLink?value=U0NhXy9BdHRyYWN0aW9ucy1nMjk0MjY1LUFjdGl2aXRpZXMtYV9hbGxBdHRyYWN0aW9ucy50cnVlLVNpbmdhcG9yZS5odG1sX2FNaw%3D%3D,,,,,,,,,,,,,,,,
4,,By Hello Singapore,https://www.tripadvisor.com/AttractionProductReview-g294264-d15040635-Singapore_Sunset_Cruise_On_A_Luxury_Catamaran-Sentosa_Island.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294264-d15040635-Singapore_Sunset_Cruise_On_A_Luxury_Catamaran-Sentosa_Island.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/70/0d/caption.jpg?w=500&h=400&s=1,Singapore Sunset Cruise On A Luxury Catamaran,1.,https://www.tripadvisor.com/Attraction_Review-g294265-d12498713-Reviews-Hello_Singapore-Singapore.html,City Tours,3 hours,"Relax and recharge.

Spacious 40ft catamaran.

Spend an evening cruising around the Southern Islands of Singapore on this…",Taking safety measures,from,$82.28,per adult,More info,,,
199,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By The Royal Albatross,https://www.tripadvisor.com/AttractionProductReview-g294264-d17553417-Sunset_Sail_Dinner_Cruise-Sentosa_Island.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294264-d17553417-Sunset_Sail_Dinner_Cruise-Sentosa_Island.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/5b/c3/caption.jpg?w=500&h=400&s=1,Sunset Sail - Dinner Cruise,2.,https://www.tripadvisor.com/Attraction_Review-g294265-d7682657-Reviews-The_Royal_Albatross-Singapore.html,Sunset Cruises,4 hours,"Be it a romantic date, a special celebration or quality time with family and friends, our Dinner Cruises takes you on an…",Taking safety measures,from,$174.07,per adult,More info,95% of travelers recommend this experience,,
285,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Food Playground,https://www.tripadvisor.com/AttractionProductReview-g294265-d11454066-Experience_Singapore_Cultural_Cooking_Class-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d11454066-Experience_Singapore_Cultural_Cooking_Class-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ee/a2/9a/caption.jpg?w=500&h=400&s=1,Experience Singapore: Cultural Cooking Class,3.,https://www.tripadvisor.com/Attraction_Review-g294265-d3573947-Reviews-Food_Playground-Singapore.html,Cooking Classes,3 hours,"1) Learn interesting snippets about Singapore’s food culture and discover the secrets to Singapore's hawker centres

2) …",,from,$75.53,per adult,More info,99% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
734,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Bike Around Tour,https://www.tripadvisor.com/AttractionProductReview-g294265-d14017877-Lion_City_Bike_Tour_of_Singapore-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d14017877-Lion_City_Bike_Tour_of_Singapore-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/29/77/caption.jpg?w=500&h=400&s=1,Lion City Bike Tour of Singapore,4.,https://www.tripadvisor.com/Attraction_Review-g294265-d13222009-Reviews-Bike_Around_Tour-Singapore.html,City Tours,4 hours,Join this relaxing historical & sightseeing bike tour(Licensed). Riding through our beautiful city you are able to interact…,,from,$61.04,per adult,More info,100% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
12,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Let's Go Bike,https://www.tripadvisor.com/AttractionProductReview-g294265-d16822344-Trails_Of_Tan_Ah_Huat_Singapore_1920s_A_storytelling_guided_bicycle_tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d16822344-Trails_Of_Tan_Ah_Huat_Singapore_1920s_A_storytelling_guided_bicycle_tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/e2/f0/50/caption.jpg?w=500&h=400&s=1,Trails Of Tan Ah Huat : Singapore 1920s. A storytelling guided bicycle tour!,5.,https://www.tripadvisor.com/Attraction_Review-g294265-d3561703-Reviews-Let_s_Go_Bike-Singapore.html,Bike Tours,4 hours,~Winner of Singapore Tourism Award 2019~The bicycle tour is curated along the line of a crafted story of Tan Ah Huat; his…,,from,$75.53,per adult,More info,100% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
40,,By Singapore DUCKtours,https://www.tripadvisor.com/AttractionProductReview-g294265-d11482091-Singapore_Duck_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d11482091-Singapore_Duck_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/05/3c/56/caption.jpg?w=500&h=400&s=1,Singapore Duck Tour,6.,https://www.tripadvisor.com/Attraction_Review-g294265-d7336351-Reviews-Singapore_DUCKtours-Singapore.html,Bus Tours,1 hour,Not all amphibious tours are the same. The Original DUCKtours @ Suntec City is the Singapore Tourism Award Winning Attraction…,Taking safety measures,from,$30.33,per adult,More info,,,
30,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Oriental Travel and Tours,https://www.tripadvisor.com/AttractionProductReview-g294265-d19757234-Singapore_s_Creepy_Haunted_Tour_includes_Cemetery_visit_with_licensed_Guide-Singap.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d19757234-Singapore_s_Creepy_Haunted_Tour_includes_Cemetery_visit_with_licensed_Guide-Singap.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f3/e5/a2/caption.jpg?w=500&h=400&s=1,"Singapore's Creepy & Haunted Tour, includes Cemetery visit with licensed Guide",7.,https://www.tripadvisor.com/Attraction_Review-g294265-d15657416-Reviews-Oriental_Travel_and_Tours-Singapore.html,Bus Tours,4 hours,"Explore the creepy sites in Singapore with ""Ghost Hunting"" equipment and hear stories about World War II in Singapore. Visit…",,from,$106.81,per adult,More info,100% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
111,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By The Royal Albatross,https://www.tripadvisor.com/AttractionProductReview-g294264-d15678636-City_Lights_Dinner_Cruise-Sentosa_Island.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294264-d15678636-City_Lights_Dinner_Cruise-Sentosa_Island.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/5b/cb/caption.jpg?w=500&h=400&s=1,City Lights - Dinner Cruise,8.,https://www.tripadvisor.com/Attraction_Review-g294265-d7682657-Reviews-The_Royal_Albatross-Singapore.html,Sailing,4 hours,"Be it a romantic date, a special celebration or quality time with family and friends, our Sunset Sail/ Dinner Cruise takes…",Taking safety measures,from,$174.07,per adult,More info,97% of travelers recommend this experience,,
5,,By RIGHTLANES,https://www.tripadvisor.com/AttractionProductReview-g294265-d12469514-Private_Tour_World_War_II_Introduction_on_Singapore-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d12469514-Private_Tour_World_War_II_Introduction_on_Singapore-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/a8/93/caption.jpg?w=500&h=400&s=1,Private Tour: World War II Introduction on Singapore,9.,https://www.tripadvisor.com/Attraction_Review-g294265-d16720698-Reviews-RIGHTLANES-Singapore.html,Bus Tours,6 hours,"Ideal for history buffs, this 6-hour tour of World War II sites in Singapore gives you a better understanding of what happened…",,from,$373.85,per group,More info,,,
