WlYyy,cctrW,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,ySnDE,WlYyy 4,WlYyy 5,cctrW 2,ccVGl,WlYyy 6,ccVGl 2,WlYyy 7,dXxty
322 places sorted by traveler favorites,"Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,https://www.tripadvisor.com/ClientLink?value=Y1ZkXy9BdHRyYWN0aW9ucy1nMTU1MDE5LUFjdGl2aXRpZXMtYV9hbGxBdHRyYWN0aW9ucy50cnVlLVRvcm9udG9fT250YXJpby5odG1sX3lpdQ%3D%3D,,,,,,,,,,,,,,,,
984,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Niagara Day Tour,https://www.tripadvisor.com/AttractionProductReview-g155019-d11455829-Niagara_Falls_Day_Tour_from_Toronto-Toronto_Ontario.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g155019-d11455829-Niagara_Falls_Day_Tour_from_Toronto-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/65/1e/80/caption.jpg?w=500&h=400&s=1,Niagara Falls Day Tour from Toronto,1.,https://www.tripadvisor.com/Attraction_Review-g155019-d2723287-Reviews-Niagara_Day_Tour-Toronto_Ontario.html,Bus Tours,9–10 hours,"Enjoy a day trip from Toronto to Niagara Falls that includes stops at Niagara Falls, the Floral Clock, the 'Smallest Chapel…",Free cancellation,97% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$76.40,per adult,More info,
168,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Zoom Tours Niagara Falls,https://www.tripadvisor.com/AttractionProductReview-g155019-d11486652-Niagara_Falls_Day_and_Evening_Tour_With_Boat_Cruise-Toronto_Ontario.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g155019-d11486652-Niagara_Falls_Day_and_Evening_Tour_With_Boat_Cruise-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/23/46/caption.jpg?w=500&h=400&s=1,Niagara Falls Day and Evening Tour With Boat Cruise,2.,https://www.tripadvisor.com/Attraction_Review-g155019-d1627398-Reviews-Zoom_Tours_Niagara_Falls-Toronto_Ontario.html,Bus Tours,9–10 hours,"We offer Award winning Tours of Niagara Falls for last 25 years.

Experience the Falls with our Trained and Professional…",Free cancellation,,,from,$152.16,per adult,More info,Taking safety measures
41,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Airlink Niagara Falls Tours,https://www.tripadvisor.com/AttractionProductReview-g155019-d11458707-Luxury_Day_Tour_of_Niagara_Falls_Niagara_Cruise_from_Toronto-Toronto_Ontario.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g155019-d11458707-Luxury_Day_Tour_of_Niagara_Falls_Niagara_Cruise_from_Toronto-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/9f/68/caption.jpg?w=500&h=400&s=1,Luxury Day Tour of Niagara Falls & Niagara Cruise from Toronto,3.,https://www.tripadvisor.com/Attraction_Review-g155019-d1891074-Reviews-Airlink_Niagara_Falls_Tours-Toronto_Ontario.html,Full-day Tours,6+ hours,Experience Niagara Falls on this 9.5-hour day tour from Toronto. Skip the lines on Hornblower Niagara boat cruise and enjoy…,Free cancellation,,,from,$152.16,per adult,More info,Taking safety measures
323,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Queen Tour Niagara Falls Tours,https://www.tripadvisor.com/AttractionProductReview-g155019-d11483581-Niagara_Falls_Small_Group_Day_Tour_from_Toronto_with_Experienced_Guide-Toronto_Ont.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g155019-d11483581-Niagara_Falls_Small_Group_Day_Tour_from_Toronto_with_Experienced_Guide-Toronto_Ont.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/a7/41/7d/caption.jpg?w=500&h=400&s=1,Niagara Falls Small-Group Day Tour from Toronto with Experienced Guide,4.,https://www.tripadvisor.com/Attraction_Review-g155019-d3435181-Reviews-Queen_Tour_Niagara_Falls_Tours-Toronto_Ontario.html,Bus Tours,6+ hours,Enjoy a small-group tour of Niagara Falls with a licensed tour guide in a comfortable air-conditioned minibus or van. Pick…,Free cancellation,93% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$82.05,per adult,More info,
108,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By See Sight Tours,https://www.tripadvisor.com/AttractionProductReview-g155019-d11475348-Best_of_Toronto_Morning_Tour-Toronto_Ontario.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g155019-d11475348-Best_of_Toronto_Morning_Tour-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2c/be/b9/caption.jpg?w=500&h=400&s=1,Best of Toronto Morning Tour,5.,https://www.tripadvisor.com/Attraction_Review-g155019-d10717673-Reviews-See_Sight_Tours-Toronto_Ontario.html,Bus Tours,4 hours,"This fun-filled, small-group Toronto day tour highlights the must-see attractions and sites in the city. On this tour your…",Free cancellation,97% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$173.10,per adult,More info,
223,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Chopsticks+Forks,https://www.tripadvisor.com/AttractionProductReview-g155019-d12373174-Kensington_Market_Toronto_s_Neighborhood_International_Food_Tour-Toronto_Ontario.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g155019-d12373174-Kensington_Market_Toronto_s_Neighborhood_International_Food_Tour-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/71/b4/54/caption.jpg?w=500&h=400&s=1,Kensington Market -Toronto's Neighborhood International Food Tour,6.,https://www.tripadvisor.com/Attraction_Review-g155019-d12034909-Reviews-Chopsticks_Forks-Toronto_Ontario.html,Walking Tours,2–3 hours,"Designed for the adventurer, this food tour introduces you to flavours from around the world with the beginner and novice…",Free cancellation,99% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$78.09,per adult,More info,
71,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By TBCL - Toronto Bus Co. Ltd.,https://www.tripadvisor.com/AttractionProductReview-g155019-d11449291-Niagara_Falls_Platinum_Tour_from_Toronto_with_Cruise_and_Lunch-Toronto_Ontario.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g155019-d11449291-Niagara_Falls_Platinum_Tour_from_Toronto_with_Cruise_and_Lunch-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/45/7d/caption.jpg?w=500&h=400&s=1,Niagara Falls Platinum Tour from Toronto with Cruise and Lunch,7.,https://www.tripadvisor.com/Attraction_Review-g155019-d2518919-Reviews-TBCL_Toronto_Bus_Co_Ltd-Toronto_Ontario.html,Lunch Cruises,6+ hours,This full-day tour from Toronto to Niagara Falls includes a wine tasting and free time to explore Niagara Falls including…,Free cancellation,91% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$119.96,per adult,More info,
22,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By iflyTOTO,https://www.tripadvisor.com/AttractionProductReview-g181720-d15209353-Toronto_Aerial_Tour_with_Niagara_Falls_Winery_Tasting_Tour_with_iflyTOTO-Markham_O.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g181720-d15209353-Toronto_Aerial_Tour_with_Niagara_Falls_Winery_Tasting_Tour_with_iflyTOTO-Markham_O.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/cb/9f/caption.jpg?w=500&h=400&s=1,Toronto Aerial Tour with Niagara Falls Winery Tasting Tour with iflyTOTO,8.,https://www.tripadvisor.com/Attraction_Review-g181720-d15220521-Reviews-IflyTOTO-Markham_Ontario.html,Adventure Tours,5 hours,The five hour event provides you an opportunity to experience the most spectacular views of the Toronto landscape in our…,Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$205.30,per adult,More info,
20,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By See Sight Tours,https://www.tripadvisor.com/AttractionProductReview-g155019-d11474681-Best_of_Niagara_Falls_Tour_from_Toronto-Toronto_Ontario.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g155019-d11474681-Best_of_Niagara_Falls_Tour_from_Toronto-Toronto_Ontario.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/35/ba/65/caption.jpg?w=500&h=400&s=1,Best of Niagara Falls Tour from Toronto,9.,https://www.tripadvisor.com/Attraction_Review-g155019-d10717673-Reviews-See_Sight_Tours-Toronto_Ontario.html,Bus Tours,6+ hours,A visit to Niagara Falls makes for the perfect day trip from Toronto. This tour highlights the best experiences that Niagara…,Free cancellation,95% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$241.53,per adult,More info,
