,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,Clear all filters,Toronto,Canada,
1,Niagara Falls Day Tour from Toronto,Bus Tours,9–10 hours,$76.40,per adult,Free cancellation,By Niagara Day Tour,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d2723287-Reviews-Niagara_Day_Tour-Toronto_Ontario.html
2,Niagara Falls Day and Evening Tour With Boat Cruise,Bus Tours,9–10 hours,$152.16,per adult,Free cancellation,By Zoom Tours Niagara Falls,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d1627398-Reviews-Zoom_Tours_Niagara_Falls-Toronto_Ontario.html
3,Luxury Day Tour of Niagara Falls & Niagara Cruise from Toronto,Full-day Tours,6+ hours,$152.16,per adult,Free cancellation,By Airlink Niagara Falls Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d1891074-Reviews-Airlink_Niagara_Falls_Tours-Toronto_Ontario.html
4,Niagara Falls Small-Group Day Tour from Toronto with Experienced Guide,Bus Tours,6+ hours,$82.05,per adult,Free cancellation,By Queen Tour Niagara Falls Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d3435181-Reviews-Queen_Tour_Niagara_Falls_Tours-Toronto_Ontario.html
5,Best of Toronto Morning Tour,Bus Tours,4 hours,$173.10,per adult,Free cancellation,By See Sight Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d10717673-Reviews-See_Sight_Tours-Toronto_Ontario.html
6,Kensington Market -Toronto's Neighborhood International Food Tour,Walking Tours,2–3 hours,$78.09,per adult,Free cancellation,By Chopsticks+Forks,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d12034909-Reviews-Chopsticks_Forks-Toronto_Ontario.html
7,Niagara Falls Platinum Tour from Toronto with Cruise and Lunch,Lunch Cruises,6+ hours,$119.96,per adult,Free cancellation,By TBCL - Toronto Bus Co. Ltd.,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d2518919-Reviews-TBCL_Toronto_Bus_Co_Ltd-Toronto_Ontario.html
8,Toronto Aerial Tour with Niagara Falls Winery Tasting Tour with iflyTOTO,Adventure Tours,5 hours,$205.30,per adult,Free cancellation,By iflyTOTO,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g181720-d15220521-Reviews-IflyTOTO-Markham_Ontario.html
9,Best of Niagara Falls Tour from Toronto,Bus Tours,6+ hours,$241.53,per adult,Free cancellation,By See Sight Tours,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g155019-d10717673-Reviews-See_Sight_Tours-Toronto_Ontario.html
10,Exhilarating 120km Aerial Tour of Toronto with iflyTOTO,Private and Luxury,24 minutes,$79.70,per adult,Free cancellation,By iflyTOTO,Toronto,Canada,https://www.tripadvisor.com/Attraction_Review-g181720-d15220521-Reviews-IflyTOTO-Markham_Ontario.html
