,Tour Name,Tour Type,Tour Duration,Tour Price,Price Per,Cancellation,Tour By,City,Country,Link
0,,,,,,,Clear all filters,Vienna,Austria,
1,"Concert in St. Anne's Church in Vienna: Mozart, Beethoven, Haydn & Schubert",Classical Concerts,1–2 hours,$32.81,per adult,Free cancellation,By Concerts in St. Anne’s Church,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d4570956-Reviews-Concerts_in_St_Anne_s_Church-Vienna.html
2,Vienna Classical Concert at St. Peter’s Church,Classical Concerts,60–70 minutes,$38.47,per adult,Free cancellation,By Classic Ensemble Vienna,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d7217467-Reviews-Classic_Ensemble_Vienna-Vienna.html
3,,Cold feet?,,,,,,Vienna,Austria,
4,Concerts at Mozarthouse Vienna - Chamber Music performed by the Mozart Ensemble,Classical Concerts,1–2 hours,$48.74,per adult,Free cancellation,By Concerts at the Mozarthaus,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d1630412-Reviews-Concerts_at_the_Mozarthaus-Vienna.html
5,Hallstatt Small-Group Day Trip from Vienna,Full-day Tours,6+ hours,$179.89,per adult,Free cancellation,By White Alligator Tours,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d12631435-Reviews-White_Alligator_Tours-Vienna.html
6,"Food, Coffee and Market: Small Group Walking Tour in Vienna",City Tours,4–5 hours,$112.00,per adult,Free cancellation,By Intrepid Urban Adventures - Vienna,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d23398898-Reviews-Intrepid_Urban_Adventures_Vienna-Vienna.html
7,Vienna City Center Small-Group Walking Tour,City Tours,2–3 hours,$44.12,per adult,Free cancellation,By Dace Schaerf - Vienna Tour Guide,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d10521210-Reviews-Dace_Schaerf_Vienna_Tour_Guide-Vienna.html
8,Nabiel's Vienna Cooking Class,Cooking Classes,3 hours,$158.39,per adult,Free cancellation,By Nabiel Michael,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d19352734-Reviews-Nabiel_Michael-Vienna.html
9,Kursalon Vienna: Johann Strauss and Mozart Concert,Concerts,1–2 hours,$71.28,per adult,Free cancellation,By Kursalon Wien - Sound of Vienna,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d1148589-Reviews-Kursalon_Wien_Sound_of_Vienna-Vienna.html
10,Vienna Pass Including Hop-On Hop-Off Bus Ticket,Skip-the-Line Tours,1–6 days,$98.93,per adult,Free cancellation,By Vienna Pass,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d10477761-Reviews-Vienna_Pass-Vienna.html
11,"Big Bus Hop-On Hop-Off - optional Guided Walking Tour, River Cruise & Night Tour",Bus Tours,1–2 hours,$25.46,per adult,Free cancellation,By Big Bus Vienna,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d5993969-Reviews-Big_Bus_Vienna-Vienna.html
12,Skip the Line: Schonbrunn Palace Guided Tour in Vienna,Walking Tours,2 hours,$43.34,per adult,,By Good Vienna Tours,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d10206417-Reviews-Good_Vienna_Tours-Vienna.html
13,Vienna Mozart Evening: Gourmet Dinner and Concert at the Musikverein,Classical Concerts,4 hours,$118.79,per adult,,By Vienna Mozart Concerts,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d3511529-Reviews-Vienna_Mozart_Concerts-Vienna.html
14,Full-Day Vienna Private Tour from Prague,Full-day Tours,6+ hours,$133.50,per adult,Free cancellation,By LucyTours,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g274707-d9719565-Reviews-LucyTours-Prague_Bohemia.html
15,Budapest Small-Group Day Trip from Vienna,Full-day Tours,6+ hours,$168.57,per adult,Free cancellation,By White Alligator Tours,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d12631435-Reviews-White_Alligator_Tours-Vienna.html
16,"Mozart & Vivaldi: ""The Four Seasons"" & More (Musikverein, Brahms Hall)",Family-friendly Shows,2 hours,$32.81,per adult,Free cancellation,By Concerts in St. Anne’s Church,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d4570956-Reviews-Concerts_in_St_Anne_s_Church-Vienna.html
17,Full-Day Private Tour to Prague from Vienna,Full-day Tours,6+ hours,"$1,120.05",per group,Free cancellation,By Randon travel group,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d20386900-Reviews-Randon_travel_group-Vienna.html
18,Prague Small-Group Day Trip from Vienna,Full-day Tours,6+ hours,$168.57,per adult,Free cancellation,By White Alligator Tours,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d12631435-Reviews-White_Alligator_Tours-Vienna.html
19,Evening Austrian Wine Tasting,,2–3 hours,$80.07,per adult,Free cancellation,By Exclusive Wine Experiences,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d17694813-Reviews-Exclusive_Wine_Experiences-Vienna.html
20,Christmas and New Year Concert at St. Peter’s Church in Vienna,Walking Tours,60–70 minutes,$49.78,per adult,Free cancellation,By Classic Ensemble Vienna,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d7217467-Reviews-Classic_Ensemble_Vienna-Vienna.html
21,Vivaldi Four Seasons Concert at St. Charles Church in Vienna,Classical Concerts,70–80 minutes,$37.33,per adult,Free cancellation,By Antonio Vivaldi 4 Seasons Karlskirche,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d7160224-Reviews-Antonio_Vivaldi_4_Seasons_Karlskirche-Vienna.html
22,Spanish Riding School Vienna Guided Tour,Walking Tours,1 hour,$22.05,per adult,Free cancellation,By Spanish Riding School,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d191361-Reviews-Spanish_Riding_School-Vienna.html
23,Vienna Mozart Concert in Historical Costumes at the Musikverein,Classical Concerts,2 hours,$62.22,per adult,Free cancellation,By Vienna Mozart Concerts,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d3511529-Reviews-Vienna_Mozart_Concerts-Vienna.html
24,Private tour of Budapest with a Private Transfer and Guide from Vienna,Full-day Tours,6+ hours,$752.80,per group,Free cancellation,By Randon travel group,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d20386900-Reviews-Randon_travel_group-Vienna.html
25,Professional Vienna Private Day Trip with Lunch from Budapest,Bus Tours,6+ hours,$129.13,per adult,Free cancellation,By Shuttles From Budapest,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g274887-d13936355-Reviews-Shuttles_From_Budapest-Budapest_Central_Hungary.html
26,Melk Abbey and Danube Valley Day Trip from Vienna,Bus Tours,6+ hours,$97.48,per adult,Free cancellation,By Vienna Sightseeing Tours Wiener Rundfahrten GmbH & Co.KG,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d19467592-Reviews-Vienna_Sightseeing_Tours_Wiener_Rundfahrten_GmbH_Co_KG-Vienna.html
27,Hidden Gems in Vienna Inner City Private Walking Tour,Public Transportation Tours,3 hours,$237.59,per group,Free cancellation,By SCHINDL Local Services & Day Tours,Vienna,Austria,https://www.tripadvisor.com/Attraction_Review-g190454-d2041233-Reviews-SCHINDL_Local_Services_Day_Tours-Vienna.html
